SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Papakura Kelvin,Newmarket,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Papakura Kelvin,-37.05933436,174.96239449,Newmarket,-36.86853889,174.77706299,26.855652146881443,Franklin,Waitakere,Auckland,Auckland,WORK
Papakura Massey Park,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Papakura Massey Park,-37.0662997,174.95483864,Newmarket,-36.86853889,174.77706299,27.07414661419343,Franklin,Waitakere,Auckland,Auckland,WORK
Rosehill,Newmarket,-999,6,-999,-999,-999,12,-999,-999,-999,-999,21,Rosehill,-37.0807433,174.93811005,Newmarket,-36.86853889,174.77706299,27.59432759021043,Franklin,Waitakere,Auckland,Auckland,WORK
Patumahoe,Newmarket,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Patumahoe,-37.17691755,174.83514067,Newmarket,-36.86853889,174.77706299,34.67561161320253,Franklin,Waitakere,Auckland,Auckland,WORK
Papakura East,Newmarket,-999,6,-999,-999,-999,9,-999,-999,-999,-999,18,Papakura East,-37.05846123,174.97920854,Newmarket,-36.86853889,174.77706299,27.722684039837755,Franklin,Waitakere,Auckland,Auckland,WORK
Opaheke,Newmarket,-999,6,-999,-999,-999,6,-999,-999,-999,-999,15,Opaheke,-37.07682576,174.94797761,Newmarket,-36.86853889,174.77706299,27.69369473826265,Franklin,Waitakere,Auckland,Auckland,WORK
Red Hill,Newmarket,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Red Hill,-37.06738541,174.97729374,Newmarket,-36.86853889,174.77706299,28.378256291627952,Franklin,Waitakere,Auckland,Auckland,WORK
Drury,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Drury,-37.10606959,174.93669402,Newmarket,-36.86853889,174.77706299,29.97711521989399,Franklin,Waitakere,Auckland,Auckland,WORK
Drury Rural,Newmarket,-999,6,-999,-999,-999,6,-999,-999,-999,-999,18,Drury Rural,-37.11220768,174.97476145,Newmarket,-36.86853889,174.77706299,32.28669120153291,Franklin,Waitakere,Auckland,Auckland,WORK
Hunua,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Hunua,-37.08256361,175.08169261,Newmarket,-36.86853889,174.77706299,36.03701667616948,Franklin,Waitakere,Waikato,Auckland,WORK
Pukekohe North West,Newmarket,-999,6,-999,-999,-999,9,-999,-999,-999,-999,15,Pukekohe North West,-37.18225476,174.89580342,Newmarket,-36.86853889,174.77706299,36.441474656349406,Franklin,Waitakere,Auckland,Auckland,WORK
Pukekohe West,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Pukekohe West,-37.20097025,174.88803986,Newmarket,-36.86853889,174.77706299,38.25471615844293,Franklin,Waitakere,Auckland,Auckland,WORK
Cape Hill,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Cape Hill,-37.18797047,174.91071330000003,Newmarket,-36.86853889,174.77706299,37.44825899201408,Franklin,Waitakere,Auckland,Auckland,WORK
Rosa Birch Park,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Rosa Birch Park,-37.20705288,174.89590149999995,Newmarket,-36.86853889,174.77706299,39.09104181913136,Franklin,Waitakere,Auckland,Auckland,WORK
Cloverlea (Auckland),Newmarket,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Cloverlea (Auckland),-37.21592548,174.8926362,Newmarket,-36.86853889,174.77706299,39.96639507491671,Franklin,Waitakere,Auckland,Auckland,WORK
Bombay Hills,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Bombay Hills,-37.17536804,175.0022561,Newmarket,-36.86853889,174.77706299,39.54386820479433,Franklin,Waitakere,Waikato,Auckland,WORK
Ararimu,Newmarket,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Ararimu,-37.14686222,175.08246983,Newmarket,-36.86853889,174.77706299,41.14857390810347,Franklin,Waitakere,Waikato,Auckland,WORK
South Head,Whenuapai,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,South Head,-36.59353204,174.31227374,Whenuapai,-36.79162758,174.62143068,35.2849480860711,Rodney,Waitakere,Auckland,Auckland,WORK
Dannemora South,Whenuapai,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Dannemora South,-36.95210786,174.90970489,Whenuapai,-36.79162758,174.62143068,31.240894129598285,Manukau,Waitakere,Auckland,Auckland,WORK
Baverstock,Whenuapai,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,Baverstock,-36.95525862,174.91670173,Whenuapai,-36.79162758,174.62143068,31.951507044484455,Manukau,Waitakere,Auckland,Auckland,WORK
Ormiston North,Whenuapai,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Ormiston North,-36.96413048,174.91309841,Whenuapai,-36.79162758,174.62143068,32.26388622762269,Manukau,Waitakere,Auckland,Auckland,WORK
Chapel Downs,Whenuapai,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,Chapel Downs,-36.97187248,174.90214003,Whenuapai,-36.79162758,174.62143068,32.016219049014325,Manukau,Waitakere,Auckland,Auckland,WORK
Mission Heights North,Whenuapai,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Mission Heights North,-36.95819159,174.93091114,Whenuapai,-36.79162758,174.62143068,33.17885487201709,Manukau,Waitakere,Auckland,Auckland,WORK
Donegal Park,Whenuapai,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Donegal Park,-36.97749254,174.90785629,Whenuapai,-36.79162758,174.62143068,32.803601565397074,Manukau,Waitakere,Auckland,Auckland,WORK
Ormiston South,Whenuapai,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Ormiston South,-36.97596797,174.9175859,Whenuapai,-36.79162758,174.62143068,33.375864509453656,Manukau,Waitakere,Auckland,Auckland,WORK
Mission Heights South,Whenuapai,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Mission Heights South,-36.96503986,174.9321751,Whenuapai,-36.79162758,174.62143068,33.70100279705834,Manukau,Waitakere,Auckland,Auckland,WORK
Hilltop (Auckland),Whenuapai,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Hilltop (Auckland),-36.98571899,174.9077134,Whenuapai,-36.79162758,174.62143068,33.37672844702779,Manukau,Waitakere,Auckland,Auckland,WORK
Papakura Kelvin,Whenuapai,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Papakura Kelvin,-37.05933436,174.96239449,Whenuapai,-36.79162758,174.62143068,42.48202433249259,Franklin,Waitakere,Auckland,Auckland,WORK
South Head,Kumeu-Huapai,-999,33,12,-999,-999,-999,-999,-999,-999,-999,51,South Head,-36.59353204,174.31227374,Kumeu-Huapai,-36.76998293,174.54286666,28.421794231049056,Rodney,Rodney,Auckland,Auckland,WORK
South Head,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,South Head,-36.59353204,174.31227374,Parnell West,-36.85679261,174.77798053,50.79013321645081,Rodney,Waitakere,Auckland,Auckland,WORK
Puhoi Valley,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Puhoi Valley,-36.46850912,174.62475233,Parnell West,-36.85679261,174.77798053,45.28676528630693,Rodney,Waitakere,Auckland,Auckland,WORK
Warkworth East,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Warkworth East,-36.40528692,174.66791942,Parnell West,-36.85679261,174.77798053,51.156712913543316,Rodney,Waitakere,Auckland,Auckland,WORK
Waikoukou Valley,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Waikoukou Valley,-36.70989198,174.51574111,Parnell West,-36.85679261,174.77798053,28.499734797376977,Rodney,Waitakere,Auckland,Auckland,WORK
Orewa North,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Orewa North,-36.58108865,174.67586463,Parnell West,-36.85679261,174.77798053,31.979454692613807,Rodney,Waitakere,Auckland,Auckland,WORK
Orewa Central,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Orewa Central,-36.58726477,174.69445280000005,Parnell West,-36.85679261,174.77798053,30.8809174293995,Rodney,Waitakere,Auckland,Auckland,WORK
Millwater North,Parnell West,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Millwater North,-36.6014983,174.67227556,Parnell West,-36.85679261,174.77798053,29.90968879024475,Rodney,Waitakere,Auckland,Auckland,WORK
Waipatukahu,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waipatukahu,-36.77908114,174.42070067,Parnell West,-36.85679261,174.77798053,32.95674723403386,Rodney,Waitakere,Auckland,Auckland,WORK
Millwater South,Parnell West,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Millwater South,-36.61231012,174.67000848,Parnell West,-36.85679261,174.77798053,28.8377075046981,Rodney,Waitakere,Auckland,Auckland,WORK
Dairy Flat North,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Dairy Flat North,-36.6446947,174.65374224,Parnell West,-36.85679261,174.77798053,26.052567002746407,Rodney,Waitakere,Auckland,Auckland,WORK
Dairy Flat West,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Dairy Flat West,-36.67100483,174.61891208,Parnell West,-36.85679261,174.77798053,25.051144843385426,Rodney,Waitakere,Auckland,Auckland,WORK
Red Beach East,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Red Beach East,-36.60592118,174.70488989,Parnell West,-36.85679261,174.77798053,28.645998554805388,Rodney,Waitakere,Auckland,Auckland,WORK
Stanmore Bay West,Parnell West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Stanmore Bay West,-36.62300197,174.72724226,Parnell West,-36.85679261,174.77798053,26.386548829620384,Rodney,Waitakere,Auckland,Auckland,WORK
Stanmore Bay East,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Stanmore Bay East,-36.6293262,174.74176363,Parnell West,-36.85679261,174.77798053,25.49814238015193,Rodney,Waitakere,Auckland,Auckland,WORK
Tindalls-Matakatia,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tindalls-Matakatia,-36.61663904,174.77704003,Parnell West,-36.85679261,174.77798053,26.7039901133778,Rodney,Waitakere,Auckland,Auckland,WORK
Gulf Harbour North,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Gulf Harbour North,-36.60949658,174.79413674,Parnell West,-36.85679261,174.77798053,27.53572984047593,Rodney,Waitakere,Auckland,Auckland,WORK
Army Bay,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Army Bay,-36.60509803,174.82325733,Parnell West,-36.85679261,174.77798053,28.276526149863837,Rodney,Waitakere,Auckland,Auckland,WORK
Gulf Harbour South,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Gulf Harbour South,-36.62319574,174.79598006,Parnell West,-36.85679261,174.77798053,26.024257605513395,Rodney,Waitakere,Auckland,Auckland,WORK
Waitakere Ranges North,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Waitakere Ranges North,-36.89876888,174.50001,Parnell West,-36.85679261,174.77798053,25.161285251920784,Waitakere,Waitakere,Auckland,Auckland,WORK
Piha,Parnell West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Piha,-36.96186554,174.47423421,Parnell West,-36.85679261,174.77798053,29.42504930398617,Waitakere,Waitakere,Auckland,Auckland,WORK
Waitakere Ranges South,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waitakere Ranges South,-36.9893191,174.53510888,Parnell West,-36.85679261,174.77798053,26.13958391735059,Waitakere,Waitakere,Auckland,Auckland,WORK
Oneroa East-Palm Beach,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,9,Oneroa East-Palm Beach,-36.77927556,175.05218612,Parnell West,-36.85679261,174.77798053,25.885962132275573,Auckland,Waitakere,Auckland,Auckland,WORK
Ostend,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,12,Ostend,-36.79263832,175.05220466,Parnell West,-36.85679261,174.77798053,25.42936331999981,Auckland,Waitakere,Auckland,Auckland,WORK
Onetangi,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,9,Onetangi,-36.79584373,175.07839806,Parnell West,-36.85679261,174.77798053,27.58464241462782,Auckland,Waitakere,Auckland,Auckland,WORK
Kingseat-Karaka,Parnell West,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Kingseat-Karaka,-37.12442419,174.82148593,Parnell West,-36.85679261,174.77798053,30.00907101472714,Franklin,Waitakere,Auckland,Auckland,WORK
Takanini South,Parnell West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Takanini South,-37.04157360000001,174.93888309,Parnell West,-36.85679261,174.77798053,25.032181201672397,Franklin,Waitakere,Auckland,Auckland,WORK
Hingaia,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Hingaia,-37.07369960000001,174.91419445,Parnell West,-36.85679261,174.77798053,26.984801295281855,Franklin,Waitakere,Auckland,Auckland,WORK
Kawakawa Bay-Orere,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kawakawa Bay-Orere,-36.98413362,175.15196852,Parnell West,-36.85679261,174.77798053,36.136106577736,Manukau,Waitakere,Auckland,Auckland,WORK
Papakura West,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Papakura West,-37.05653671,174.93416803,Parnell West,-36.85679261,174.77798053,26.189812067828235,Franklin,Waitakere,Auckland,Auckland,WORK
Papakura North,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Papakura North,-37.05741406,174.94794613,Parnell West,-36.85679261,174.77798053,26.93929681302751,Franklin,Waitakere,Auckland,Auckland,WORK
Papakura Central,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Papakura Central,-37.06542305,174.94281885,Parnell West,-36.85679261,174.77798053,27.434952401696833,Franklin,Waitakere,Auckland,Auckland,WORK
Karaka Lakes,Parnell West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Karaka Lakes,-37.08456461,174.92648385,Parnell West,-36.85679261,174.77798053,28.557152847668625,Franklin,Waitakere,Auckland,Auckland,WORK
Papakura Kelvin,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Papakura Kelvin,-37.05933436,174.96239449,Parnell West,-36.85679261,174.77798053,27.85167169991739,Franklin,Waitakere,Auckland,Auckland,WORK
Rosehill,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Rosehill,-37.0807433,174.93811005,Parnell West,-36.85679261,174.77798053,28.679215020506007,Franklin,Waitakere,Auckland,Auckland,WORK
Patumahoe,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Patumahoe,-37.17691755,174.83514067,Parnell West,-36.85679261,174.77798053,35.9562119222069,Franklin,Waitakere,Auckland,Auckland,WORK
Papakura East,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Papakura East,-37.05846123,174.97920854,Parnell West,-36.85679261,174.77798053,28.68008795798318,Franklin,Waitakere,Auckland,Auckland,WORK
Drury Rural,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Drury Rural,-37.11220768,174.97476145,Parnell West,-36.85679261,174.77798053,33.34826284818351,Franklin,Waitakere,Auckland,Auckland,WORK
Ramarama,Parnell West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Ramarama,-37.15945142,174.93408164,Parnell West,-36.85679261,174.77798053,36.396770754283224,Franklin,Waitakere,Auckland,Auckland,WORK
Pukekohe North West,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Pukekohe North West,-37.18225476,174.89580342,Parnell West,-36.85679261,174.77798053,37.67118462739332,Franklin,Waitakere,Auckland,Auckland,WORK
Anselmi Ridge,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Anselmi Ridge,-37.18633345,174.93550996,Parnell West,-36.85679261,174.77798053,39.221379071471866,Franklin,Waitakere,Auckland,Auckland,WORK
Pukekohe West,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Pukekohe West,-37.20097025,174.88803986,Parnell West,-36.85679261,174.77798053,39.498192135718114,Franklin,Waitakere,Auckland,Auckland,WORK
Rosa Birch Park,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Rosa Birch Park,-37.20705288,174.89590149999995,Parnell West,-36.85679261,174.77798053,40.32925598378045,Franklin,Waitakere,Auckland,Auckland,WORK
Ararimu,Parnell West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ararimu,-37.14686222,175.08246983,Parnell West,-36.85679261,174.77798053,42.08866713056722,Franklin,Waitakere,Waikato,Auckland,WORK
South Head,Westgate Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,South Head,-36.59353204,174.31227374,Westgate Central,-36.81462711,174.60577445,35.902918103268775,Rodney,Waitakere,Auckland,Auckland,WORK
Orewa North,Westgate Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Orewa North,-36.58108865,174.67586463,Westgate Central,-36.81462711,174.60577445,26.709575560985986,Rodney,Waitakere,Auckland,Auckland,WORK
South Head,Henderson Central,-999,21,9,-999,-999,-999,-999,-999,-999,-999,30,South Head,-36.59353204,174.31227374,Henderson Central,-36.88968581,174.62928426,43.38593422873385,Rodney,Waitakere,Auckland,Auckland,WORK
Te Kuru,Henderson Central,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,12,Te Kuru,-36.60344402,174.48396116,Henderson Central,-36.88968581,174.62928426,34.36155910109225,Rodney,Waitakere,Auckland,Auckland,WORK
Snells Beach,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Snells Beach,-36.42024184,174.72518871,Henderson Central,-36.88968581,174.62928426,52.89620423264203,Rodney,Waitakere,Auckland,Auckland,WORK
Wainui-Waiwera,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Wainui-Waiwera,-36.58514355,174.56341509,Henderson Central,-36.88968581,174.62928426,34.36847815909764,Rodney,Waitakere,Auckland,Auckland,WORK
Parakai,Henderson Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Parakai,-36.65763462,174.43599289,Henderson Central,-36.88968581,174.62928426,31.019053653076305,Rodney,Waitakere,Auckland,Auckland,WORK
Helensville Rural,Henderson Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Helensville Rural,-36.64952348,174.4986995,Henderson Central,-36.88968581,174.62928426,29.127990950610148,Rodney,Waitakere,Auckland,Auckland,WORK
Helensville,Henderson Central,-999,9,6,-999,-999,-999,-999,-999,-999,-999,18,Helensville,-36.67496915,174.45425272,Henderson Central,-36.88968581,174.62928426,28.513461024988914,Rodney,Waitakere,Auckland,Auckland,WORK
Orewa North,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Orewa North,-36.58108865,174.67586463,Henderson Central,-36.88968581,174.62928426,34.564583451998985,Rodney,Waitakere,Auckland,Auckland,WORK
Orewa Central,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Orewa Central,-36.58726477,174.69445280000005,Henderson Central,-36.88968581,174.62928426,34.12540498102083,Rodney,Waitakere,Auckland,Auckland,WORK
Millwater North,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Millwater North,-36.6014983,174.67227556,Henderson Central,-36.88968581,174.62928426,32.273120656354024,Rodney,Waitakere,Auckland,Auckland,WORK
Red Beach East,Henderson Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Red Beach East,-36.60592118,174.70488989,Henderson Central,-36.88968581,174.62928426,32.26423963338597,Rodney,Waitakere,Auckland,Auckland,WORK
Vipond,Henderson Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Vipond,-36.61796366,174.7180399,Henderson Central,-36.88968581,174.62928426,31.231694407293787,Rodney,Waitakere,Auckland,Auckland,WORK
Whangaparoa Central,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Whangaparoa Central,-36.63661523,174.73358327,Henderson Central,-36.88968581,174.62928426,29.63427924093851,Rodney,Waitakere,Auckland,Auckland,WORK
Clover Park North,Henderson Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Clover Park North,-36.97956376,174.89311669,Henderson Central,-36.88968581,174.62928426,25.490405724047736,Manukau,Waitakere,Auckland,Auckland,WORK
Ormiston South,Henderson Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Ormiston South,-36.97596797,174.9175859,Henderson Central,-36.88968581,174.62928426,27.362152897301502,Manukau,Waitakere,Auckland,Auckland,WORK
Hilltop (Auckland),Henderson Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Hilltop (Auckland),-36.98571899,174.9077134,Henderson Central,-36.88968581,174.62928426,26.95159181311705,Manukau,Waitakere,Auckland,Auckland,WORK
Homai West,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Homai West,-37.01888813,174.87799595,Henderson Central,-36.88968581,174.62928426,26.35917276666325,Franklin,Waitakere,Auckland,Auckland,WORK
Clendon Park East,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Clendon Park East,-37.03230003,174.8651409,Henderson Central,-36.88968581,174.62928426,26.279656951913022,Franklin,Waitakere,Auckland,Auckland,WORK
Rowandale West,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Rowandale West,-37.02855927,174.8721658,Henderson Central,-36.88968581,174.62928426,26.53625866829063,Franklin,Waitakere,Auckland,Auckland,WORK
Rowandale East,Henderson Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Rowandale East,-37.02529361,174.88087913,Henderson Central,-36.88968581,174.62928426,26.96527313437025,Franklin,Waitakere,Auckland,Auckland,WORK
South Head,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,South Head,-36.59353204,174.31227374,East Tamaki,-36.93823242,174.88712871,63.962206959852885,Rodney,Manukau,Auckland,Auckland,WORK
Te Kuru,East Tamaki,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,Te Kuru,-36.60344402,174.48396116,East Tamaki,-36.93823242,174.88712871,51.724191406654576,Rodney,Manukau,Auckland,Auckland,WORK
Snells Beach,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Snells Beach,-36.42024184,174.72518871,East Tamaki,-36.93823242,174.88712871,59.38072959494518,Rodney,Manukau,Auckland,Auckland,WORK
Parakai,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Parakai,-36.65763462,174.43599289,East Tamaki,-36.93823242,174.88712871,50.86296552615028,Rodney,Manukau,Auckland,Auckland,WORK
Helensville Rural,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Helensville Rural,-36.64952348,174.4986995,East Tamaki,-36.93823242,174.88712871,47.18986302969854,Rodney,Manukau,Auckland,Auckland,WORK
Helensville,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Helensville,-36.67496915,174.45425272,East Tamaki,-36.93823242,174.88712871,48.39594618013547,Rodney,Manukau,Auckland,Auckland,WORK
Waikoukou Valley,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waikoukou Valley,-36.70989198,174.51574111,East Tamaki,-36.93823242,174.88712871,41.68241355129426,Rodney,Manukau,Auckland,Auckland,WORK
Orewa North,East Tamaki,-999,6,6,-999,-999,-999,-999,-999,-999,-999,15,Orewa North,-36.58108865,174.67586463,East Tamaki,-36.93823242,174.88712871,43.94642561704157,Rodney,Manukau,Auckland,Auckland,WORK
Hatfields Beach,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Hatfields Beach,-36.57001949,174.68935557,East Tamaki,-36.93823242,174.88712871,44.57369643512718,Rodney,Manukau,Auckland,Auckland,WORK
Orewa South,East Tamaki,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,Orewa South,-36.59013546,174.685784,East Tamaki,-36.93823242,174.88712871,42.66009556639773,Rodney,Manukau,Auckland,Auckland,WORK
Orewa Central,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Orewa Central,-36.58726477,174.69445280000005,East Tamaki,-36.93823242,174.88712871,42.63336749905024,Rodney,Manukau,Auckland,Auckland,WORK
Millwater North,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Millwater North,-36.6014983,174.67227556,East Tamaki,-36.93823242,174.88712871,42.050292727076204,Rodney,Manukau,Auckland,Auckland,WORK
Dairy Flat North,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Dairy Flat North,-36.6446947,174.65374224,East Tamaki,-36.93823242,174.88712871,38.694562902828224,Rodney,Manukau,Auckland,Auckland,WORK
Red Beach West,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Red Beach West,-36.61127031,174.69545963,East Tamaki,-36.93823242,174.88712871,40.164968620344794,Rodney,Manukau,Auckland,Auckland,WORK
Red Beach East,East Tamaki,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Red Beach East,-36.60592118,174.70488989,East Tamaki,-36.93823242,174.88712871,40.359321313678116,Rodney,Manukau,Auckland,Auckland,WORK
Stanmore Bay West,East Tamaki,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,9,Stanmore Bay West,-36.62300197,174.72724226,East Tamaki,-36.93823242,174.88712871,37.83391631342474,Rodney,Manukau,Auckland,Auckland,WORK
Kumeu Rural West,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kumeu Rural West,-36.79039063,174.52133836,East Tamaki,-36.93823242,174.88712871,36.45822670172149,Rodney,Manukau,Auckland,Auckland,WORK
Whangaparoa Central,East Tamaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Whangaparoa Central,-36.63661523,174.73358327,East Tamaki,-36.93823242,174.88712871,36.21852226331925,Rodney,Manukau,Auckland,Auckland,WORK
Kumeu-Huapai,East Tamaki,-999,6,9,-999,-999,-999,-999,-999,-999,-999,15,Kumeu-Huapai,-36.76998293,174.54286666,East Tamaki,-36.93823242,174.88712871,35.89193873270669,Rodney,Manukau,Auckland,Auckland,WORK
Manly West,East Tamaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Manly West,-36.63336524,174.75300037,East Tamaki,-36.93823242,174.88712871,35.942480849924,Rodney,Manukau,Auckland,Auckland,WORK
Gulf Harbour North,East Tamaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Gulf Harbour North,-36.60949658,174.79413674,East Tamaki,-36.93823242,174.88712871,37.48036473748407,Rodney,Manukau,Auckland,Auckland,WORK
