SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Taumarumaru,Tangonge,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Taumarumaru,-34.99672682,173.50774402,Tangonge,-35.12314727,173.21860407,29.836221270288558,Far North,Far North,Northland,Northland,WORK
Rangaunu Harbour,Taumarumaru,-999,9,6,-999,-999,-999,-999,-999,-999,-999,18,Rangaunu Harbour,-34.91627744,173.13744282,Taumarumaru,-34.99672682,173.50774402,34.91249001820793,Far North,Far North,Northland,Northland,WORK
Ahipara,Taumarumaru,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ahipara,-35.15951697,173.16091938,Taumarumaru,-34.99672682,173.50774402,36.38304672306885,Far North,Far North,Northland,Northland,WORK
Kaitaia West,Taumarumaru,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaitaia West,-35.12178170000001,173.26717397,Taumarumaru,-34.99672682,173.50774402,25.93880091011843,Far North,Far North,Northland,Northland,WORK
Whakarara,Taumarumaru,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Whakarara,-35.0629133,173.84991312,Taumarumaru,-34.99672682,173.50774402,32.01273429704521,Far North,Far North,Northland,Northland,WORK
Rangaunu Harbour,Kaikohe,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Rangaunu Harbour,-34.91627744,173.13744282,Kaikohe,-35.40792422,173.79767516,81.18362660242556,Far North,Far North,Northland,Northland,WORK
Kaitaia East,Kaikohe,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaitaia East,-35.10383477,173.26414302,Kaikohe,-35.40792422,173.79767516,59.077866919855616,Far North,Far North,Northland,Northland,WORK
Kaitaia West,Kaikohe,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Kaitaia West,-35.12178170000001,173.26717397,Kaikohe,-35.40792422,173.79767516,57.724517966449326,Far North,Far North,Northland,Northland,WORK
Kohukohu-Broadwood,Kaikohe,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Kohukohu-Broadwood,-35.29006863,173.46362668,Kaikohe,-35.40792422,173.79767516,33.009469493916946,Far North,Far North,Northland,Northland,WORK
Whakarara,Kaikohe,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Whakarara,-35.0629133,173.84991312,Kaikohe,-35.40792422,173.79767516,38.65571716369585,Far North,Far North,Northland,Northland,WORK
