SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Fairose,Lower Waitaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Fairose,-41.35339405,173.18085402,Lower Waitaki,-45.00239341,171.02035686,441.91022738789337,Tasman,Waitaki,WORK
Ruatoria-Raukumara,Hangaroa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Ruatoria-Raukumara,-37.86680632,178.19588547,Hangaroa,-38.67842084,177.63331484,102.74378861209705,Gisborne,Gisborne,WORK
Te Anau,Invercargill Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Te Anau,-45.4135156,167.72303047,Invercargill Central,-46.41489239,168.32850731,120.79824507556488,Southland,Invercargill,WORK
Otatara,Maromaku,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Otatara,-46.43520129,168.28791931,Maromaku,-35.47825535,174.14132759999995,1312.8245060635056,Invercargill,Far North,WORK
East Cape,Hangaroa,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,East Cape,-37.68457303,178.25309634,Hangaroa,-38.67842084,177.63331484,123.07340473995858,Gisborne,Gisborne,WORK
Linton Camp,Waiouru,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Linton Camp,-40.40509247,175.58721079,Waiouru,-39.46984453,175.67763799,104.28019288951585,Palmerston North,Ruapehu,WORK
Linton Camp,Thorndon,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Linton Camp,-40.40509247,175.58721079,Thorndon,-41.27246445,174.77422734,118.2338691061902,Palmerston North,Wellington,WORK
Westland Glaciers-Bruce Bay,Hokitika Rural,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Westland Glaciers-Bruce Bay,-43.61327906,169.84261384,Hokitika Rural,-42.78693668,170.96082934,129.06504291109016,Westland,Westland,WORK
Mount Wellington Central,Melrose,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,Mount Wellington Central,-36.90833619,174.84460805,Melrose,-41.32428747,174.78913074,491.0546693917183,Waitakere,Wellington,WORK
Easby Park,Lower Waitaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Easby Park,-41.34673271,173.19836451,Lower Waitaki,-45.00239341,171.02035686,443.1572876362181,Tasman,Waitaki,WORK
Westland Glaciers-Bruce Bay,Hokitika,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Westland Glaciers-Bruce Bay,-43.61327906,169.84261384,Hokitika,-42.71867868,170.97186323,135.21241509687815,Westland,Westland,WORK
Richmond Central (Tasman District),Lower Waitaki,-999,6,-999,-999,-999,-999,-999,6,-999,-999,12,Richmond Central (Tasman District),-41.33750365,173.18938637,Lower Waitaki,-45.00239341,171.02035686,443.8151924583857,Tasman,Waitaki,WORK
Mount Wellington Ferndale,Melrose,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Mount Wellington Ferndale,-36.90212113,174.83177929,Melrose,-41.32428747,174.78913074,491.73620825593696,Waitakere,Wellington,WORK
Mount Wellington North East,Melrose,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Mount Wellington North East,-36.89400476,174.84294936,Melrose,-41.32428747,174.78913074,492.6468131744378,Waitakere,Wellington,WORK
Waima-Woodlands Park,Marlborough Sounds East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Waima-Woodlands Park,-36.94665584,174.63541623,Marlborough Sounds East,-41.3212678,174.04011823,489.13305300587183,Waitakere,Marlborough,WORK
Queens Square,Carterton South,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Queens Square,-39.64447191,176.85383704,Carterton South,-41.03427242,175.51425212,191.756746251518,Hastings city,Carterton,WORK
East Cape,Gisborne Central,-999,9,6,-999,-999,-999,-999,-999,-999,-999,18,East Cape,-37.68457303,178.25309634,Gisborne Central,-38.66778237,178.02299313,111.16259357496365,Gisborne,Gisborne,WORK
Omaio,Lower Waitaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Omaio,-41.32459713,173.24438648,Lower Waitaki,-45.00239341,171.02035686,446.9196704563757,Nelson,Waitaki,WORK
Mount Wellington North West,Melrose,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mount Wellington North West,-36.89388294,174.82931818,Melrose,-41.32428747,174.78913074,492.6506911205822,Waitakere,Wellington,WORK
Templemore,Lower Waitaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Templemore,-41.34152248,173.20418736,Lower Waitaki,-45.00239341,171.02035686,443.8795733424012,Tasman,Waitaki,WORK
Barrier Islands,Auckland Airport,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Barrier Islands,-36.20109801,175.42316367,Auckland Airport,-36.9891029,174.77400859,105.05268616515541,Auckland,Manukau,WORK
Marlborough Sounds East,Awatere,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Marlborough Sounds East,-41.3212678,174.04011823,Awatere,-42.09611412,173.2944504,106.08771578148823,Marlborough,Marlborough,WORK
Brightwater,Lower Waitaki,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Brightwater,-41.37680724,173.09986171,Lower Waitaki,-45.00239341,171.02035686,436.9363397725013,Tasman,Waitaki,WORK
Awatere,Waitohi (Marlborough District),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Awatere,-42.09611412,173.2944504,Waitohi (Marlborough District),-41.2943994,173.99961791,106.65315431699841,Marlborough,Marlborough,WORK
Mount Wellington West,Melrose,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mount Wellington West,-36.91116791,174.82771093,Melrose,-41.32428747,174.78913074,490.7277763874889,Waitakere,Wellington,WORK
