SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Matua North,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Matua North,-37.66586707,176.12333377,Auckland-University,-36.85143057,174.76906469,150.21823926649657,Western Bay of Plenty,Waitakere,EDUCATION
Ramarama,Sunnyhills West-Pakuranga North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Ramarama,-37.15945142,174.93408164,Sunnyhills West-Pakuranga North,-36.9085095,174.87269402,28.430537803199872,Franklin,Manukau,EDUCATION
Gladstone (Carterton District),Kuripuni,-999,6,6,-999,-999,-999,9,-999,-999,-999,24,Gladstone (Carterton District),-41.21809101,175.86448451,Kuripuni,-40.95167579,175.64326344,34.947760385058125,Carterton,Masterton,EDUCATION
Te Uku,Hamilton East Village,-999,-999,9,-999,-999,-999,9,-999,-999,-999,30,Te Uku,-37.88322634,174.93821165,Hamilton East Village,-37.79028168,175.29324653,32.84653150237803,Waikato,Hamilton,EDUCATION
Akatarawa,Petone East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Akatarawa,-41.01655002,175.13338376,Petone East,-41.2248184,174.89062655,30.81904545380771,Upper Hutt,Hutt city,EDUCATION
Lilybrook,Christchurch Central-South,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Lilybrook,-43.31092043,172.59368431,Christchurch Central-South,-43.53815861,172.64240289,25.572214004337287,Waimakariri,Christchurch,EDUCATION
Maungati,Highfield North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Maungati,-44.49962787,170.93976175,Highfield North,-44.38615156,171.22318733,25.79694558284033,Waimate,Timaru,EDUCATION
Hakataramea,Morven-Glenavy-Ikawai,-999,-999,-999,-999,-999,-999,18,-999,-999,-999,21,Hakataramea,-44.5949764,170.59314374,Morven-Glenavy-Ikawai,-44.85372568,171.00103288,43.1999995618006,Waimate,Waimate,EDUCATION
Pembroke,Opunake,-999,-999,-999,-999,-999,-999,9,-999,-999,-999,9,Pembroke,-39.34019567,174.18536541,Opunake,-39.45132365,173.85878435,30.66293322307921,Stratford,South Taranaki,EDUCATION
Morrinsville East,Hamilton West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Morrinsville East,-37.64774647,175.53612606,Hamilton West,-37.80074182,175.2844169,27.919789319272013,Matamata-Piako,Hamilton,EDUCATION
Dargaville,Ruawai-Matakohe,-999,-999,12,-999,-999,-999,-999,-999,-999,-999,18,Dargaville,-35.93920158,173.86524045,Ruawai-Matakohe,-36.08477059,174.14649781,30.032892040788692,Kaipara,Kaipara,EDUCATION
Maungaru,Tarewa,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Maungaru,-35.87696287,173.97089153,Tarewa,-35.7418305,174.30903757,33.99370204975888,Kaipara,Whangarei,EDUCATION
Te Akau,Onewhero,-999,-999,9,-999,-999,-999,12,-999,-999,-999,21,Te Akau,-37.69707947,175.04556188,Onewhero,-37.36416985,174.87549359,39.940234103394275,Waikato,Franklin,EDUCATION
Bruce,Roslyn (Dunedin City),-999,-999,6,-999,-999,-999,-999,-999,-999,-999,6,Bruce,-46.07247342,170.08655606,Roslyn (Dunedin City),-45.86711907,170.4917572,38.75670820470849,Clutha,Dunedin,EDUCATION
Waiouru,Taihape,-999,-999,-999,-999,-999,-999,12,-999,-999,-999,12,Waiouru,-39.46984453,175.67763799,Taihape,-39.67806733,175.79677339,25.304955086520682,Ruapehu,Rangitikei,EDUCATION
Riverstone Terraces,Wellington University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,Riverstone Terraces,-41.11205217,175.03826653,Wellington University,-41.289084,174.7676253,30.00335326817003,Upper Hutt,Wellington,EDUCATION
Hokitika,Greymouth Central,-999,6,-999,-999,-999,-999,24,-999,-999,-999,30,Hokitika,-42.71867868,170.97186323,Greymouth Central,-42.45704831,171.19924986,34.5379359068516,Westland,Grey,EDUCATION
Otautau,Invercargill Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Otautau,-46.19250679,168.05347842,Invercargill Central,-46.41489239,168.32850731,32.52428648340005,Southland,Invercargill,EDUCATION
