SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Mangere Mascot,Rosebank Peninsula,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mangere Mascot,-36.97328531,174.80945421,Rosebank Peninsula,-36.88086056,174.67580445,15.708444964187667,Manukau,Waitakere,WORK
Bayview East,Grafton,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Bayview East,-36.76999591,174.71337437,Grafton,-36.86013178,174.76828549,11.151133369454737,Waitakere,Waitakere,WORK
Browns Bay South West,Devonport,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Browns Bay South West,-36.72178932,174.72994649,Devonport,-36.82716648,174.79688282,13.146892502738938,Waitakere,Waitakere,WORK
Browns Bay South West,Ponsonby East,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Browns Bay South West,-36.72178932,174.72994649,Ponsonby East,-36.85137951,174.74159318,14.447049600759476,Waitakere,Waitakere,WORK
Mangorei,Welbourn,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Mangorei,-39.18102935,174.06017628,Welbourn,-39.08571024,174.09311599999995,10.973180435380714,New Plymouth,New Plymouth,WORK
Rotoiti-Rotoehu,Kuirau,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Rotoiti-Rotoehu,-38.05706156,176.45805764,Kuirau,-38.13474084,176.24242829,20.7522955724275,Rotorua,Rotorua,WORK
Rolleston North East,Northcote (Christchurch City),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Rolleston North East,-43.59059543,172.39602587,Northcote (Christchurch City),-43.48988035,172.61871397,21.15667850881771,Selwyn,Christchurch,WORK
Glen Eden Woodglen,Eden Valley,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Glen Eden Woodglen,-36.9174767,174.64329812,Eden Valley,-36.87455582,174.75258367,10.826928962840963,Waitakere,Waitakere,WORK
Taieri,Maori Hill,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Taieri,-45.82713359,170.36633821,Maori Hill,-45.85777797,170.50064652,10.947613330372516,Dunedin,Dunedin,WORK
Greenhithe East,Quay Street-Customs Street,-999,12,-999,-999,12,-999,-999,-999,-999,-999,33,Greenhithe East,-36.7641032,174.68932537,Quay Street-Customs Street,-36.84601989,174.77646293,11.964738484882414,Waitakere,Waitakere,WORK
Marlborough Sounds East,Whitney East,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Marlborough Sounds East,-41.3212678,174.04011823,Whitney East,-41.52059859,173.95891011,23.175810732570273,Marlborough,Marlborough,WORK
Naenae North,Dixon Street,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,15,Naenae North,-41.19737756,174.96248511,Dixon Street,-41.29101921,174.77469531,18.839677564723445,Hutt city,Wellington,WORK
Summerland North,Penrose,-999,18,6,-999,-999,-999,-999,-999,-999,-999,30,Summerland North,-36.87595448,174.61345826,Penrose,-36.91999811,174.82258914,19.230651097413887,Waitakere,Waitakere,WORK
Solway South,Wellington Central,-999,-999,-999,-999,-999,15,-999,-999,-999,-999,21,Solway South,-40.96910555,175.63403571,Wellington Central,-41.2849345,174.77572593,80.00899701955878,Masterton,Wellington,WORK
Sandringham West,Takapuna Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Sandringham West,-36.89249272,174.73078769,Takapuna Central,-36.78202515,174.76947038,12.75671199695185,Waitakere,Waitakere,WORK
Trentham North,Epuni West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Trentham North,-41.1328255,175.04564394,Epuni West,-41.20573675,174.92732065,12.799259205565946,Upper Hutt,Hutt city,WORK
Kelston South,Takapuna West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kelston South,-36.90380643,174.66266792,Takapuna West,-36.78910918,174.76117008,15.47527224253278,Waitakere,Waitakere,WORK
Kaiapoi Central,Middleton,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,18,Kaiapoi Central,-43.38654697,172.65446965,Middleton,-43.54208461,172.58331091,18.223551565460944,Waimakariri,Christchurch,WORK
Murrays Bay East,Eden Terrace,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Murrays Bay East,-36.73103029999999,174.75161954,Eden Terrace,-36.86462613,174.75964083,14.872337736974305,Waitakere,Waitakere,WORK
Western Heights (Auckland),Ellerslie West,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,36,Western Heights (Auckland),-36.88738067,174.61313879,Ellerslie West,-36.89897117,174.80612464,17.210326739133578,Waitakere,Waitakere,WORK
Homedale West,Thorndon,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,Homedale West,-41.2741023,174.94976407,Thorndon,-41.27246445,174.77422734,14.670903062847696,Hutt city,Wellington,WORK
Blockhouse Bay South,Wynyard-Viaduct,-999,21,-999,-999,9,-999,-999,-999,-999,-999,42,Blockhouse Bay South,-36.92531189,174.6983916,Wynyard-Viaduct,-36.8433094,174.75788827,10.542462911063687,Waitakere,Waitakere,WORK
Morningside (Auckland),Panmure Glen Innes Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Morningside (Auckland),-36.87312613,174.73197443,Panmure Glen Innes Industrial,-36.88365468,174.85076184,10.630332909707572,Waitakere,Waitakere,WORK
Wesley West,Otahuhu Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Wesley West,-36.89875702,174.72646197,Otahuhu Central,-36.94175556,174.83604598,10.85177995662099,Waitakere,Waitakere,WORK
Rolleston North West,Hornby Central,-999,63,15,-999,-999,-999,-999,-999,-999,-999,81,Rolleston North West,-43.60086348,172.36340669999996,Hornby Central,-43.53921804,172.53566342,15.47830930782951,Selwyn,Christchurch,WORK
Tuakau North,Drury,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Tuakau North,-37.25721309,174.94816256,Drury,-37.10606959,174.93669402,16.837073562505427,Franklin,Franklin,WORK
Warkworth East,Albany Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Warkworth East,-36.40528692,174.66791942,Albany Central,-36.72820186,174.70483518,36.057539869472656,Rodney,Waitakere,WORK
Greenhithe East,Parnell West,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Greenhithe East,-36.7641032,174.68932537,Parnell West,-36.85679261,174.77798053,12.981445500421758,Waitakere,Waitakere,WORK
Maeroa,Cambridge Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Maeroa,-37.77834857,175.26028849,Cambridge Central,-37.89316701,175.47159053,22.524134707543702,Hamilton,Waipa,WORK
McLaren Park,Karangahape,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,McLaren Park,-36.89892389,174.62097855,Karangahape,-36.85896498,174.75639764,12.838301839853909,Waitakere,Waitakere,WORK
Takanini South,Newmarket,-999,24,6,-999,-999,15,-999,-999,-999,-999,42,Takanini South,-37.04157360000001,174.93888309,Newmarket,-36.86853889,174.77706299,24.019769457668644,Franklin,Waitakere,WORK
Cockle Bay,Newmarket,-999,18,6,-999,-999,-999,-999,-999,-999,-999,30,Cockle Bay,-36.89765568,174.94328238,Newmarket,-36.86853889,174.77706299,15.134016728996425,Manukau,Waitakere,WORK
Henderson East,Hobson Ridge North,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,21,Henderson East,-36.88675131,174.63851372,Hobson Ridge North,-36.84707104,174.76276914,11.901761813869786,Waitakere,Waitakere,WORK
Wallacetown,Oreti River,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Wallacetown,-46.33578429,168.25553448,Oreti River,-46.00268489,168.31789888,37.349000341285056,Southland,Southland,WORK
Westlake,Henderson Lincoln South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Westlake,-36.77655884,174.75355966,Henderson Lincoln South,-36.86722468,174.62367505,15.3395247019015,Waitakere,Waitakere,WORK
Papakura Kelvin,Manukau Central,-999,48,6,-999,-999,-999,-999,-999,-999,-999,66,Papakura Kelvin,-37.05933436,174.96239449,Manukau Central,-36.99138991,174.86947528,11.18583672414509,Franklin,Manukau,WORK
Oratia,Quay Street-Customs Street,-999,12,-999,-999,-999,12,-999,-999,-999,-999,27,Oratia,-36.94487953,174.61183121,Quay Street-Customs Street,-36.84601989,174.77646293,18.30766750735696,Waitakere,Waitakere,WORK
Glendene South,Newmarket,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Glendene South,-36.89691229,174.65416828,Newmarket,-36.86853889,174.77706299,11.376600585961105,Waitakere,Waitakere,WORK
Wattle Downs East,Newmarket,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,Wattle Downs East,-37.04722333,174.8929496,Newmarket,-36.86853889,174.77706299,22.378463064669667,Franklin,Waitakere,WORK
Thorndon,Porirua Central,-999,12,-999,-999,-999,6,-999,-999,-999,-999,21,Thorndon,-41.27246445,174.77422734,Porirua Central,-41.14584359,174.82583047,14.726487312114472,Wellington,Porirua,WORK
New Windsor South,North Harbour,-999,21,6,-999,-999,-999,-999,-999,-999,-999,30,New Windsor South,-36.90852211,174.71637156,North Harbour,-36.74630474,174.71502975,18.038143921303238,Waitakere,Waitakere,WORK
Norsewood,Makaretu,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Norsewood,-40.11138214,176.15105007,Makaretu,-39.94160872,176.31273142,23.36447394959864,Tararua,Central Hawke's Bay,WORK
Greenhithe East,Eden Terrace,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Greenhithe East,-36.7641032,174.68932537,Eden Terrace,-36.86462613,174.75964083,12.810980358770488,Waitakere,Waitakere,WORK
Brentwood (Upper Hutt City),Naenae Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Brentwood (Upper Hutt City),-41.12890914,175.03679072,Naenae Central,-41.19973943,174.94956607,10.739844407195747,Upper Hutt,Hutt city,WORK
West Melton,Bankside,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,West Melton,-43.52569623,172.36518722,Bankside,-43.65857485,172.03741575,30.250829447847213,Selwyn,Selwyn,WORK
Royal Heights South,Eden Terrace,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,Royal Heights South,-36.83554837,174.62832303,Eden Terrace,-36.86462613,174.75964083,12.123628477974146,Waitakere,Waitakere,WORK
Oteha East,Grey Lynn East,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Oteha East,-36.71657898,174.72207262,Grey Lynn East,-36.86181959,174.75208551,16.36967074721853,Waitakere,Waitakere,WORK
Paekakariki,Vivian West,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,15,Paekakariki,-40.97186832,174.96895136,Vivian West,-41.2946931,174.77283972,39.47548123751738,Kapiti Coast,Wellington,WORK
Seddon Park,St Clair,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Seddon Park,-45.87666031,170.35643822,St Clair,-45.9148609,170.47562075,10.15440707510458,Dunedin,Dunedin,WORK
Kaurilands,Grey Lynn North,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kaurilands,-36.92947622,174.65583671,Grey Lynn North,-36.85879216,174.73576481,10.596987846647206,Waitakere,Waitakere,WORK
Waiorohi,Tauranga Central,-999,81,15,-999,-999,-999,-999,-999,-999,-999,99,Waiorohi,-37.87712037,176.14775568,Tauranga Central,-37.67947411,176.16704264,22.042533542392874,Western Bay of Plenty,,WORK
Massey West,Takapuna West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Massey West,-36.84988607,174.60742952,Takapuna West,-36.78910918,174.76117008,15.262863772978635,Waitakere,Waitakere,WORK
Remuera Waiata,Takapuna Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Remuera Waiata,-36.87744319,174.80437822,Takapuna Central,-36.78202515,174.76947038,11.055537554606122,Waitakere,Waitakere,WORK
Papakura Kelvin,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Papakura Kelvin,-37.05933436,174.96239449,Queen Street,-36.84774104,174.76524972,29.33343169308077,Franklin,Waitakere,WORK
Mowhanau,Lower Aramoho,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,6,Mowhanau,-39.84344675,174.90288293,Lower Aramoho,-39.90451924,175.05309598,14.50647320433233,Wanganui,Wanganui,WORK
Western Heights (Auckland),Mangere Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Western Heights (Auckland),-36.88738067,174.61313879,Mangere Central,-36.97101355,174.79882139,18.944336883619187,Waitakere,Manukau,WORK
Remuera East,Takapuna West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Remuera East,-36.8760597,174.82144132,Takapuna West,-36.78910918,174.76117008,11.056791315760654,Waitakere,Waitakere,WORK
Campbells Bay,Victoria Park ,-999,12,-999,-999,9,-999,-999,-999,-999,-999,27,Campbells Bay,-36.74954905,174.75627345,Victoria Park,-36.84857807,174.75659124,11.0115609689219,Waitakere,Waitakere,WORK
Lilybrook,Christchurch Central-South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Lilybrook,-43.31092043,172.59368431,Christchurch Central-South,-43.53815861,172.64240289,25.572214004337287,Waimakariri,Christchurch,WORK
Clevedon,Botany Junction,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Clevedon,-37.01480977,175.04590674,Botany Junction,-36.95962843,174.89641804,14.626684729721145,Manukau,Manukau,WORK
New Windsor North,Wairau Valley ,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,New Windsor North,-36.90238578,174.71253897,Wairau Valley,-36.77355541,174.73453173,14.458367530376954,Waitakere,Waitakere,WORK
New Lynn Central South,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,New Lynn Central South,-36.91380003,174.68227832,Auckland-University,-36.85143057,174.76906469,10.37678196188657,Waitakere,Waitakere,WORK
Styx,Christchurch Airport,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Styx,-43.43834815,172.68103716,Christchurch Airport,-43.48221523,172.54383636,12.100319987467326,Christchurch,Christchurch,WORK
Pokeno,Pukekohe Central,-999,72,15,-999,-999,-999,-999,-999,-999,-999,87,Pokeno,-37.24416888,175.02021530000005,Pukekohe Central,-37.20891954,174.91332549999996,10.243456594540042,Franklin,Franklin,WORK
Leamington South,Kirikiriroa,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Leamington South,-37.91630252,175.46771972,Kirikiriroa,-37.7819599,175.27469286,22.591910506948434,Waipa,Hamilton,WORK
Pahurehure,Kingseat-Karaka,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Pahurehure,-37.06864785,174.93272857,Kingseat-Karaka,-37.12442419,174.82148593,11.653686497896626,Franklin,Franklin,WORK
Ramarama,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ramarama,-37.15945142,174.93408164,Queen Street,-36.84774104,174.76524972,37.76406893777991,Franklin,Waitakere,WORK
Whangaparoa Central,East Tamaki,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Whangaparoa Central,-36.63661523,174.73358327,East Tamaki,-36.93823242,174.88712871,36.21852226331925,Rodney,Manukau,WORK
Puketona-Waitangi,Opua (Far North District),-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Puketona-Waitangi,-35.27991822,174.00095246,Opua (Far North District),-35.32270229,174.10002605,10.171891753619652,Far North,Far North,WORK
Totara Heights,Quay Street-Customs Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Totara Heights,-37.0016393,174.90024498,Quay Street-Customs Street,-36.84601989,174.77646293,20.50622915732817,Franklin,Waitakere,WORK
Takapuna West,Penrose,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,30,Takapuna West,-36.78910918,174.76117008,Penrose,-36.91999811,174.82258914,15.546288092402106,Waitakere,Waitakere,WORK
Narrow Neck,Manukau Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Narrow Neck,-36.81569367,174.79661047,Manukau Central,-36.99138991,174.86947528,20.582810940331488,Waitakere,Manukau,WORK
Tuamarina,Riversdale-Islington,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Tuamarina,-41.41852542,173.91114659,Riversdale-Islington,-41.50646403,173.96708444,10.832474536371446,Marlborough,Marlborough,WORK
Rolleston South West,Bankside,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,27,Rolleston South West,-43.6149097,172.37458523,Bankside,-43.65857485,172.03741575,27.56469640157984,Selwyn,Selwyn,WORK
Shelly Park,Middlemore,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Shelly Park,-36.90830816,174.94645122,Middlemore,-36.96044494,174.84306701,10.864831009619373,Manukau,Manukau,WORK
Remuera Waiatarua,Auckland Airport,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,24,Remuera Waiatarua,-36.88285416,174.82744827,Auckland Airport,-36.9891029,174.77400859,12.733320347455974,Waitakere,Manukau,WORK
Waitakere,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Waitakere,-36.85697982,174.54072919,Parnell West,-36.85679261,174.77798053,21.108515145794755,Waitakere,Waitakere,WORK
Otaki,Raumati South,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Otaki,-40.75304139,175.13966802,Raumati South,-40.94126612,174.98329156,24.71968992622141,Kapiti Coast,Kapiti Coast,WORK
Kirwee,Riccarton Central,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Kirwee,-43.47484385,172.19966515,Riccarton Central,-43.53057675,172.59907505,32.80478390212585,Selwyn,Christchurch,WORK
Karamu,Napier Central,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Karamu,-39.62823535,176.88383629,Napier Central,-39.49277802,176.91573492,15.308383645058957,Hastings city,Napier,WORK
Te Rahu,Tokanui,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Te Rahu,-37.94962706,175.34864156,Tokanui,-38.06948642,175.32194392,13.531444422635458,Waipa,Waipa,WORK
Pukekohe West,Manukau Central,-999,42,9,-999,-999,-999,-999,-999,-999,-999,57,Pukekohe West,-37.20097025,174.88803986,Manukau Central,-36.99138991,174.86947528,23.362364225222997,Franklin,Manukau,WORK
Papakowhai,Thorndon,-999,12,-999,-999,-999,27,-999,-999,-999,-999,45,Papakowhai,-41.11593264,174.86350564,Thorndon,-41.27246445,174.77422734,18.940836763385587,Porirua,Wellington,WORK
Cairnbrae,Ashburton Forks,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Cairnbrae,-43.66455634,171.77355459,Ashburton Forks,-43.78492258,171.43181981,30.548794589929358,Ashburton,Ashburton,WORK
Tawa South,Vivian East,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,18,Tawa South,-41.18147753,174.81690066,Vivian East,-41.29691524,174.78007236,13.200293127840604,Wellington,Wellington,WORK
Konini,Panmure Glen Innes Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Konini,-36.92920297,174.64373108,Panmure Glen Innes Industrial,-36.88365468,174.85076184,19.09184928266636,Waitakere,Waitakere,WORK
Otara East,Hobson Ridge North,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,Otara East,-36.95494224,174.88625064,Hobson Ridge North,-36.84707104,174.76276914,16.26138022958052,Manukau,Waitakere,WORK
Waima-Woodlands Park,Parnell West,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,30,Waima-Woodlands Park,-36.94665584,174.63541623,Parnell West,-36.85679261,174.77798053,16.141383348213832,Waitakere,Waitakere,WORK
Pegasus Bay,Christchurch Central-West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Pegasus Bay,-43.35501518,172.69010397,Christchurch Central-West,-43.52780609,172.6306519,19.803959656041986,Waimakariri,Christchurch,WORK
Kelvin Grove North,Ohakea-Sanson,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Kelvin Grove North,-40.32242994,175.6605118,Ohakea-Sanson,-40.21459412,175.39491461,25.526037641744608,Palmerston North,Manawatu,WORK
Raumati South,Newtown North,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Raumati South,-40.94126612,174.98329156,Newtown North,-41.30900081,174.78319441,44.191767802306444,Kapiti Coast,Wellington,WORK
West Lynn,Takapuna West,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,West Lynn,-36.92520977,174.66621863,Takapuna West,-36.78910918,174.76117008,17.33192748982784,Waitakere,Waitakere,WORK
Featherston,Kahutara,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21,Featherston,-41.11610965,175.32429671,Kahutara,-41.33273164,175.08046255,31.56036798879817,South Wairarapa,South Wairarapa,WORK
Otahuhu South,Parnell West,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Otahuhu South,-36.94719396,174.84996655,Parnell West,-36.85679261,174.77798053,11.917111881779235,Manukau,Waitakere,WORK
Greensboro,Cambridge Central,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,15,Greensboro,-37.78580589,175.31016401,Cambridge Central,-37.89316701,175.47159053,18.532729077328252,Hamilton,Waipa,WORK
Waikanae Park,Pipitea-Kaiwharawhara,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Waikanae Park,-40.86251456,175.04924738,Pipitea-Kaiwharawhara,-41.27624822,174.78772639,50.96183633838808,Kapiti Coast,Wellington,WORK
Remuera Waiata,Botany Junction,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Remuera Waiata,-36.87744319,174.80437822,Botany Junction,-36.95962843,174.89641804,12.266345567424786,Waitakere,Manukau,WORK
Postgate,Dixon Street,-999,9,-999,-999,-999,9,-999,-999,-999,-999,24,Postgate,-41.11331454,174.88235004,Dixon Street,-41.29101921,174.77469531,21.715678239274688,Porirua,Wellington,WORK
Western Heights (Auckland),Eden Terrace,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,21,Western Heights (Auckland),-36.88738067,174.61313879,Eden Terrace,-36.86462613,174.75964083,13.274547339800735,Waitakere,Waitakere,WORK
Peachgrove,Cambridge Central,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Peachgrove,-37.77692046,175.2973258,Cambridge Central,-37.89316701,175.47159053,20.032213677544906,Hamilton,Waipa,WORK
Coatesville,Queen Street,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Coatesville,-36.72270876,174.64336292,Queen Street,-36.84774104,174.76524972,17.638410069216228,Rodney,Waitakere,WORK
Starvation Hill-Cust,Christchurch Airport,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18,Starvation Hill-Cust,-43.29262485,172.36275322,Christchurch Airport,-43.48221523,172.54383636,25.66228870330576,Waimakariri,Christchurch,WORK
Whangaruru,Mangakahia-Hukerenui,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Whangaruru,-35.48991999,174.33501130000005,Mangakahia-Hukerenui,-35.65301955,174.0023164,35.13328947399333,Whangarei,Whangarei,WORK
Glendowie South,Grey Lynn East,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Glendowie South,-36.8646606,174.8672379,Grey Lynn East,-36.86181959,174.75208551,10.249250881866214,Waitakere,Waitakere,WORK
Okahukura Peninsula,Silverdale Central (Auckland),-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Okahukura Peninsula,-36.31614337,174.47831639,Silverdale Central (Auckland),-36.62402013,174.67493059999995,38.48484111282032,Rodney,Rodney,WORK
Harania North,Parnell West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Harania North,-36.96170937,174.8102543,Parnell West,-36.85679261,174.77798053,12.013921362551491,Manukau,Waitakere,WORK
West Harbour Luckens Point,Mount Wellington Industrial,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,West Harbour Luckens Point,-36.81802341,174.63695983,Mount Wellington Industrial,-36.92046064,174.85162182,22.234790525674324,Waitakere,Waitakere,WORK
Waiuku East,Takanini Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Waiuku East,-37.25796999,174.73496824,Takanini Central,-37.05069884,174.92586896,28.590483762477497,Franklin,Franklin,WORK
Pihauatua,Palmerston North Central,-999,93,9,-999,-999,-999,-999,-999,-999,-999,105,Pihauatua,-40.45284951,175.60466791,Palmerston North Central,-40.35537702,175.61010962,10.8482362631541,Palmerston North,Palmerston North,WORK
Clendon Park North,Ellerslie West,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Clendon Park North,-37.02445325,174.8600384,Ellerslie West,-36.89897117,174.80612464,14.752327996247546,Franklin,Waitakere,WORK
Te Atatu Peninsula Central,Epsom East,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Te Atatu Peninsula Central,-36.83605713,174.65174006,Epsom East,-36.89528995,174.7782585,13.040696149344225,Waitakere,Waitakere,WORK
Ararimu,Pukekohe Central,-999,36,6,-999,-999,-999,-999,-999,-999,-999,42,Ararimu,-37.14686222,175.08246983,Pukekohe Central,-37.20891954,174.91332549999996,16.497935193297288,Franklin,Franklin,WORK
Heretaunga,Rongotai,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Heretaunga,-41.13877359,175.01905143,Rongotai,-41.33075256,174.80968821,27.607831975144023,Upper Hutt,Wellington,WORK
Glen Innes East-Wai O Taiki Bay,Victoria Park ,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,Glen Innes East-Wai O Taiki Bay,-36.87360239,174.87120197,Victoria Park,-36.84857807,174.75659124,10.569339524839776,Waitakere,Waitakere,WORK
The Gardens (Auckland),Glenbrook,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,The Gardens (Auckland),-37.00156996,174.91303846,Glenbrook,-37.20183488,174.75527205,26.299177417914606,Franklin,Franklin,WORK
Wellsford,Silverdale Central (Auckland),-999,15,9,-999,-999,-999,-999,-999,-999,-999,24,Wellsford,-36.2928483,174.52152782,Silverdale Central (Auckland),-36.62402013,174.67493059999995,39.29719017366868,Rodney,Rodney,WORK
Mangere South East,Hobson Ridge North,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mangere South East,-36.98695925,174.82743938,Hobson Ridge North,-36.84707104,174.76276914,16.58335006146316,Manukau,Waitakere,WORK
Donegal Park,Newmarket,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12,Donegal Park,-36.97749254,174.90785629,Newmarket,-36.86853889,174.77706299,16.791562726906015,Manukau,Waitakere,WORK
Clendon Park East,East Tamaki,-999,36,-999,-999,-999,-999,-999,-999,-999,-999,48,Clendon Park East,-37.03230003,174.8651409,East Tamaki,-36.93823242,174.88712871,10.640603159192224,Franklin,Manukau,WORK
Leamington East,Te Rapa North,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,Leamington East,-37.902915,175.48298816,Te Rapa North,-37.73226423,175.22072362,29.846101550589136,Waipa,Hamilton,WORK
Kendallvale,Wiri West,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,18,Kendallvale,-37.25314449,174.75072659999995,Wiri West,-37.00828264,174.8624367,28.972486261176467,Franklin,Franklin,WORK
Redcastle,Quay Street-Customs Street,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Redcastle,-36.94313907,174.90527124,Quay Street-Customs Street,-36.84601989,174.77646293,15.742577030135696,Manukau,Waitakere,WORK
