SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,TYPE
Otahuhu South West,Rosebank Peninsula,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Otahuhu South West,-36.95216719,174.84005503,Rosebank Peninsula,-36.88086056,174.67580445,16.615971581534822,Waitakere,Waitakere,WORK
Kaitawa,Pahiatua,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,33,Kaitawa,-40.47250224,175.97682513,Pahiatua,-40.45465931,175.83721683,11.976231754570303,Tararua,Tararua,WORK
Glendene South,Eden Terrace,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Glendene South,-36.89691229,174.65416828,Eden Terrace,-36.86462613,174.75964083,10.044553556308706,Waitakere,Waitakere,WORK
Favona East,Takanini Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Favona East,-36.95588747,174.81087863,Takanini Industrial,-37.03359785,174.91535579,12.679126719148009,Manukau,Franklin,WORK
Matarau,Woodhill-Vinetown,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Matarau,-35.66728748,174.20987157,Woodhill-Vinetown,-35.727035,174.30955264,11.187684407453434,Whangarei,Whangarei,WORK
Marlborough Sounds East,Awatere,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Marlborough Sounds East,-41.3212678,174.04011823,Awatere,-42.09611412,173.2944504,106.08771578148823,Marlborough,Marlborough,WORK
Drury Rural,Manukau Central,-999,36,15,-999,-999,6,-999,-999,-999,-999,60,Drury Rural,-37.11220768,174.97476145,Manukau Central,-36.99138991,174.86947528,16.364033831056965,Franklin,Manukau,WORK
Stanmore Bay West,Newmarket,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,12,Stanmore Bay West,-36.62300197,174.72724226,Newmarket,-36.86853889,174.77706299,27.66097089818769,Rodney,Waitakere,WORK
Stanmore Bay West,Onehunga-Te Papapa Industrial,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Stanmore Bay West,-36.62300197,174.72724226,Onehunga-Te Papapa Industrial,-36.92606886,174.79489131,34.23390445905587,Rodney,Waitakere,WORK
Botany South,Hobson Ridge North,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Botany South,-36.9385812,174.91414624,Hobson Ridge North,-36.84707104,174.76276914,16.874873533699425,Manukau,Waitakere,WORK
