SA2_name_usual_residence_address,SA2_name_educational_address,Study_at_home,Drive_a_car_truck_or_van,Passenger_in_a_car_truck_or_van,Train,Bicycle,Walk_or_jog,School_bus,Public_bus,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,TYPE
Hamilton West,Auckland-University,-999,-999,-999,-999,-999,9,-999,-999,-999,-999,9,Hamilton West,-37.80074182,175.2844169,Auckland-University,-36.85143057,174.76906469,114.97375248901724,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Greensboro,Auckland-University,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,12,Greensboro,-37.78580589,175.31016401,Auckland-University,-36.85143057,174.76906469,114.38623036516924,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Melville North,Auckland-University,-999,9,-999,-999,-999,12,-999,-999,-999,-999,21,Melville North,-37.81091872,175.27938651,Auckland-University,-36.85143057,174.76906469,115.83839313838122,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Hamilton East,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Hamilton East,-37.80128004,175.30076378,Auckland-University,-36.85143057,174.76906469,115.6088128614295,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Melville South,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Melville South,-37.81569499,175.2785074,Auckland-University,-36.85143057,174.76906469,116.29704690367878,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Hillcrest West (Hamilton City),Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Hillcrest West (Hamilton City),-37.79546663,175.31326581,Auckland-University,-36.85143057,174.76906469,115.4755630589725,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Hillcrest East (Hamilton City),Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Hillcrest East (Hamilton City),-37.79610513,175.32167122,Auckland-University,-36.85143057,174.76906469,115.85152174444526,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Glenview,Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Glenview,-37.81914877,175.29054836,Auckland-University,-36.85143057,174.76906469,117.06593820635294,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Fitzroy ,Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9,Fitzroy,-37.81785453,175.30086297,Auckland-University,-36.85143057,174.76906469,117.29635838194888,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Riverlea,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Riverlea,-37.80516292,175.32490337,Auckland-University,-36.85143057,174.76906469,116.88413308477942,Hamilton,Waitakere,Waikato,Auckland,EDUCATION
Matua North,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Matua North,-37.66586707,176.12333377,Auckland-University,-36.85143057,174.76906469,150.21823926649657,Western Bay of Plenty,Waitakere,Bay of Plenty,Auckland,EDUCATION
Mount Maunganui North,Auckland-University,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Mount Maunganui North,-37.63000366,176.1731587,Auckland-University,-36.85143057,174.76906469,151.46920217957256,,Waitakere,,Auckland,EDUCATION
Bethlehem Central,Auckland-University,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,9,Bethlehem Central,-37.7065879,176.11498118,Auckland-University,-36.85143057,174.76906469,152.38687826070344,Western Bay of Plenty,Waitakere,Bay of Plenty,Auckland,EDUCATION
Mount Maunganui South,Auckland-University,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6,Mount Maunganui South,-37.64901161,176.19758038,Auckland-University,-36.85143057,174.76906469,154.43873592517832,Western Bay of Plenty,Waitakere,Bay of Plenty,Auckland,EDUCATION
Greerton North,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Greerton North,-37.72989507,176.13764569,Auckland-University,-36.85143057,174.76906469,155.55816359290517,Western Bay of Plenty,Waitakere,Bay of Plenty,Auckland,EDUCATION
Arataki South,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Arataki South,-37.67254346,176.2257874,Auckland-University,-36.85143057,174.76906469,157.97019013436594,Western Bay of Plenty,Waitakere,Bay of Plenty,Auckland,EDUCATION
Welcome Bay South,Auckland-University,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Welcome Bay South,-37.73637425,176.19743547,Auckland-University,-36.85143057,174.76906469,160.1462058007672,Western Bay of Plenty,Waitakere,Bay of Plenty,Auckland,EDUCATION
Ngongotaha East,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Ngongotaha East,-38.06283551,176.21388396,Auckland-University,-36.85143057,174.76906469,185.49044375649868,Rotorua,Waitakere,Bay of Plenty,Auckland,EDUCATION
Pomare,Auckland-University,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Pomare,-38.15440452,176.2216546,Auckland-University,-36.85143057,174.76906469,193.41262581237308,Rotorua,Waitakere,Waikato,Auckland,EDUCATION
