id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W410,Raumanga,Whangarei Central,PASSENGER_IN_VEHICLE,18,EDUCATION,Raumanga,-35.74968804,174.29896302,Whangarei Central,-35.72846995,174.32430322,3.2859201489749075,Whangarei,Whangarei,Northland,Northland
W414,Otaika-Portland,Whangarei Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Otaika-Portland,-35.78104758,174.28575580000003,Whangarei Central,-35.72846995,174.32430322,6.802897803573011,Whangarei,Whangarei,Northland,Northland
W415,Oakleigh-Mangapai,Whangarei Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Oakleigh-Mangapai,-35.89588695,174.21595621,Whangarei Central,-35.72846995,174.32430322,21.023876321544968,Whangarei,Whangarei,Northland,Northland
W416,Pataua,Whangarei Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Pataua,-35.69695195,174.42794425,Whangarei Central,-35.72846995,174.32430322,9.992026417103027,Whangarei,Whangarei,Northland,Northland
W417,Onerahi Park,Whangarei Central,PASSENGER_IN_VEHICLE,12,EDUCATION,Onerahi Park,-35.75246425,174.37259829,Whangarei Central,-35.72846995,174.32430322,5.1105460568716286,Whangarei,Whangarei,Northland,Northland
W418,Sherwood Rise,Whangarei Central,PASSENGER_IN_VEHICLE,18,EDUCATION,Sherwood Rise,-35.7486834,174.3618074,Whangarei Central,-35.72846995,174.32430322,4.063236352929272,Whangarei,Whangarei,Northland,Northland
W419,Onerahi,Whangarei Central,PASSENGER_IN_VEHICLE,9,EDUCATION,Onerahi,-35.76617497,174.363527,Whangarei Central,-35.72846995,174.32430322,5.487079761140008,Whangarei,Whangarei,Northland,Northland
W420,Parua Bay,Whangarei Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Parua Bay,-35.76001844,174.42812257,Whangarei Central,-35.72846995,174.32430322,10.0048181178566,Whangarei,Whangarei,Northland,Northland
W437,Kawakawa,Moerewa,PASSENGER_IN_VEHICLE,9,EDUCATION,Kawakawa,-35.37897674,174.07575504,Moerewa,-35.38372176,174.02517066,4.616183486427703,Far North,Far North,Northland,Northland
W463,Granfield Reserve,Port-Limeburners,PASSENGER_IN_VEHICLE,9,EDUCATION,Granfield Reserve,-35.69015065,174.29505823,Port-Limeburners,-35.74927345,174.33075178,7.321395482237778,Whangarei,Whangarei,Northland,Northland
W464,Kamo Central,Port-Limeburners,PASSENGER_IN_VEHICLE,9,EDUCATION,Kamo Central,-35.68486255,174.30491552,Port-Limeburners,-35.74927345,174.33075178,7.5324088738625266,Whangarei,Whangarei,Northland,Northland
W468,Otangarei,Port-Limeburners,PASSENGER_IN_VEHICLE,6,EDUCATION,Otangarei,-35.69329776,174.31769963,Port-Limeburners,-35.74927345,174.33075178,6.334760333238437,Whangarei,Whangarei,Northland,Northland
