id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W40376,Waitohi (Marlborough District),Waitohi (Marlborough District),WORK_AT_HOME,207,WORK,Waitohi (Marlborough District),-41.2943994,173.99961791,Waitohi (Marlborough District),-41.2943994,173.99961791,0.0,Marlborough,Marlborough,Marlborough,Marlborough
W40423,Woodbourne,Woodbourne,WORK_AT_HOME,303,WORK,Woodbourne,-41.5308031,173.90363794,Woodbourne,-41.5308031,173.90363794,0.0,Marlborough,Marlborough,Marlborough,Marlborough
W40446,Lower Wairau ,Lower Wairau ,WORK_AT_HOME,231,WORK,Lower Wairau,-41.48548663,174.00600752,Lower Wairau,-41.48548663,174.00600752,0.0,Marlborough,Marlborough,Marlborough,Marlborough
W40462,Upper Wairau ,Upper Wairau ,WORK_AT_HOME,408,WORK,Upper Wairau,-41.71793751,173.30406264,Upper Wairau,-41.71793751,173.30406264,0.0,Marlborough,Marlborough,Marlborough,Marlborough
W40578,Awatere,Awatere,WORK_AT_HOME,333,WORK,Awatere,-42.09611412,173.2944504,Awatere,-42.09611412,173.2944504,0.0,Marlborough,Marlborough,Marlborough,Marlborough
W40613,Springlands,Springlands,WORK_AT_HOME,207,WORK,Springlands,-41.50422292,173.93617831,Springlands,-41.50422292,173.93617831,0.0,Marlborough,Marlborough,Marlborough,Marlborough
W40706,Kaikoura Ranges,Kaikoura Ranges,WORK_AT_HOME,336,WORK,Kaikoura Ranges,-42.19710797,173.64408497,Kaikoura Ranges,-42.19710797,173.64408497,0.0,Kaikoura,Kaikoura,Canterbury,Canterbury
W40709,Kaikoura,Kaikoura,WORK_AT_HOME,249,WORK,Kaikoura,-42.4127248,173.67667951,Kaikoura,-42.4127248,173.67667951,0.0,Kaikoura,Kaikoura,Canterbury,Canterbury
W40736,Inangahua,Inangahua,WORK_AT_HOME,204,WORK,Inangahua,-42.17196452,171.99565878,Inangahua,-42.17196452,171.99565878,0.0,Buller,Buller,West Coast,West Coast
W44062,Merivale,Merivale,WORK_AT_HOME,231,WORK,Merivale,-43.51635206,172.61911331,Merivale,-43.51635206,172.61911331,0.0,Christchurch,Christchurch,Canterbury,Canterbury
W45112,Lake Brunner,Lake Brunner,WORK_AT_HOME,261,WORK,Lake Brunner,-42.66149957,171.69470271,Lake Brunner,-42.66149957,171.69470271,0.0,Grey,Grey,West Coast,West Coast
W45114,Westland Glaciers-Bruce Bay,Westland Glaciers-Bruce Bay,WORK_AT_HOME,210,WORK,Westland Glaciers-Bruce Bay,-43.61327906,169.84261384,Westland Glaciers-Bruce Bay,-43.61327906,169.84261384,0.0,Westland,Westland,West Coast,West Coast
