id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
W498,Otatara,Maromaku,DRIVE_OWN_VEHICLE,9,WORK,Otatara,-46.43520129,168.28791931,Maromaku,-35.47825535,174.14132759999995,1312.8245060635056,Invercargill,Far North,Southland,Northland
W22680,Mount Wellington North West,Melrose,DRIVE_OWN_VEHICLE,9,WORK,Mount Wellington North West,-36.89388294,174.82931818,Melrose,-41.32428747,174.78913074,492.6506911205822,Waitakere,Wellington,Auckland,Wellington
W22681,Mount Wellington North East,Melrose,DRIVE_OWN_VEHICLE,6,WORK,Mount Wellington North East,-36.89400476,174.84294936,Melrose,-41.32428747,174.78913074,492.6468131744378,Waitakere,Wellington,Auckland,Wellington
W22682,Mount Wellington Ferndale,Melrose,DRIVE_OWN_VEHICLE,12,WORK,Mount Wellington Ferndale,-36.90212113,174.83177929,Melrose,-41.32428747,174.78913074,491.73620825593696,Waitakere,Wellington,Auckland,Wellington
W22683,Mount Wellington West,Melrose,DRIVE_OWN_VEHICLE,9,WORK,Mount Wellington West,-36.91116791,174.82771093,Melrose,-41.32428747,174.78913074,490.72777638748886,Waitakere,Wellington,Auckland,Wellington
W29914,East Cape,Gisborne Central,DRIVE_OWN_VEHICLE,15,WORK,East Cape,-37.68457303,178.25309634,Gisborne Central,-38.66778237,178.02299313,111.16259357496365,Gisborne,Gisborne,Gisborne,Gisborne
W31729,Queens Square,Carterton South,DRIVE_OWN_VEHICLE,6,WORK,Queens Square,-39.64447191,176.85383704,Carterton South,-41.03427242,175.51425212,191.756746251518,Hastings city,Carterton,Hawke's Bay,Wellington
W40231,Richmond Central (Tasman District),Lower Waitaki,DRIVE_OWN_VEHICLE,6,WORK,Richmond Central (Tasman District),-41.33750365,173.18938637,Lower Waitaki,-45.00239341,171.02035686,443.8151924583857,Tasman,Waitaki,Nelson,Otago
W40232,Templemore,Lower Waitaki,DRIVE_OWN_VEHICLE,6,WORK,Templemore,-41.34152248,173.20418736,Lower Waitaki,-45.00239341,171.02035686,443.8795733424012,Tasman,Waitaki,Nelson,Otago
W40825,Westland Glaciers-Bruce Bay,Hokitika,DRIVE_OWN_VEHICLE,6,WORK,Westland Glaciers-Bruce Bay,-43.61327906,169.84261384,Hokitika,-42.71867868,170.97186323,135.21241509687815,Westland,Westland,West Coast,West Coast
W50062,Te Anau,Invercargill Central,DRIVE_OWN_VEHICLE,6,WORK,Te Anau,-45.413515600000004,167.72303047,Invercargill Central,-46.41489239,168.32850731,120.79824507556488,Southland,Invercargill,Southland,Southland
