id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1
E13,North Cape,Kaitaia West,BUS,63,EDUCATION,North Cape,-34.50545276,172.77554997,Kaitaia West,-35.12178170000001,173.26717397,81.92088293451681,Far North,Far North,Northland,Northland
E671,Moerewa,Morningside (Whangarei District),BUS,9,EDUCATION,Moerewa,-35.38372176,174.02517066,Morningside (Whangarei District),-35.73638776,174.32005673,47.42705889282313,Far North,Whangarei,Northland,Northland
E894,Kaipara Coastal,Pukenui,BUS,6,EDUCATION,Kaipara Coastal,-35.72900181,173.65124289,Pukenui,-35.74644668,174.25502298,54.52970094582493,Kaipara,Whangarei,Northland,Northland
E1573,Bream Bay,Hilltop (Taupo District),BUS,6,EDUCATION,Bream Bay,-35.91496801,174.38390319,Hilltop (Taupo District),-38.69976213,176.09915047,344.7999792325415,Whangarei,Taupo,Northland,Waikato
E1605,Dargaville,Maungaturoto,BUS,9,EDUCATION,Dargaville,-35.93920158,173.86524045,Maungaturoto,-36.10952458,174.34693916,47.278570118241355,Kaipara,Kaipara,Northland,Northland
E1816,Cape Rodney,Albany Central,BUS,9,EDUCATION,Cape Rodney,-36.25433822,174.62638047,Albany Central,-36.72820186,174.70483518,53.15593788759575,Rodney,Waitakere,Auckland,Auckland
E10296,Lynmore,Bethlehem Central,BUS,6,EDUCATION,Lynmore,-38.14940578,176.28895362,Bethlehem Central,-37.706587899999995,176.11498118,51.549200174394855,Rotorua,Western Bay of Plenty,Bay of Plenty,Bay of Plenty
E10670,Herangi,Otorohanga,BUS,15,EDUCATION,Herangi,-38.45166436,174.80364536,Otorohanga,-38.18318495,175.21677363,46.80028381026428,Waitomo,Otorohanga,Waikato,Waikato
E12114,Cape Runaway,Opotiki,BUS,12,EDUCATION,Cape Runaway,-37.85617143,177.78942872,Opotiki,-38.013115899999995,177.28682473,47.40763350741303,Opotiki,Opotiki,Bay of Plenty,Bay of Plenty
E12503,Maraekakaho,Frimley,BUS,9,EDUCATION,Maraekakaho,-39.62634976,176.29699518,Frimley,-39.62166848,176.82925988,45.59002213206472,Hastings,Hastings city,Hawke's Bay,Hawke's Bay
E12703,Maraekakaho,Mayfair,BUS,9,EDUCATION,Maraekakaho,-39.62634976,176.29699518,Mayfair,-39.64014808,176.86339942,48.528783673172036,Hastings,Hastings city,Hawke's Bay,Hawke's Bay
E13356,Te Roti-Moeroa,Westown ,BUS,6,EDUCATION,Te Roti-Moeroa,-39.43904821,174.49347034,Westown,-39.0747742,174.06011109,55.07155859424114,South Taranaki,New Plymouth,Taranaki,Taranaki
E14117,Mokai Patea,Otairi,BUS,12,EDUCATION,Mokai Patea,-39.59566818,175.89442958,Otairi,-39.8895865,175.52547495,45.42308532152907,Rangitikei,Rangitikei,Manawatu-Wanganui,Manawatu-Wanganui
E14725,Nireaha-Eketahuna,Owhanga,BUS,6,EDUCATION,Nireaha-Eketahuna,-40.65364269,175.79396455,Owhanga,-40.51321329,176.31039241,46.32243871052826,Tararua,Tararua,Manawatu-Wanganui,Manawatu-Wanganui
E14825,Aorangi Forest,Kuripuni,BUS,9,EDUCATION,Aorangi Forest,-41.37490301,175.45793738,Kuripuni,-40.95167579,175.64326344,49.551893907099064,South Wairarapa,Masterton,Wellington,Wellington
E17627,Upper Wairau ,Murchison-Nelson Lakes,BUS,12,EDUCATION,Upper Wairau,-41.71793751,173.30406264,Murchison-Nelson Lakes,-41.88459953,172.4650349,71.97462388348177,Marlborough,Tasman,Marlborough,Nelson
E17839,Upper Wairau ,Springlands,BUS,30,EDUCATION,Upper Wairau,-41.71793751,173.30406264,Springlands,-41.50422292,173.93617831,57.675318050976756,Marlborough,Marlborough,Marlborough,Marlborough
E17843,Awatere,Springlands,BUS,18,EDUCATION,Awatere,-42.09611412,173.2944504,Springlands,-41.50422292,173.93617831,84.62406138014046,Marlborough,Marlborough,Marlborough,Marlborough
E17867,Upper Wairau ,Renwick,BUS,48,EDUCATION,Upper Wairau,-41.71793751,173.30406264,Renwick,-41.50813804,173.82591754,49.25849156070403,Marlborough,Marlborough,Marlborough,Marlborough
E17875,Upper Wairau ,Whitney East,BUS,27,EDUCATION,Upper Wairau,-41.71793751,173.30406264,Whitney East,-41.52059859,173.95891011,58.69127006639549,Marlborough,Marlborough,Marlborough,Marlborough
