id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W1518,Epsom Central-North,North Harbour,DRIVE_OWN_VEHICLE,18,EDUCATION,Epsom Central-North,-36.88779009,174.76992615,North Harbour,-36.74630474,174.71502975,16.473926318188063,Waitakere,Waitakere,Auckland,Auckland,15634
W24693,Miropiko,Te Rapa South,DRIVE_OWN_VEHICLE,90,EDUCATION,Miropiko,-37.76463892,175.27155726,Te Rapa South,-37.76141322,175.24114614,2.6972504532111072,Hamilton,Hamilton,Waikato,Waikato,1374
W34923,Petone Central,Wellington Central,DRIVE_OWN_VEHICLE,15,EDUCATION,Petone Central,-41.22362356,174.86969444,Wellington Central,-41.2849345,174.77572593,10.40115128688842,Hutt city,Wellington,Wellington,Wellington,2670
W40956,Mona Vale,Northlands (Christchurch City),DRIVE_OWN_VEHICLE,6,EDUCATION,Mona Vale,-43.52638334,172.60669389,Northlands (Christchurch City),-43.49209266,172.60688807,3.8129818043377695,Christchurch,Christchurch,Canterbury,Canterbury,4633
