id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W40828,Hokitika Rural,Hokitika,BICYCLE,9,EDUCATION,Hokitika Rural,-42.78693668,170.96082934,Hokitika,-42.71867868,170.97186323,7.643224157239382,Westland,Westland,West Coast,West Coast,2
W43007,Riccarton East,Christchurch Central-West,BICYCLE,6,EDUCATION,Riccarton East,-43.53245227,172.61070266,Christchurch Central-West,-43.52780609,172.6306519,1.6892050523646305,Christchurch,Christchurch,Canterbury,Canterbury,384
W45394,Lilybrook,Rangiora Central,BICYCLE,9,EDUCATION,Lilybrook,-43.31092043,172.59368431,Rangiora Central,-43.30280578,172.59569594,0.9168720240206076,Waimakariri,Waimakariri,Canterbury,Canterbury,6
W47621,Ashburton East,Ashburton Central,BICYCLE,9,EDUCATION,Ashburton East,-43.90293675,171.75799844,Ashburton Central,-43.90252481,171.73537846,1.8128452753282367,Ashburton,Ashburton,Canterbury,Canterbury,7
W47665,Southbridge,Southbridge,BICYCLE,9,EDUCATION,Southbridge,-43.79254412,172.21023844,Southbridge,-43.79254412,172.21023844,0.0,Selwyn,Selwyn,Canterbury,Canterbury,2
W48010,Temuka East,Temuka West,BICYCLE,21,EDUCATION,Temuka East,-44.24725922,171.29783677,Temuka West,-44.23697154,171.27660085,2.0421243493872985,Timaru,Timaru,Canterbury,Canterbury,2
W48081,Highfield North,Timaru Central,BICYCLE,15,EDUCATION,Highfield North,-44.38615156,171.22318733,Timaru Central,-44.39838399,171.2514175,2.623248486087093,Timaru,Timaru,Canterbury,Canterbury,7
W48353,Waimate East,Waimate East,BICYCLE,6,EDUCATION,Waimate East,-44.73770602,171.04734729,Waimate East,-44.73770602,171.04734729,0.0,Waimate,Waimate,Canterbury,Canterbury,2
W48398,Oamaru Gardens,Oamaru Central,BICYCLE,9,EDUCATION,Oamaru Gardens,-45.09820391,170.94539726,Oamaru Central,-45.100715799999996,170.9718248,2.093020086806068,Waitaki,Waitaki,Otago,Otago,2
W48530,Campus North,Dunedin Central,BICYCLE,9,EDUCATION,Campus North,-45.86491215,170.51950247,Dunedin Central,-45.87712471,170.50291221,1.8692043787322592,Dunedin,Dunedin,Otago,Otago,51
W48603,Frankton,Queenstown Central,BICYCLE,18,EDUCATION,Frankton,-45.01825697,168.74585281,Queenstown Central,-45.0327315,168.65460343,7.3498342948868265,Queenstown-Lakes,Queenstown-Lakes,Otago,Otago,14
W48662,Cromwell West,Cromwell West,BICYCLE,42,EDUCATION,Cromwell West,-45.06411975,169.17047641,Cromwell West,-45.06411975,169.17047641,0.0,Central Otago,Central Otago,Otago,Otago,2
W48712,Wanaka North,Wanaka Central,BICYCLE,39,EDUCATION,Wanaka North,-44.68004109,169.15232063,Wanaka Central,-44.70519427,169.14994952,2.8031791253664733,Queenstown-Lakes,Queenstown-Lakes,Otago,Otago,10
W48746,Alexandra North,Alexandra South,BICYCLE,18,EDUCATION,Alexandra North,-45.24363835,169.38984744,Alexandra South,-45.25210421,169.37578541,1.4484635416903378,Central Otago,Central Otago,Otago,Otago,6
W50093,Richmond (Invercargill City),Invercargill Central,BICYCLE,24,EDUCATION,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill,Southland,Southland,20
W50633,Mataura,Mataura,BICYCLE,6,EDUCATION,Mataura,-46.18742074,168.87330231,Mataura,-46.18742074,168.87330231,0.0,Gore,Gore,Southland,Southland,2
W50218,Te Anau,Te Anau,BICYCLE,108,EDUCATION,Te Anau,-45.413515600000004,167.72303047,Te Anau,-45.413515600000004,167.72303047,0.0,Southland,Southland,Southland,Southland,3
