id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W29960,Ruatoria-Raukumara,Ruatoria-Raukumara,WORK_AT_HOME,105,EDUCATION,Ruatoria-Raukumara,-37.86680632,178.19588547,Ruatoria-Raukumara,-37.86680632,178.19588547,0.0,Gisborne,Gisborne,Gisborne,Gisborne,1
W29962,Waipaoa,Waipaoa,WORK_AT_HOME,363,EDUCATION,Waipaoa,-38.34127548,177.70733968,Waipaoa,-38.34127548,177.70733968,0.0,Gisborne,Gisborne,Gisborne,Gisborne,1
W30146,Wharekaka,Wharekaka,WORK_AT_HOME,213,EDUCATION,Wharekaka,-38.432262200000004,178.15682921,Wharekaka,-38.432262200000004,178.15682921,0.0,Gisborne,Gisborne,Gisborne,Gisborne,1
W30281,Maungataniwha-Raupunga,Maungataniwha-Raupunga,WORK_AT_HOME,165,EDUCATION,Maungataniwha-Raupunga,-38.971756899999995,177.05706012,Maungataniwha-Raupunga,-38.971756899999995,177.05706012,0.0,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,1
W30287,Frasertown-Ruakituri,Frasertown-Ruakituri,WORK_AT_HOME,204,EDUCATION,Frasertown-Ruakituri,-38.79568211,177.34997241,Frasertown-Ruakituri,-38.79568211,177.34997241,0.0,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,1
W30293,Wairoa,Wairoa,WORK_AT_HOME,216,EDUCATION,Wairoa,-39.03908469,177.41898076,Wairoa,-39.03908469,177.41898076,0.0,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,1
W30296,Whakaki,Whakaki,WORK_AT_HOME,63,EDUCATION,Whakaki,-39.01763369,177.54176403,Whakaki,-39.01763369,177.54176403,0.0,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,1
W30300,Mahia,Mahia,WORK_AT_HOME,99,EDUCATION,Mahia,-38.98042026,177.71581946,Mahia,-38.98042026,177.71581946,0.0,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,1
W30301,Puketitiri-Tutira,Puketitiri-Tutira,WORK_AT_HOME,429,EDUCATION,Puketitiri-Tutira,-39.19745874,176.64300698,Puketitiri-Tutira,-39.19745874,176.64300698,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31007,Omahu-Pakowhai,Omahu-Pakowhai,WORK_AT_HOME,189,EDUCATION,Omahu-Pakowhai,-39.56659265,176.82024777,Omahu-Pakowhai,-39.56659265,176.82024777,0.0,Hastings city,Hastings city,Hawke's Bay,Hawke's Bay,69
W31002,Sherenden-Crownthorpe,Sherenden-Crownthorpe,WORK_AT_HOME,261,EDUCATION,Sherenden-Crownthorpe,-39.47575154,176.49801476,Sherenden-Crownthorpe,-39.47575154,176.49801476,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31228,Maraekakaho,Maraekakaho,WORK_AT_HOME,279,EDUCATION,Maraekakaho,-39.62634976,176.29699518,Maraekakaho,-39.62634976,176.29699518,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31278,Poukawa,Poukawa,WORK_AT_HOME,213,EDUCATION,Poukawa,-39.75996379,176.70227115,Poukawa,-39.75996379,176.70227115,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31932,Waipukurau East,Waipukurau East,WORK_AT_HOME,75,EDUCATION,Waipukurau East,-40.00231546,176.56027065,Waipukurau East,-40.00231546,176.56027065,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,3
W39251,Solway South,Solway South,WORK_AT_HOME,162,EDUCATION,Solway South,-40.96910555,175.63403571,Solway South,-40.96910555,175.63403571,0.0,Masterton,Masterton,Wellington,Wellington,19
W31888,Mangaonuku,Mangaonuku,WORK_AT_HOME,192,EDUCATION,Mangaonuku,-39.80378374,176.41709256,Mangaonuku,-39.80378374,176.41709256,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W31897,Mangarara,Mangarara,WORK_AT_HOME,336,EDUCATION,Mangarara,-39.99003717,176.76264858,Mangarara,-39.99003717,176.76264858,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W31901,Makaretu,Makaretu,WORK_AT_HOME,363,EDUCATION,Makaretu,-39.94160872,176.31273142,Makaretu,-39.94160872,176.31273142,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W31916,Taurekaitai,Taurekaitai,WORK_AT_HOME,432,EDUCATION,Taurekaitai,-40.20716661,176.53337716,Taurekaitai,-40.20716661,176.53337716,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W31923,Dannevirke East,Dannevirke East,WORK_AT_HOME,117,EDUCATION,Dannevirke East,-40.21019552,176.10213546,Dannevirke East,-40.21019552,176.10213546,0.0,Tararua,Tararua,Manawatu-Wanganui,Manawatu-Wanganui,3
W32331,Highlands Park (New Plymouth District),Highlands Park (New Plymouth District),WORK_AT_HOME,222,EDUCATION,Highlands Park (New Plymouth District),-39.08069461,174.10443117,Highlands Park (New Plymouth District),-39.08069461,174.10443117,0.0,New Plymouth,New Plymouth,Taranaki,Taranaki,33
W32496,Cape Egmont,Cape Egmont,WORK_AT_HOME,480,EDUCATION,Cape Egmont,-39.31360193,173.87159509999995,Cape Egmont,-39.31360193,173.87159509999995,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,1
W32679,Stratford South,Stratford South,WORK_AT_HOME,72,EDUCATION,Stratford South,-39.34903873,174.28515816,Stratford South,-39.34903873,174.28515816,0.0,Stratford,Stratford,Taranaki,Taranaki,7
W32744,Egmont Showgrounds,Egmont Showgrounds,WORK_AT_HOME,87,EDUCATION,Egmont Showgrounds,-39.57617162,174.26308228,Egmont Showgrounds,-39.57617162,174.26308228,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,8
W32639,Mount Messenger,Mount Messenger,WORK_AT_HOME,174,EDUCATION,Mount Messenger,-38.92321069,174.62433902,Mount Messenger,-38.92321069,174.62433902,0.0,New Plymouth,New Plymouth,Taranaki,Taranaki,1
W32641,Tarata,Tarata,WORK_AT_HOME,153,EDUCATION,Tarata,-39.1604937,174.39053007,Tarata,-39.1604937,174.39053007,0.0,New Plymouth,New Plymouth,Taranaki,Taranaki,1
W32704,Douglas,Douglas,WORK_AT_HOME,210,EDUCATION,Douglas,-39.24071688,174.62972523,Douglas,-39.24071688,174.62972523,0.0,Stratford,Stratford,Taranaki,Taranaki,1
W32731,Whangamomona,Whangamomona,WORK_AT_HOME,42,EDUCATION,Whangamomona,-39.11310251,174.87225419,Whangamomona,-39.11310251,174.87225419,0.0,Stratford,Stratford,Taranaki,Taranaki,1
