id,SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
W30293,Wairoa,Wairoa,OTHER,9,EDUCATION,Wairoa,-39.03908469,177.41898076,Wairoa,-39.03908469,177.41898076,0.0,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,1
W30300,Mahia,Mahia,OTHER,6,EDUCATION,Mahia,-38.98042026,177.71581946,Mahia,-38.98042026,177.71581946,0.0,Wairoa,Wairoa,Hawke's Bay,Hawke's Bay,1
W30301,Puketitiri-Tutira,Puketitiri-Tutira,OTHER,39,EDUCATION,Puketitiri-Tutira,-39.19745874,176.64300698,Puketitiri-Tutira,-39.19745874,176.64300698,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W30638,Maraenui,Onekawa West,OTHER,6,EDUCATION,Maraenui,-39.51577224,176.90367746,Onekawa West,-39.49700088,176.88218064,2.785333483482716,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31002,Sherenden-Crownthorpe,Sherenden-Crownthorpe,OTHER,15,EDUCATION,Sherenden-Crownthorpe,-39.47575154,176.49801476,Sherenden-Crownthorpe,-39.47575154,176.49801476,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31228,Maraekakaho,Maraekakaho,OTHER,9,EDUCATION,Maraekakaho,-39.62634976,176.29699518,Maraekakaho,-39.62634976,176.29699518,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31696,Kahuranaki,Kahuranaki,OTHER,6,EDUCATION,Kahuranaki,-39.765249600000004,176.93488506,Kahuranaki,-39.765249600000004,176.93488506,0.0,Hastings,Hastings,Hawke's Bay,Hawke's Bay,1
W31888,Mangaonuku,Mangaonuku,OTHER,9,EDUCATION,Mangaonuku,-39.80378374,176.41709256,Mangaonuku,-39.80378374,176.41709256,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W31897,Mangarara,Mangarara,OTHER,21,EDUCATION,Mangarara,-39.99003717,176.76264858,Mangarara,-39.99003717,176.76264858,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W31901,Makaretu,Makaretu,OTHER,39,EDUCATION,Makaretu,-39.94160872,176.31273142,Makaretu,-39.94160872,176.31273142,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W31916,Taurekaitai,Taurekaitai,OTHER,12,EDUCATION,Taurekaitai,-40.20716661,176.53337716,Taurekaitai,-40.20716661,176.53337716,0.0,Central Hawke's Bay,Central Hawke's Bay,Hawke's Bay,Hawke's Bay,1
W32032,Tikorangi,Tikorangi,OTHER,12,EDUCATION,Tikorangi,-39.04099797,174.34313238,Tikorangi,-39.04099797,174.34313238,0.0,New Plymouth,New Plymouth,Taranaki,Taranaki,1
W32074,Lower Vogeltown,New Plymouth Central,OTHER,6,EDUCATION,Lower Vogeltown,-39.07209853,174.0782174,New Plymouth Central,-39.05700192,174.07537454,1.6965146918672798,New Plymouth,New Plymouth,Taranaki,Taranaki,20
W32293,Kaitake,Kaitake,OTHER,9,EDUCATION,Kaitake,-39.19318761,173.94218883,Kaitake,-39.19318761,173.94218883,0.0,New Plymouth,New Plymouth,Taranaki,Taranaki,1
W32496,Cape Egmont,Cape Egmont,OTHER,63,EDUCATION,Cape Egmont,-39.31360193,173.87159509999995,Cape Egmont,-39.31360193,173.87159509999995,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,1
W32547,Toko,Toko,OTHER,12,EDUCATION,Toko,-39.31711879,174.34830199,Toko,-39.31711879,174.34830199,0.0,Stratford,Stratford,Taranaki,Taranaki,1
W32572,Everett Park,Everett Park,OTHER,18,EDUCATION,Everett Park,-39.22793305,174.18116727,Everett Park,-39.22793305,174.18116727,0.0,New Plymouth,New Plymouth,Taranaki,Taranaki,1
W32707,Kaponga-Mangatoki,Kaponga-Mangatoki,OTHER,30,EDUCATION,Kaponga-Mangatoki,-39.43452513,174.22980453,Kaponga-Mangatoki,-39.43452513,174.22980453,0.0,South Taranaki,South Taranaki,Taranaki,Taranaki,2
