id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E691,Morningside (Whangarei District),Morningside (Whangarei District),STUDY_AT_HOME,36,EDUCATION,Morningside (Whangarei District),-35.73638776,174.32005673,Morningside (Whangarei District),-35.73638776,174.32005673,0.0,Whangarei,Whangarei,Northland,Northland,2
E6410,Mount Eden West,Mount Eden West,STUDY_AT_HOME,33,EDUCATION,Mount Eden West,-36.88382084,174.75357383,Mount Eden West,-36.88382084,174.75357383,0.0,Waitakere,Waitakere,Auckland,Auckland,77
E8450,Leabank,Leabank,STUDY_AT_HOME,33,EDUCATION,Leabank,-37.03219654,174.88734352,Leabank,-37.03219654,174.88734352,0.0,Franklin,Franklin,Auckland,Auckland,18
E708,Kamo Central,Kamo Central,STUDY_AT_HOME,24,EDUCATION,Kamo Central,-35.68486255,174.30491552,Kamo Central,-35.68486255,174.30491552,0.0,Whangarei,Whangarei,Northland,Northland,2
E3414,North Harbour,North Harbour,STUDY_AT_HOME,9,EDUCATION,North Harbour,-36.74630474,174.71502975,North Harbour,-36.74630474,174.71502975,0.0,Waitakere,Waitakere,Auckland,Auckland,2
E2213,Orewa South,Orewa South,STUDY_AT_HOME,24,EDUCATION,Orewa South,-36.59013546,174.685784,Orewa South,-36.59013546,174.685784,0.0,Rodney,Rodney,Auckland,Auckland,2
E3209,Red Beach West,Red Beach West,STUDY_AT_HOME,21,EDUCATION,Red Beach West,-36.61127031,174.69545963,Red Beach West,-36.61127031,174.69545963,0.0,Rodney,Rodney,Auckland,Auckland,2
E3037,Windsor Park,Windsor Park,STUDY_AT_HOME,12,EDUCATION,Windsor Park,-36.73975221,174.73568351,Windsor Park,-36.73975221,174.73568351,0.0,Waitakere,Waitakere,Auckland,Auckland,22
E2829,Mount Albert West,Mount Albert West,STUDY_AT_HOME,21,EDUCATION,Mount Albert West,-36.88204623,174.70769409,Mount Albert West,-36.88204623,174.70769409,0.0,Waitakere,Waitakere,Auckland,Auckland,2
E2957,Henderson Lincoln South,Henderson Lincoln South,STUDY_AT_HOME,30,EDUCATION,Henderson Lincoln South,-36.86722468,174.62367505,Henderson Lincoln South,-36.86722468,174.62367505,0.0,Waitakere,Waitakere,Auckland,Auckland,4
E4351,Massey South,Massey South,STUDY_AT_HOME,51,EDUCATION,Massey South,-36.84994988,174.61625895,Massey South,-36.84994988,174.61625895,0.0,Waitakere,Waitakere,Auckland,Auckland,3
E3129,Stanmore Bay West,Stanmore Bay West,STUDY_AT_HOME,45,EDUCATION,Stanmore Bay West,-36.62300197,174.72724226,Stanmore Bay West,-36.62300197,174.72724226,0.0,Rodney,Rodney,Auckland,Auckland,2
E10479,Hamilton East Cook,Hamilton East Cook,STUDY_AT_HOME,24,EDUCATION,Hamilton East Cook,-37.7913507,175.30343068,Hamilton East Cook,-37.7913507,175.30343068,0.0,Hamilton,Hamilton,Waikato,Waikato,7
E3230,Manly East,Manly East,STUDY_AT_HOME,57,EDUCATION,Manly East,-36.63338986,174.76128799,Manly East,-36.63338986,174.76128799,0.0,Rodney,Rodney,Auckland,Auckland,2
E4323,West Harbour Clearwater Cove,West Harbour Clearwater Cove,STUDY_AT_HOME,33,EDUCATION,West Harbour Clearwater Cove,-36.81054038,174.63704103,West Harbour Clearwater Cove,-36.81054038,174.63704103,0.0,Waitakere,Waitakere,Auckland,Auckland,3
E5369,Henderson North East,Henderson North East,STUDY_AT_HOME,18,EDUCATION,Henderson North East,-36.87938504,174.6400701,Henderson North East,-36.87938504,174.6400701,0.0,Waitakere,Waitakere,Auckland,Auckland,5
E4353,Massey Royal Road West,Massey Royal Road West,STUDY_AT_HOME,21,EDUCATION,Massey Royal Road West,-36.83429912,174.61254552,Massey Royal Road West,-36.83429912,174.61254552,0.0,Waitakere,Waitakere,Auckland,Auckland,3
