id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E0,North Cape,North Cape,BUS,60,EDUCATION,North Cape,-34.50545276,172.77554997,North Cape,-34.50545276,172.77554997,0.0,Far North,Far North,Northland,Northland,2
E3,Rangaunu Harbour,Kaitaia East,BUS,18,EDUCATION,Rangaunu Harbour,-34.91627744,173.13744282,Kaitaia East,-35.10383477,173.26414302,23.834850779788407,Far North,Far North,Northland,Northland,5
E8,Kaitaia West,Kaitaia East,BUS,33,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia East,-35.10383477,173.26414302,2.0145612602342093,Far North,Far North,Northland,Northland,20
E22,Taumarumaru,Kaitaia West,BUS,12,EDUCATION,Taumarumaru,-34.99672682,173.50774402,Kaitaia West,-35.12178170000001,173.26717397,25.93880091011843,Far North,Far North,Northland,Northland,14
E24,Peria,Kaitaia West,BUS,21,EDUCATION,Peria,-35.12407747,173.44813792,Kaitaia West,-35.12178170000001,173.26717397,16.46037768643592,Far North,Far North,Northland,Northland,4
E59,Maromaku,Whangarei Central,BUS,6,EDUCATION,Maromaku,-35.47825535,174.14132759999995,Whangarei Central,-35.72846995,174.32430322,32.369026355086625,Far North,Whangarei,Northland,Northland,5
E60,Mangakahia-Hukerenui,Whangarei Central,BUS,12,EDUCATION,Mangakahia-Hukerenui,-35.65301955,174.0023164,Whangarei Central,-35.72846995,174.32430322,30.26472599891327,Whangarei,Whangarei,Northland,Northland,4
E61,Whangaruru,Whangarei Central,BUS,24,EDUCATION,Whangaruru,-35.48991999,174.33501130000005,Whangarei Central,-35.72846995,174.32430322,26.543203308528863,Whangarei,Whangarei,Northland,Northland,5
E876,Mairtown,Pukenui,BUS,6,EDUCATION,Mairtown,-35.70451425,174.32430453,Pukenui,-35.74644668,174.25502298,7.8009109968299875,Whangarei,Whangarei,Northland,Northland,67
E89,Oakleigh-Mangapai,Whangarei Central,BUS,15,EDUCATION,Oakleigh-Mangapai,-35.89588695,174.21595621,Whangarei Central,-35.72846995,174.32430322,21.023876321544968,Whangarei,Whangarei,Northland,Northland,2
