id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E6325,Eden Valley,Eden Valley,STUDY_AT_HOME,21,EDUCATION,Eden Valley,-36.87455582,174.75258367,Eden Valley,-36.87455582,174.75258367,0.0,Waitakere,Waitakere,Auckland,Auckland,56
E3267,Oteha East,Oteha East,STUDY_AT_HOME,45,EDUCATION,Oteha East,-36.71657898,174.72207262,Oteha East,-36.71657898,174.72207262,0.0,Waitakere,Waitakere,Auckland,Auckland,5
E3964,Mairangi Bay South,Mairangi Bay South,STUDY_AT_HOME,30,EDUCATION,Mairangi Bay South,-36.74390273,174.74864765,Mairangi Bay South,-36.74390273,174.74864765,0.0,Waitakere,Waitakere,Auckland,Auckland,15
E4913,Hillcrest East (Auckland),Hillcrest East (Auckland),STUDY_AT_HOME,48,EDUCATION,Hillcrest East (Auckland),-36.79435426,174.73620436,Hillcrest East (Auckland),-36.79435426,174.73620436,0.0,Waitakere,Waitakere,Auckland,Auckland,5
E5063,Kelston South,Kelston South,STUDY_AT_HOME,12,EDUCATION,Kelston South,-36.90380643,174.66266792,Kelston South,-36.90380643,174.66266792,0.0,Waitakere,Waitakere,Auckland,Auckland,6
E5168,Ranui South East,Ranui South East,STUDY_AT_HOME,21,EDUCATION,Ranui South East,-36.87189045,174.6046809,Ranui South East,-36.87189045,174.6046809,0.0,Waitakere,Waitakere,Auckland,Auckland,4
E5369,Henderson North East,Henderson North East,STUDY_AT_HOME,18,EDUCATION,Henderson North East,-36.87938504,174.6400701,Henderson North East,-36.87938504,174.6400701,0.0,Waitakere,Waitakere,Auckland,Auckland,4
E6509,Blockhouse Bay North East,Blockhouse Bay North East,STUDY_AT_HOME,15,EDUCATION,Blockhouse Bay North East,-36.91483741,174.70821128,Blockhouse Bay North East,-36.91483741,174.70821128,0.0,Waitakere,Waitakere,Auckland,Auckland,7
E6029,Avondale Central (Auckland),Avondale Central (Auckland),STUDY_AT_HOME,27,EDUCATION,Avondale Central (Auckland),-36.89552468,174.69519827,Avondale Central (Auckland),-36.89552468,174.69519827,0.0,Waitakere,Waitakere,Auckland,Auckland,3
E6456,Hillsborough West (Auckland),Hillsborough West (Auckland),STUDY_AT_HOME,36,EDUCATION,Hillsborough West (Auckland),-36.91988593,174.74732339,Hillsborough West (Auckland),-36.91988593,174.74732339,0.0,Waitakere,Waitakere,Auckland,Auckland,8
E6726,Epsom South,Epsom South,STUDY_AT_HOME,18,EDUCATION,Epsom South,-36.90439621,174.7662217,Epsom South,-36.90439621,174.7662217,0.0,Waitakere,Waitakere,Auckland,Auckland,3
E6827,Royal Oak East (Auckland),Royal Oak East (Auckland),STUDY_AT_HOME,18,EDUCATION,Royal Oak East (Auckland),-36.91176082,174.77658657,Royal Oak East (Auckland),-36.91176082,174.77658657,0.0,Waitakere,Waitakere,Auckland,Auckland,3
E6870,Te Papapa,Te Papapa,STUDY_AT_HOME,42,EDUCATION,Te Papapa,-36.91863866,174.79648981,Te Papapa,-36.91863866,174.79648981,0.0,Waitakere,Waitakere,Auckland,Auckland,4
E7066,Stonefields West,Stonefields West,STUDY_AT_HOME,12,EDUCATION,Stonefields West,-36.88678029,174.83723014,Stonefields West,-36.88678029,174.83723014,0.0,Waitakere,Waitakere,Auckland,Auckland,9
