id,SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
E0,North Cape,North Cape,STUDY_AT_HOME,27,EDUCATION,North Cape,-34.50545276,172.77554997,North Cape,-34.50545276,172.77554997,0.0,Far North,Far North,Northland,Northland,1
E7,Kaitaia East,Kaitaia East,STUDY_AT_HOME,27,EDUCATION,Kaitaia East,-35.10383477,173.26414302,Kaitaia East,-35.10383477,173.26414302,0.0,Far North,Far North,Northland,Northland,1
E19,Kaitaia West,Kaitaia West,STUDY_AT_HOME,60,EDUCATION,Kaitaia West,-35.12178170000001,173.26717397,Kaitaia West,-35.12178170000001,173.26717397,0.0,Far North,Far North,Northland,Northland,1
E26,Rangaunu Harbour,Rangaunu Harbour,STUDY_AT_HOME,54,EDUCATION,Rangaunu Harbour,-34.91627744,173.13744282,Rangaunu Harbour,-34.91627744,173.13744282,0.0,Far North,Far North,Northland,Northland,1
E31,Karikari Peninsula,Karikari Peninsula,STUDY_AT_HOME,12,EDUCATION,Karikari Peninsula,-34.99527816,173.37873836,Karikari Peninsula,-34.99527816,173.37873836,0.0,Far North,Far North,Northland,Northland,1
E37,Rangitihi,Rangitihi,STUDY_AT_HOME,27,EDUCATION,Rangitihi,-35.12785001,173.31122240000005,Rangitihi,-35.12785001,173.31122240000005,0.0,Far North,Far North,Northland,Northland,1
E42,Taumarumaru,Taumarumaru,STUDY_AT_HOME,27,EDUCATION,Taumarumaru,-34.99672682,173.50774402,Taumarumaru,-34.99672682,173.50774402,0.0,Far North,Far North,Northland,Northland,1
E46,Tangonge,Tangonge,STUDY_AT_HOME,15,EDUCATION,Tangonge,-35.12314727,173.21860407,Tangonge,-35.12314727,173.21860407,0.0,Far North,Far North,Northland,Northland,1
E53,Ahipara,Ahipara,STUDY_AT_HOME,9,EDUCATION,Ahipara,-35.15951697,173.16091938,Ahipara,-35.15951697,173.16091938,0.0,Far North,Far North,Northland,Northland,1
E691,Morningside (Whangarei District),Morningside (Whangarei District),STUDY_AT_HOME,36,EDUCATION,Morningside (Whangarei District),-35.73638776,174.32005673,Morningside (Whangarei District),-35.73638776,174.32005673,0.0,Whangarei,Whangarei,Northland,Northland,2
E104,Oruru-Parapara,Oruru-Parapara,STUDY_AT_HOME,18,EDUCATION,Oruru-Parapara,-35.03331749,173.46127559,Oruru-Parapara,-35.03331749,173.46127559,0.0,Far North,Far North,Northland,Northland,1
E107,Taemaro-Oruaiti,Taemaro-Oruaiti,STUDY_AT_HOME,18,EDUCATION,Taemaro-Oruaiti,-35.02535123,173.57890377,Taemaro-Oruaiti,-35.02535123,173.57890377,0.0,Far North,Far North,Northland,Northland,1
E119,Kerikeri Central,Kerikeri Central,STUDY_AT_HOME,30,EDUCATION,Kerikeri Central,-35.22507309,173.95096304,Kerikeri Central,-35.22507309,173.95096304,0.0,Far North,Far North,Northland,Northland,1
E131,Herekino-Takahue,Herekino-Takahue,STUDY_AT_HOME,12,EDUCATION,Herekino-Takahue,-35.18964254,173.37240745,Herekino-Takahue,-35.18964254,173.37240745,0.0,Far North,Far North,Northland,Northland,1
E132,Peria,Peria,STUDY_AT_HOME,18,EDUCATION,Peria,-35.12407747,173.44813792,Peria,-35.12407747,173.44813792,0.0,Far North,Far North,Northland,Northland,1
E133,Whakapaku,Whakapaku,STUDY_AT_HOME,15,EDUCATION,Whakapaku,-35.04987698,173.66299855,Whakapaku,-35.04987698,173.66299855,0.0,Far North,Far North,Northland,Northland,1
E138,Kaeo,Kaeo,STUDY_AT_HOME,27,EDUCATION,Kaeo,-35.15410315,173.74331968,Kaeo,-35.15410315,173.74331968,0.0,Far North,Far North,Northland,Northland,1
E148,Kaikohe,Kaikohe,STUDY_AT_HOME,69,EDUCATION,Kaikohe,-35.40792422,173.79767516,Kaikohe,-35.40792422,173.79767516,0.0,Far North,Far North,Northland,Northland,1
E154,Kohukohu-Broadwood,Kohukohu-Broadwood,STUDY_AT_HOME,18,EDUCATION,Kohukohu-Broadwood,-35.29006863,173.46362668,Kohukohu-Broadwood,-35.29006863,173.46362668,0.0,Far North,Far North,Northland,Northland,1
E157,Okaihau,Okaihau,STUDY_AT_HOME,18,EDUCATION,Okaihau,-35.28661159,173.79081555,Okaihau,-35.28661159,173.79081555,0.0,Far North,Far North,Northland,Northland,1
E164,Whakarara,Whakarara,STUDY_AT_HOME,18,EDUCATION,Whakarara,-35.0629133,173.84991312,Whakarara,-35.0629133,173.84991312,0.0,Far North,Far North,Northland,Northland,1
