SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Clover Park South,Queen Street,DRIVE_OWN_VEHICLE,6,EDUCATION,Clover Park South,-36.98563252,174.89012173,Queen Street,-36.84774104,174.76524972,18.929724102828363,Manukau,Waitakere
Longlands-Pukahu,Taradale South,DRIVE_OWN_VEHICLE,12,EDUCATION,Longlands-Pukahu,-39.67130041,176.82499355,Taradale South,-39.54323393,176.82989073,14.246521390400064,Hastings,Hastings
Newtons Road,Ilam University,DRIVE_OWN_VEHICLE,36,EDUCATION,Newtons Road,-43.56941172,172.31944743,Ilam University,-43.52336127,172.57826459,21.478907325790033,Selwyn,Christchurch
Bayview West,Auckland-University,DRIVE_OWN_VEHICLE,9,EDUCATION,Bayview West,-36.77591921,174.70462204,Auckland-University,-36.85143057,174.76906469,10.169140869007007,Waitakere,Waitakere
Glenavon,Mount Albert West,DRIVE_OWN_VEHICLE,18,EDUCATION,Glenavon,-36.90919425,174.70324553,Mount Albert West,-36.88204623,174.70769409,3.0445322359526266,Waitakere,Waitakere
Whangaruru,Tarewa,DRIVE_OWN_VEHICLE,12,EDUCATION,Whangaruru,-35.48991999,174.33501130000005,Tarewa,-35.7418305,174.30903757,28.109397737884027,Whangarei,Whangarei
Forrest Hill North,Albany Central,DRIVE_OWN_VEHICLE,21,EDUCATION,Forrest Hill North,-36.75718347,174.7465398,Albany Central,-36.72820186,174.70483518,4.918756845268492,Waitakere,Waitakere
Oaklands West,Christchurch Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Oaklands West,-43.56943685,172.54947090000005,Christchurch Central,-43.53243368,172.63601635,8.097894147832731,Christchurch,Christchurch
Albany West,Albany West,DRIVE_OWN_VEHICLE,9,EDUCATION,Albany West,-36.7414674,174.68787988,Albany West,-36.7414674,174.68787988,0.0,Waitakere,Waitakere
Kamo West,Whangarei Central,DRIVE_OWN_VEHICLE,12,EDUCATION,Kamo West,-35.67006476,174.29507452,Whangarei Central,-35.72846995,174.32430322,7.010203931116312,Whangarei,Whangarei
Tirau,Hamilton Central,DRIVE_OWN_VEHICLE,6,EDUCATION,Tirau,-37.95916018,175.81429616,Hamilton Central,-37.78938082,175.28203067,50.38852807182798,South Waikato,Hamilton
Moturoa,New Plymouth Central,DRIVE_OWN_VEHICLE,15,EDUCATION,Moturoa,-39.06270468,174.04833643,New Plymouth Central,-39.05700192,174.07537454,2.4191015122571127,New Plymouth,New Plymouth
Clover Park South,Otara Central,DRIVE_OWN_VEHICLE,21,EDUCATION,Clover Park South,-36.98563252,174.89012173,Otara Central,-36.95593456,174.87677994,3.5085302064020234,Manukau,Manukau
