SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Hawera Central,Normanby-Tawhiti,PASSENGER_IN_VEHICLE,9,EDUCATION,Hawera Central,-39.59042249,174.28314512,Normanby-Tawhiti,-39.58187479,174.31137817,2.599408978644407,South Taranaki,South Taranaki
Rutland,Burnside,PASSENGER_IN_VEHICLE,6,EDUCATION,Rutland,-43.50650406,172.62267483,Burnside,-43.50309147,172.5759413,3.788184446828849,Christchurch,Christchurch
Mangapapa East,Riverdale,PASSENGER_IN_VEHICLE,6,EDUCATION,Mangapapa East,-38.64354706,178.02146282,Riverdale,-38.64381481,177.99767123,2.0664712103357474,Gisborne,Gisborne
Karori East,Mount Victoria,PASSENGER_IN_VEHICLE,12,EDUCATION,Karori East,-41.28702587,174.747422,Mount Victoria,-41.29882878,174.78763827,3.6071306854137575,Wellington,Wellington
Kamo West,Matarau,PASSENGER_IN_VEHICLE,9,EDUCATION,Kamo West,-35.67006476,174.29507452,Matarau,-35.66728748,174.20987157,7.7030035820000275,Whangarei,Whangarei
Meadowbank East,Remuera East,PASSENGER_IN_VEHICLE,6,EDUCATION,Meadowbank East,-36.86978506,174.83700703,Remuera East,-36.8760597,174.82144132,1.5504627455637263,Waitakere,Waitakere
Tuakau Rural,Anselmi Ridge,PASSENGER_IN_VEHICLE,6,EDUCATION,Tuakau Rural,-37.28621227,174.95229059,Anselmi Ridge,-37.18633345,174.93550996,11.204931351444054,Franklin,Franklin
Glen Eden Woodglen,Avondale North (Auckland),PASSENGER_IN_VEHICLE,6,EDUCATION,Glen Eden Woodglen,-36.9174767,174.64329812,Avondale North (Auckland),-36.88954577,174.69562749,5.59427245417664,Waitakere,Waitakere
Kahikatea,Hamilton East Village,PASSENGER_IN_VEHICLE,12,EDUCATION,Kahikatea,-37.80133598,175.25054092,Hamilton East Village,-37.79028168,175.29324653,3.9485751596327696,Hamilton,Hamilton
Mandeville-Ohoka,Rangiora North East,PASSENGER_IN_VEHICLE,12,EDUCATION,Mandeville-Ohoka,-43.36686582,172.54447057,Rangiora North East,-43.29742452,172.60089954,8.969541902929308,Waimakariri,Waimakariri
Prestons,Northlands (Christchurch City),PASSENGER_IN_VEHICLE,12,EDUCATION,Prestons,-43.47713961,172.667796,Northlands (Christchurch City),-43.49209266,172.60688807,5.187637885195522,Christchurch,Christchurch
Muriwai Valley-Bethells Beach,Waimauku,PASSENGER_IN_VEHICLE,42,EDUCATION,Muriwai Valley-Bethells Beach,-36.8197327,174.47032818,Waimauku,-36.7805997,174.46444508,4.382805639827364,Rodney,Rodney
Tui Ridge,Kuirau,PASSENGER_IN_VEHICLE,15,EDUCATION,Tui Ridge,-38.01697507,176.12931898,Kuirau,-38.13474084,176.24242829,16.41650088285765,Rotorua,Rotorua
Kopuaranga,Solway North,PASSENGER_IN_VEHICLE,6,EDUCATION,Kopuaranga,-40.79823344,175.63791121,Solway North,-40.9574562,175.63029837,17.716328675073928,Masterton,Masterton
Kaponga-Mangatoki,Taungatara,PASSENGER_IN_VEHICLE,12,EDUCATION,Kaponga-Mangatoki,-39.43452513,174.22980453,Taungatara,-39.44771938,173.97542033,21.894034557275425,South Taranaki,South Taranaki
Kingsland,Westmere South-Western Springs,PASSENGER_IN_VEHICLE,9,EDUCATION,Kingsland,-36.87030191,174.74585155,Westmere South-Western Springs,-36.86042307,174.72244945,2.3539059685004364,Waitakere,Waitakere
Half Moon Bay South East,Bucklands Beach North,PASSENGER_IN_VEHICLE,9,EDUCATION,Half Moon Bay South East,-36.89466587,174.90252487,Bucklands Beach North,-36.86068628,174.9037907,3.7800352092185117,Manukau,
Waiwhetu,Hutt Central North,PASSENGER_IN_VEHICLE,27,EDUCATION,Waiwhetu,-41.22552582,174.91742982,Hutt Central North,-41.20872236,174.90664869,2.074685407540417,Hutt city,Hutt city
Broadmeadows,Khandallah Reserve,PASSENGER_IN_VEHICLE,54,EDUCATION,Broadmeadows,-41.23505672,174.79326105,Khandallah Reserve,-41.2435098,174.78546517,1.143850039857947,Wellington,Wellington
Inglewood,Welbourn,PASSENGER_IN_VEHICLE,12,EDUCATION,Inglewood,-39.15653753,174.20152057,Welbourn,-39.08571024,174.09311599999995,12.226188563219953,New Plymouth,New Plymouth
Kaponga-Mangatoki,Stratford South,PASSENGER_IN_VEHICLE,6,EDUCATION,Kaponga-Mangatoki,-39.43452513,174.22980453,Stratford South,-39.34903873,174.28515816,10.62940690633724,South Taranaki,Stratford
Queens Square,Parkhaven,PASSENGER_IN_VEHICLE,6,EDUCATION,Queens Square,-39.64447191,176.85383704,Parkhaven,-39.65455823,176.84825769,1.219035740420266,Hastings city,Hastings city
Queenwood (Horowhenua District),Donnelly Park,PASSENGER_IN_VEHICLE,9,EDUCATION,Queenwood (Horowhenua District),-40.62073993,175.29658523,Donnelly Park,-40.61416466,175.27041448,2.3267991960368324,Horowhenua,Horowhenua
Wesley East,Mount Roskill North,PASSENGER_IN_VEHICLE,24,EDUCATION,Wesley East,-36.90326571,174.73405291,Mount Roskill North,-36.90053933,174.7442134,0.9529641066229344,Waitakere,Waitakere
Kew (Invercargill City),Windsor ,PASSENGER_IN_VEHICLE,9,EDUCATION,Kew (Invercargill City),-46.43342614,168.35379297,Windsor,-46.39716606,168.37568613,4.3673054012414845,Invercargill,Invercargill
Holmes Hill,South Hill,PASSENGER_IN_VEHICLE,24,EDUCATION,Holmes Hill,-45.10681931,170.94732106,South Hill,-45.10579567,170.96138565,1.1096516101846834,Waitaki,Waitaki
Awatea South,Sockburn North,PASSENGER_IN_VEHICLE,6,EDUCATION,Awatea South,-43.56061939,172.54356224,Sockburn North,-43.5324799,172.55741654,3.3222332822303,Christchurch,Christchurch
Nawton West,Swarbrick,PASSENGER_IN_VEHICLE,18,EDUCATION,Nawton West,-37.78502392,175.23357387,Swarbrick,-37.79404129,175.25219515,1.9190943450456404,Hamilton,Hamilton
Kiripaka,Whangarei Central,PASSENGER_IN_VEHICLE,21,EDUCATION,Kiripaka,-35.64674958,174.40287423,Whangarei Central,-35.72846995,174.32430322,11.529319394903894,Whangarei,Whangarei
Glenfield South West,Northcote Central (Auckland),PASSENGER_IN_VEHICLE,6,EDUCATION,Glenfield South West,-36.78941699,174.71290056,Northcote Central (Auckland),-36.79888947,174.74444417,2.9997698075964725,Waitakere,Waitakere
Homebush-Te Ore Ore,Solway North,PASSENGER_IN_VEHICLE,15,EDUCATION,Homebush-Te Ore Ore,-40.98154193,175.71227861,Solway North,-40.9574562,175.63029837,7.385652862870582,Masterton,Masterton
Enderley North,Miropiko,PASSENGER_IN_VEHICLE,24,EDUCATION,Enderley North,-37.76256822,175.29423335,Miropiko,-37.76463892,175.27155726,2.0065846331949966,Hamilton,Hamilton
Papakura East,Hingaia,PASSENGER_IN_VEHICLE,9,EDUCATION,Papakura East,-37.05846123,174.97920854,Hingaia,-37.07369960000001,174.91419445,6.0122146849060805,Franklin,Franklin
Flagstaff East,Flagstaff East,PASSENGER_IN_VEHICLE,54,EDUCATION,Flagstaff East,-37.73415885,175.25375047,Flagstaff East,-37.73415885,175.25375047,0.0,Hamilton,Hamilton
Ramarama,Rosehill,PASSENGER_IN_VEHICLE,6,EDUCATION,Ramarama,-37.15945142,174.93408164,Rosehill,-37.0807433,174.93811005,8.75922887450988,Franklin,Franklin
Temple View,Kahikatea,PASSENGER_IN_VEHICLE,12,EDUCATION,Temple View,-37.82263785,175.21910345,Kahikatea,-37.80133598,175.25054092,3.6383322073190345,Waipa,Hamilton
Ngapuhi,Kaikohe,PASSENGER_IN_VEHICLE,51,EDUCATION,Ngapuhi,-35.4228326,173.76534835,Kaikohe,-35.40792422,173.79767516,3.365998696020072,Far North,Far North
Casebrook,Northcote (Christchurch City),PASSENGER_IN_VEHICLE,18,EDUCATION,Casebrook,-43.47930829,172.59864558,Northcote (Christchurch City),-43.48988035,172.61871397,2.0008464214119988,Christchurch,Christchurch
Waldronville,Gardens (Dunedin City),PASSENGER_IN_VEHICLE,12,EDUCATION,Waldronville,-45.91984564,170.42553453,Gardens (Dunedin City),-45.85877849,170.51916854,9.931144407829985,Dunedin,Dunedin
Birkenhead North,Northcote Central (Auckland),PASSENGER_IN_VEHICLE,6,EDUCATION,Birkenhead North,-36.80733528,174.72689987,Northcote Central (Auckland),-36.79888947,174.74444417,1.8226120286728664,Waitakere,Waitakere
Cornwall Park,Havelock North-Central,PASSENGER_IN_VEHICLE,6,EDUCATION,Cornwall Park,-39.63081696,176.84243026,Havelock North-Central,-39.66899524,176.87785531,5.217341040536206,Hastings city,Hastings city
Catlins,Balclutha South,PASSENGER_IN_VEHICLE,27,EDUCATION,Catlins,-46.45964433,169.46517021,Balclutha South,-46.24449018,169.72255412,31.025507512131966,Clutha,Clutha
Pekerau,Sherwin Park,PASSENGER_IN_VEHICLE,39,EDUCATION,Pekerau,-38.00799642,175.34448965,Sherwin Park,-38.01763951,175.33600784,1.3045690067471822,Waipa,Waipa
Kaiwaka,Maungaturoto,PASSENGER_IN_VEHICLE,6,EDUCATION,Kaiwaka,-36.20144738,174.41954369,Maungaturoto,-36.10952458,174.34693916,12.122985640016177,Kaipara,Kaipara
New Lynn North West,Auckland-University,PASSENGER_IN_VEHICLE,6,EDUCATION,New Lynn North West,-36.90794042,174.67168246,Auckland-University,-36.85143057,174.76906469,10.700810225253221,Waitakere,Waitakere
Cambridge West,Hautapu Rural,PASSENGER_IN_VEHICLE,15,EDUCATION,Cambridge West,-37.8870045,175.45779762,Hautapu Rural,-37.84547487,175.44126339,4.840604982922968,Waipa,Waipa
Henderson Lincoln West,Te Atatu South-Edmonton,PASSENGER_IN_VEHICLE,6,EDUCATION,Henderson Lincoln West,-36.85979867,174.62411351,Te Atatu South-Edmonton,-36.86466374,174.64220852,1.6982846329821162,Waitakere,Waitakere
Solway North,Solway South,PASSENGER_IN_VEHICLE,63,EDUCATION,Solway North,-40.9574562,175.63029837,Solway South,-40.96910555,175.63403571,1.3328187694072613,Masterton,Masterton
Mount Eden East,Balmoral,PASSENGER_IN_VEHICLE,12,EDUCATION,Mount Eden East,-36.88500226,174.760481,Balmoral,-36.88723106,174.7449694,1.4016401136706038,Waitakere,Waitakere
Roslyn (Palmerston North City),Tremaine,PASSENGER_IN_VEHICLE,15,EDUCATION,Roslyn (Palmerston North City),-40.33547398,175.62895929,Tremaine,-40.33969042,175.59865691,2.610801338765528,Palmerston North,Palmerston North
Birkenhead North,Birkenhead South,PASSENGER_IN_VEHICLE,48,EDUCATION,Birkenhead North,-36.80733528,174.72689987,Birkenhead South,-36.81601936,174.73031198,1.0122757391634558,Waitakere,Waitakere
Melville North,Dinsdale North,PASSENGER_IN_VEHICLE,6,EDUCATION,Melville North,-37.81091872,175.27938651,Dinsdale North,-37.78865021,175.24575574,3.8551822609755617,Hamilton,Hamilton
Half Moon Bay North East,Bucklands Beach North,PASSENGER_IN_VEHICLE,12,EDUCATION,Half Moon Bay North East,-36.88645568,174.90494659,Bucklands Beach North,-36.86068628,174.9037907,2.8672706328049586,Manukau,
Campbells Bay,Albany West,PASSENGER_IN_VEHICLE,9,EDUCATION,Campbells Bay,-36.74954905,174.75627345,Albany West,-36.7414674,174.68787988,6.159808783797529,Waitakere,Waitakere
Botany North,Northpark North,PASSENGER_IN_VEHICLE,9,EDUCATION,Botany North,-36.92502363,174.92612028,Northpark North,-36.91724964,174.92247912,0.9230430425322456,Manukau,Manukau
Maunu-Horahora,Maungatapere,PASSENGER_IN_VEHICLE,12,EDUCATION,Maunu-Horahora,-35.73757136,174.29037127,Maungatapere,-35.76206371,174.15473729,12.539354963577438,Whangarei,Whangarei
Wainuiomata West,Wainuiomata West,PASSENGER_IN_VEHICLE,42,EDUCATION,Wainuiomata West,-41.25104641,174.93287708,Wainuiomata West,-41.25104641,174.93287708,0.0,Hutt city,Hutt city
Huntington,Hamilton Lake,PASSENGER_IN_VEHICLE,6,EDUCATION,Huntington,-37.74374104,175.28372029,Hamilton Lake,-37.79791394,175.27349231,6.090466362083406,Hamilton,Hamilton
Whakatane West,Whakatane West,PASSENGER_IN_VEHICLE,33,EDUCATION,Whakatane West,-37.96340527,176.96559282,Whakatane West,-37.96340527,176.96559282,0.0,Whakatane,Whakatane
Flagstaff South,Flagstaff North,PASSENGER_IN_VEHICLE,15,EDUCATION,Flagstaff South,-37.729433,175.23989195,Flagstaff North,-37.72225897,175.24766938,1.0508252681296415,Hamilton,Hamilton
Awahuri,Warwick,PASSENGER_IN_VEHICLE,9,EDUCATION,Awahuri,-40.24996829,175.47223109,Warwick,-40.22282513,175.55901821,7.961188619685696,Manawatu,Manawatu
Fernside,Southbrook,PASSENGER_IN_VEHICLE,18,EDUCATION,Fernside,-43.32395864,172.5645026,Southbrook,-43.32718073,172.59765801,2.7057861935585388,Waimakariri,Waimakariri
Pine Hill-Dalmore,North East Valley Chingford,PASSENGER_IN_VEHICLE,27,EDUCATION,Pine Hill-Dalmore,-45.84825689,170.51388061,North East Valley Chingford,-45.84682841,170.52968456,1.2343582861014937,Dunedin,Dunedin
Millwater South,Albany West,PASSENGER_IN_VEHICLE,9,EDUCATION,Millwater South,-36.61231012,174.67000848,Albany West,-36.7414674,174.68787988,14.449797713769646,Rodney,Waitakere
Nawton West,Pukete East,PASSENGER_IN_VEHICLE,12,EDUCATION,Nawton West,-37.78502392,175.23357387,Pukete East,-37.74160973,175.24441842,4.920661874895057,Hamilton,Hamilton
Quail Rise,Shotover Country,PASSENGER_IN_VEHICLE,24,EDUCATION,Quail Rise,-44.99478952,168.74876096,Shotover Country,-45.00679253,168.77572546,2.505230167431894,Queenstown-Lakes,Queenstown-Lakes
Ellerslie East,Remuera Waitaramoa,PASSENGER_IN_VEHICLE,12,EDUCATION,Ellerslie East,-36.89230912,174.82105259999997,Remuera Waitaramoa,-36.87147136,174.79423523,3.3253369616964257,Waitakere,Waitakere
Lincoln East,Lincoln West,PASSENGER_IN_VEHICLE,222,EDUCATION,Lincoln East,-43.638533,172.49369169,Lincoln West,-43.64345571,172.47791199,1.382740815668858,Selwyn,Selwyn
Tauranga South,Otumoetai North,PASSENGER_IN_VEHICLE,9,EDUCATION,Tauranga South,-37.7084259,176.15681961,Otumoetai North,-37.66946351,176.14903993,4.386169671167768,Western Bay of Plenty,Western Bay of Plenty
Island Bay East,Mount Victoria,PASSENGER_IN_VEHICLE,9,EDUCATION,Island Bay East,-41.33666605,174.77592354,Mount Victoria,-41.29882878,174.78763827,4.31956427111084,Wellington,Wellington
Glen Eden Rosier,Henderson East,PASSENGER_IN_VEHICLE,9,EDUCATION,Glen Eden Rosier,-36.91539926,174.63643274,Henderson East,-36.88675131,174.63851372,3.1908764802818657,Waitakere,Waitakere
Otatara,Avenal,PASSENGER_IN_VEHICLE,6,EDUCATION,Otatara,-46.43520129,168.28791931,Avenal,-46.40074343,168.35272935,6.274001253821814,Invercargill,Invercargill
Maungawhau,Balmoral,PASSENGER_IN_VEHICLE,6,EDUCATION,Maungawhau,-36.89091675,174.75425547,Balmoral,-36.88723106,174.7449694,0.9219427677742696,Waitakere,Waitakere
Hauraki Plains South,Paeroa Rural,PASSENGER_IN_VEHICLE,15,EDUCATION,Hauraki Plains South,-37.355292,175.48248555,Paeroa Rural,-37.39345524,175.57864603,9.49792916662672,Hauraki,Hauraki
