SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Bethlehem Central,Bellevue,PUBLIC_BUS,18,EDUCATION,Bethlehem Central,-37.7065879,176.11498118,Bellevue,-37.67938337,176.1292392,3.2748327969721096,Western Bay of Plenty,Western Bay of Plenty
Churton Park North,Petone East,PUBLIC_BUS,6,EDUCATION,Churton Park North,-41.19767254,174.81365567,Petone East,-41.2248184,174.89062655,7.11107024291204,Wellington,Hutt city
Petone East,Petone East,PUBLIC_BUS,9,EDUCATION,Petone East,-41.2248184,174.89062655,Petone East,-41.2248184,174.89062655,0.0,Hutt city,Hutt city
Travis Wetlands,Richmond North (Christchurch City),PUBLIC_BUS,6,EDUCATION,Travis Wetlands,-43.48560388,172.68870014,Richmond North (Christchurch City),-43.51297088,172.65862627,3.8915841776106,Christchurch,Christchurch
Cockle Bay,Botany South,PUBLIC_BUS,9,EDUCATION,Cockle Bay,-36.89765568,174.94328238,Botany South,-36.9385812,174.91414624,5.236227365043372,Manukau,Manukau
Mairehau South,Avonside,PUBLIC_BUS,6,EDUCATION,Mairehau South,-43.50208583,172.64539115,Avonside,-43.52342743,172.67056719999997,3.123025534504121,Christchurch,Christchurch
Riccarton Racecourse,Ilam University,PUBLIC_BUS,9,EDUCATION,Riccarton Racecourse,-43.52902176,172.54286039,Ilam University,-43.52336127,172.57826459,2.9229634420725383,Christchurch,Christchurch
Strathmore (Wellington City),Wellington University,PUBLIC_BUS,39,EDUCATION,Strathmore (Wellington City),-41.33164104,174.82054496,Wellington University,-41.289084,174.7676253,6.4753167098503015,Wellington,Wellington
Te Manatu,Rototuna North,PUBLIC_BUS,6,EDUCATION,Te Manatu,-37.72619876,175.28195734,Rototuna North,-37.71737955,175.26505049,1.7812719242884312,Hamilton,Hamilton
Kelston North,Avondale North (Auckland),PUBLIC_BUS,9,EDUCATION,Kelston North,-36.89579137,174.66634449,Avondale North (Auckland),-36.88954577,174.69562749,2.6951332010305125,Waitakere,Waitakere
Beerescourt,Hamilton East Village,PUBLIC_BUS,9,EDUCATION,Beerescourt,-37.76368245,175.26146548,Hamilton East Village,-37.79028168,175.29324653,4.0681577037792085,Hamilton,Hamilton
Meadowbank West,Kohimarama,PUBLIC_BUS,12,EDUCATION,Meadowbank West,-36.86956185,174.8257466,Kohimarama,-36.85773003,174.84092129,1.885039881126636,Waitakere,Waitakere
Newlands South,Mount Cook East,PUBLIC_BUS,9,EDUCATION,Newlands South,-41.23454859,174.82124819,Mount Cook East,-41.30251481,174.77750144,8.395460741117653,Wellington,Wellington
Blockhouse Bay East,Auckland-University,PUBLIC_BUS,60,EDUCATION,Blockhouse Bay East,-36.92106193,174.70934256,Auckland-University,-36.85143057,174.76906469,9.389394268607138,Waitakere,Waitakere
Remuera Waitaramoa,Remuera South,PUBLIC_BUS,12,EDUCATION,Remuera Waitaramoa,-36.87147136,174.79423523,Remuera South,-36.88443518,174.79526521,1.4444192527088533,Waitakere,Waitakere
Karori North,Mount Cook East,PUBLIC_BUS,18,EDUCATION,Karori North,-41.27758715,174.74437222,Mount Cook East,-41.30251481,174.77750144,3.9172021840426985,Wellington,Wellington
Glen Eden West,Henderson North,PUBLIC_BUS,12,EDUCATION,Glen Eden West,-36.91301994,174.62881821,Henderson North,-36.87606154,174.62534230000003,4.1211947946467005,Waitakere,Waitakere
Clover Park North,Otahuhu South,PUBLIC_BUS,12,EDUCATION,Clover Park North,-36.97956376,174.89311669,Otahuhu South,-36.94719396,174.84996655,5.258619887423143,Manukau,Manukau
Epsom Central-South,Albany West,PUBLIC_BUS,6,EDUCATION,Epsom Central-South,-36.89675875,174.76787408,Albany West,-36.7414674,174.68787988,18.678181445203084,Waitakere,Waitakere
Lynfield North,Mount Albert West,PUBLIC_BUS,6,EDUCATION,Lynfield North,-36.91952771,174.71763043,Mount Albert West,-36.88204623,174.70769409,4.260373758801858,Waitakere,Waitakere
Ponsonby West,Mount Eden North East,PUBLIC_BUS,6,EDUCATION,Ponsonby West,-36.85019424,174.73436269,Mount Eden North East,-36.86913097,174.76555025,3.4832090944870067,Waitakere,Waitakere
Oteha East,Forrest Hill West,PUBLIC_BUS,6,EDUCATION,Oteha East,-36.71657898,174.72207262,Forrest Hill West,-36.76895837,174.7451352,6.176212572532754,Waitakere,Waitakere
Linden,Porirua Central,PUBLIC_BUS,6,EDUCATION,Linden,-41.15666441,174.83380144,Porirua Central,-41.14584359,174.82583047,1.375915103404179,Porirua,Porirua
Hataitai North,Mount Victoria,PUBLIC_BUS,21,EDUCATION,Hataitai North,-41.30162529,174.79629811,Mount Victoria,-41.29882878,174.78763827,0.7874136725697302,Wellington,Wellington
Bucklands Beach North,Auckland-University,PUBLIC_BUS,27,EDUCATION,Bucklands Beach North,-36.86068628,174.9037907,Auckland-University,-36.85143057,174.76906469,12.030950534861116,,Waitakere
Dixon Street,Pipitea-Kaiwharawhara,PUBLIC_BUS,27,EDUCATION,Dixon Street,-41.29101921,174.77469531,Pipitea-Kaiwharawhara,-41.27624822,174.78772639,1.9705990334297987,Wellington,Wellington
New Windsor South,Symonds Street West,PUBLIC_BUS,9,EDUCATION,New Windsor South,-36.90852211,174.71637156,Symonds Street West,-36.8567668,174.76333185,7.110837628057974,Waitakere,Waitakere
Mount St John,Auckland-University,PUBLIC_BUS,141,EDUCATION,Mount St John,-36.88236812,174.78035947,Auckland-University,-36.85143057,174.76906469,3.5838325281728936,Waitakere,Waitakere
Browns Bay South East,Albany Central,PUBLIC_BUS,12,EDUCATION,Browns Bay South East,-36.72475755,174.73770545,Albany Central,-36.72820186,174.70483518,2.9544152103658354,Waitakere,Waitakere
Mount Wellington Central,Auckland-University,PUBLIC_BUS,45,EDUCATION,Mount Wellington Central,-36.90833619,174.84460805,Auckland-University,-36.85143057,174.76906469,9.22961111195082,Waitakere,Waitakere
Owhata East,Tihiotonga-Whakarewarewa,PUBLIC_BUS,9,EDUCATION,Owhata East,-38.13784197,176.29814382,Tihiotonga-Whakarewarewa,-38.16412016,176.25173097,5.000900095520463,Rotorua,Rotorua
Mount Cook East,Wellington Central,PUBLIC_BUS,6,EDUCATION,Mount Cook East,-41.30251481,174.77750144,Wellington Central,-41.2849345,174.77572593,1.9604610665058828,Wellington,Wellington
Mount Eden North East,Auckland-University,PUBLIC_BUS,24,EDUCATION,Mount Eden North East,-36.86913097,174.76555025,Auckland-University,-36.85143057,174.76906469,1.9928754644354365,Waitakere,Waitakere
Dairy Flat North,Auckland-University,PUBLIC_BUS,27,EDUCATION,Dairy Flat North,-36.6446947,174.65374224,Auckland-University,-36.85143057,174.76906469,25.179785364143427,Rodney,Waitakere
Delaney,Petone East,PUBLIC_BUS,9,EDUCATION,Delaney,-41.1864706,174.97924526,Petone East,-41.2248184,174.89062655,8.55243458101659,Hutt city,Hutt city
Murrays Bay West,Auckland-University,PUBLIC_BUS,66,EDUCATION,Murrays Bay West,-36.73177873,174.74174762,Auckland-University,-36.85143057,174.76906469,13.5252177172034,Waitakere,Waitakere
