SA2_name_usual_residence_address,SA2_name_educational_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Khandallah Reserve,Karori East,SCHOOL_BUS,9,EDUCATION,Khandallah Reserve,-41.2435098,174.78546517,Karori East,-41.28702587,174.747422,5.790001485683919,Wellington,Wellington
Milson South,Newbury,SCHOOL_BUS,6,EDUCATION,Milson South,-40.33443818,175.60505225,Newbury,-40.33398879,175.57992885,2.130093008921381,Palmerston North,Manawatu
Birchville-Brown Owl,Brentwood (Upper Hutt City),SCHOOL_BUS,24,EDUCATION,Birchville-Brown Owl,-41.08596013,175.11315290000005,Brentwood (Upper Hutt City),-41.12890914,175.03679072,7.98372564260301,Upper Hutt,Upper Hutt
Te Roti-Moeroa,Stratford Central,SCHOOL_BUS,9,EDUCATION,Te Roti-Moeroa,-39.43904821,174.49347034,Stratford Central,-39.3375964,174.28910646,20.873614710589713,South Taranaki,Stratford
Tauriko,Tauranga South,SCHOOL_BUS,6,EDUCATION,Tauriko,-37.75604256,176.09165915,Tauranga South,-37.7084259,176.15681961,7.801974780937267,Western Bay of Plenty,Western Bay of Plenty
Totara Vale North,Windsor Park,SCHOOL_BUS,12,EDUCATION,Totara Vale North,-36.75965827,174.73009473,Windsor Park,-36.73975221,174.73568351,2.26876931037388,Waitakere,Waitakere
Colville,Colville,SCHOOL_BUS,18,EDUCATION,Colville,-36.69966402,175.48157611,Colville,-36.69966402,175.48157611,0.0,Thames-Coromandel,Thames-Coromandel
Mount Wellington East,Penrose,SCHOOL_BUS,9,EDUCATION,Mount Wellington East,-36.90148701,174.83884542,Penrose,-36.91999811,174.82258914,2.515096944272848,Waitakere,Waitakere
Conifer Grove East,Rosehill,SCHOOL_BUS,33,EDUCATION,Conifer Grove East,-37.04393764,174.91537177,Rosehill,-37.0807433,174.93811005,4.562904702600085,Franklin,Franklin
Maraekakaho,Maraekakaho,SCHOOL_BUS,48,EDUCATION,Maraekakaho,-39.62634976,176.29699518,Maraekakaho,-39.62634976,176.29699518,0.0,Hastings,Hastings
Otago Peninsula,Broad Bay-Portobello,SCHOOL_BUS,6,EDUCATION,Otago Peninsula,-45.87156725,170.64610881,Broad Bay-Portobello,-45.84455049,170.63829798,3.0644166217142543,Dunedin,Dunedin
Prebbleton,Bush Inn,SCHOOL_BUS,24,EDUCATION,Prebbleton,-43.57865333,172.50783629,Bush Inn,-43.52942223,172.576402,7.778022015822028,Selwyn,Christchurch
Ngongotaha East,Utuhina,SCHOOL_BUS,9,EDUCATION,Ngongotaha East,-38.06283551,176.21388396,Utuhina,-38.14249953,176.23214439,9.001180379836212,Rotorua,Rotorua
East Tamaki Heights,Somerville,SCHOOL_BUS,36,EDUCATION,East Tamaki Heights,-36.9417869,174.92247188,Somerville,-36.91234246,174.93394109,3.4291267582102614,Manukau,Manukau
