SA2_name_usual_residence_address,number_of_commutes_departing,number_of_commutes_arriving,number_of_people_commuting,average_distance_of_departing_commute,average_distance_of_arriving_commute,total_bicycle_count,total_bus_count,total_ferry_count,total_home_count,total_other_count,total_own_vehicle_count,total_passenger_count,total_train_count,total_walk_or_jog_count,education_bicycle_count,education_bus_count,education_ferry_count,education_home_count,education_other_count,education_own_vehicle_count,education_passenger_count,education_train_count,education_walk_or_jog_count,work_bicycle_count,work_bus_count,work_ferry_count,work_home_count,work_other_count,work_own_vehicle_count,work_passenger_count,work_train_count,work_walk_or_jog_count,common_destination_1,common_destination_2,common_destination_3,common_arrival_1,common_arrival_2,common_arrival_3,bicycle_distance,bus_distance,ferry_distance,home_distance,other_distance,own_vehicle_distance,passenger_distance,train_distance,walk_or_jog_distance
New Lynn South,112,35,2070,7.438045845554648,2.3859755062179215,0,0,0,0,6,0,0,0,126,0,0,0,0,6,0,0,0,126,0,0,0,0,0,0,0,0,0,7,5,4,7,2,2,0.0,4.7783953276976465,0.0,0.0,0.0,0.0,0.0,9.486216751633817,0.732409265751687
Morningside (Auckland),112,65,2058,4.472762003423478,3.976504829529707,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,8,6,5,6,4,3,3.5577081127718304,3.975575529913741,0.0,0.0,3.7689520178835005,0.0,0.0,4.20978464192394,1.0886636715740634
Greenlane North,111,99,2475,4.58275087451788,6.2840587667414125,9,0,0,0,0,0,0,0,192,9,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,7,6,6,7,3,2,2.197666463723339,4.377375441428859,0.0,0.0,4.944165357773163,0.0,0.0,5.52401137591876,1.3464890418691966
Eden Terrace,109,428,2334,3.8472681016195835,10.267682902841484,18,0,15,0,0,0,0,90,399,18,0,15,0,0,0,0,90,399,0,0,0,0,0,0,0,0,0,7,7,6,5,3,3,1.8934899440163675,1.8163307122419294,0.0,0.0,1.6899372299842024,0.0,0.0,3.702000707921801,1.3361499147943605
Kingsland,108,46,1809,3.763536813345248,3.822953994762863,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,7,5,5,4,2,1,2.5616009415063252,2.8214681572261053,0.0,0.0,8.64005381110043,0.0,0.0,3.230607693931627,2.005787658290546
Mount Roskill White Swan,106,8,1962,6.325787952869957,0.5022871552807202,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,5,4,5,1,1,0.0,4.625172285282186,0.0,0.0,0.9071169838199424,0.0,0.0,0.0,0.7328702662969835
Sunnyvale East,106,15,1821,8.601158968109425,1.625815341321139,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,8,5,5,5,2,2,0.0,5.523357771613609,0.0,0.0,1.6102447896284608,0.0,0.0,10.690115387685095,1.561875705438442
One Tree Hill,105,12,2082,5.250410845472482,0.8817046473325156,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,6,4,4,6,2,2,5.661046898364778,4.548648681104465,0.0,0.0,0.0,0.0,0.0,6.746770622375623,1.5737357863696646
Birkdale South,104,15,2427,6.6677660145196676,1.494049398183724,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,4,4,5,1,1,0.0,5.213388184528241,7.347030381602467,0.0,0.0,0.0,0.0,0.0,0.8248733769486302
Linwood West,104,21,2082,3.826668385047773,3.0665254267854216,6,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,9,6,6,6,1,1,2.5176132638919206,3.350173539890065,0.0,0.0,0.0,0.0,0.0,0.0,1.3194574082521902
Grey Lynn Central,104,5,1992,3.4296041308701386,0.5197970586986844,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,5,4,4,1,-990,2.2026011965794265,3.221947188093574,0.0,0.0,1.5467172886490517,0.0,0.0,2.8357002339109534,1.665026376780578
Point Chevalier East,103,29,2460,5.2554480802246415,1.9149475239375853,144,0,0,0,0,0,0,0,363,144,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,7,5,4,7,5,2,3.37850092766521,5.619002107879001,0.0,0.0,0.0,0.0,0.0,0.0,0.7717015345296281
Mount Eden South,103,9,2088,4.703763997394192,0.40867483297414997,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,6,5,5,2,1,2.3306442363878235,3.6496663107059937,0.0,0.0,5.488432042898989,0.0,0.0,0.0,1.5489940826625421
Avondale North (Auckland),102,112,1947,6.545494302983991,4.115005600074909,9,516,0,0,0,0,0,213,600,9,516,0,0,0,0,0,213,600,0,0,0,0,0,0,0,0,0,5,4,4,5,4,4,0.0,5.085453320226407,0.0,0.0,0.0,0.0,0.0,7.475181932245572,0.6750007086455206
Onehunga West,102,41,1905,6.097316328902618,3.0335111414262372,0,168,0,0,0,0,0,0,126,0,168,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,6,5,4,5,4,3,0.0,6.775671045300167,0.0,0.0,0.0,0.0,0.0,7.990406454367308,2.241665138139056
Sandringham North,101,6,1983,3.9660001635073887,0.23506002761602574,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,6,5,5,1,-990,3.648684895507816,3.74228863112684,0.0,0.0,4.14829839430096,0.0,0.0,4.034093357553538,0.9035805828084095
Mount Albert North,100,39,2040,5.503127131330554,2.80049294670981,24,0,0,0,0,0,0,0,387,24,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,7,5,4,7,4,4,3.173616200922307,4.313364291514834,0.0,0.0,0.0,0.0,0.0,4.833666352931976,2.660854545281206
Mount Roskill North,100,28,1689,5.300465014997214,1.6299716577465488,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,7,6,4,7,2,2,5.891088621212685,4.901959281156748,0.0,0.0,0.0,0.0,0.0,0.0,1.0198772161968992
Edgeware,100,6,2055,3.8285083237166595,0.4436164423834366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4,4,1,1,3.1886304425689858,4.155230826877285,0.0,0.0,0.0,0.0,0.0,0.0,1.689748294223732
Avondale South (Auckland),100,52,1734,6.578070153184871,2.998896274218563,0,6,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,6,5,5,6,2,2,0.0,4.90354601865158,0.0,0.0,0.0,0.0,0.0,7.764456423037531,0.7119689959003125
Birkenhead West,99,21,2226,6.164996587809067,1.2416429976158585,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,6,5,4,6,4,2,0.0,4.768466972218955,7.17369872490204,0.0,0.0,0.0,0.0,0.0,1.3107697391408
Western Heights (Auckland),98,17,2109,9.857597240404317,1.3259644932461927,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,5,5,4,5,3,2,0.0,4.999030860965021,0.0,0.0,0.0,0.0,0.0,12.927739326652556,1.2959588855214845
Glen Eden Woodglen,98,24,1794,9.445142344728474,2.442347128375172,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,6,5,3,5,3,2,0.0,6.499176746203043,0.0,0.0,0.0,0.0,0.0,11.622124116355291,1.0143488852912816
New Windsor South,98,19,1794,6.358685249428801,0.9835399985230574,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,6,3,3,6,3,1,0.0,5.6653396029744165,0.0,0.0,7.890905332826708,0.0,0.0,0.0,0.40962466641162415
Papatoetoe Central,98,94,2019,7.4584054389949905,3.825319322008939,0,0,0,0,6,0,0,0,168,0,0,0,0,6,0,0,0,168,0,0,0,0,0,0,0,0,0,7,6,4,7,4,4,0.0,7.355626861417306,0.0,0.0,0.0,0.0,0.0,12.160179407394768,0.821451432258853
Glendene North,97,9,1710,7.766187716853547,1.0046008868542193,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,6,5,5,5,1,1,0.0,4.981709403328346,0.0,0.0,0.0,0.0,0.0,10.825617925080039,0.8884355189013436
Epsom Central-South,97,18,2124,4.914591708515551,1.6016662470265859,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,5,5,6,1,1,2.046421356418824,5.369281129288194,0.0,0.0,0.0,0.0,0.0,8.895446118743902,1.1630481192669304
Awaruku,96,6,2553,9.546073152699739,0.3616772115944162,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,5,5,5,1,-990,0.0,7.891568238956457,0.0,0.0,5.275116603314532,0.0,0.0,0.0,0.9500417242878604
Takanini South,96,8,2046,13.250723792636725,0.8199877560117351,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,4,3,5,1,1,1.936329766297862,10.05262269338587,0.0,0.0,0.0,0.0,0.0,22.105271470532838,0.4987350667438335
Glenfield South West,96,9,2004,6.975732039004574,0.7300706397326473,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,5,5,4,5,1,1,0.0,6.1231157253495985,0.0,0.0,0.0,0.0,0.0,0.0,0.6794112505045051
Casebrook,95,40,1959,5.034968575725678,2.639343769714499,87,0,0,0,0,0,0,0,78,87,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,8,7,5,7,4,3,3.4893902149084592,4.72368370775657,0.0,0.0,4.4340052229774995,0.0,0.0,0.0,0.8287216932375934
Lynfield South,95,17,2172,7.737196051869169,1.5078931491261915,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,6,4,3,6,1,1,0.0,6.031373086968977,0.0,0.0,0.0,0.0,0.0,0.0,0.4002917329020185
Ormiston South,95,37,2544,10.617726613562267,2.015768365853158,9,9,0,0,0,0,0,0,327,9,9,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,7,3,3,7,4,3,0.0,11.476141244932174,0.0,0.0,0.0,0.0,0.0,19.602647991359937,0.0
Freemans Bay,94,197,2322,3.228646099285045,6.605188181820629,6,6,6,0,0,0,0,45,537,6,6,6,0,0,0,0,45,537,0,0,0,0,0,0,0,0,0,6,6,5,6,4,4,1.8099133952309472,2.727528806492849,0.0,0.0,2.4173388207571787,0.0,0.0,0.0,1.3030056658292595
Papatoetoe North,94,8,1875,7.915082634881527,0.4868481108371744,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,4,4,5,2,1,0.0,9.018161211905053,0.0,0.0,0.0,0.0,0.0,10.779372200232105,1.112945687751703
Browns Bay South West,93,5,2256,8.784366231798927,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,5,5,5,-990,-990,0.0,7.519249065785461,0.0,0.0,0.0,0.0,0.0,0.0,1.1687555195834936
Te Atatu South-Central,93,18,1863,8.001948655577477,1.577828189135114,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,6,4,4,6,3,1,1.5158790854202937,6.24436427712292,0.0,0.0,0.0,0.0,0.0,0.0,0.7118794228849893
West Harbour Clearwater Cove,92,7,2055,9.56771460460453,0.6535014853738741,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,5,4,4,1,1,1.7330000138369481,9.483282811446013,12.12055012839727,0.0,0.0,0.0,0.0,0.0,1.0745265992390103
Sandringham East,92,4,1497,4.79634180911379,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,4,4,-990,-990,3.0320195566435433,3.8920440837185444,0.0,0.0,0.8886448072101478,0.0,0.0,4.404938878739416,0.9347546313468535
Saint Heliers South,92,5,2094,6.7136354974655195,0.5577132200812498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,3,1,1,8.533367940290066,6.6193375588500825,0.0,0.0,0.0,0.0,0.0,8.371344023900544,1.2978390780754525
Mission Bay,92,27,2211,5.966082448253142,2.3640693539777127,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,5,5,5,2,2,6.3589845861290675,5.034768866181625,0.0,0.0,10.681131919080425,0.0,0.0,7.162196711143057,0.5277753346146317
Remuera Waitaramoa,92,45,2184,4.185195026556688,2.4363821874999263,0,18,0,0,0,0,0,0,234,0,18,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,7,6,6,6,3,3,0.0,3.400085656217411,0.0,0.0,0.0,0.0,0.0,5.5927131352046695,1.5479595636109613
Epsom Central-North,91,154,2004,4.429246111088049,4.587224668115863,24,135,0,0,0,0,0,0,714,24,135,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,8,7,5,7,6,5,3.0773557993689193,2.9468999443168404,0.0,0.0,4.043720350911797,0.0,0.0,0.0,1.3818083956460852
Grey Lynn North,91,54,1581,3.7255247187668594,3.7917471782661183,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,8,5,5,5,3,2,1.8682843956115835,5.392104357915292,0.0,0.0,2.8444628330166672,0.0,0.0,0.0,1.6299537076249406
Parnell West,91,427,2448,3.3199150961692836,10.036368787064346,45,0,84,0,15,0,0,48,498,45,0,84,0,15,0,0,48,498,0,0,0,0,0,0,0,0,0,7,7,6,7,4,4,1.5103527506421723,2.1283964889909512,0.0,0.0,1.1327645629816292,0.0,0.0,5.8502548859751276,1.3335935189572978
Blockhouse Bay South,90,53,1740,8.328423601753641,2.6109171936109385,0,93,0,0,0,0,0,0,168,0,93,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,6,4,4,6,3,3,0.0,6.026895636727282,0.0,0.0,0.0,0.0,0.0,9.932532461988075,0.7593462428218558
Mount Eden West,90,4,1809,4.132497922823498,0.21351414826405749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,3,1,-990,3.2898274739678355,2.976112428162787,0.0,0.0,3.8562641511650457,0.0,0.0,10.810384194921207,1.7948526086624186
Mount Eden North,90,21,1692,3.540357663413227,1.0922736751630513,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,7,6,5,6,3,2,2.2296779662565527,2.7149151137733756,0.0,0.0,2.7000053502164607,0.0,0.0,2.5350837576866927,1.3676818306714142
Castor Bay,89,26,2430,7.124906452604512,1.2013676359959873,51,39,0,0,0,0,0,0,192,51,39,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,8,6,6,6,5,4,1.6516412522409312,5.520596851787333,0.0,0.0,0.0,0.0,0.0,0.0,2.0369379505474368
Onehunga North,89,2,1668,5.6212367233572875,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,-990,-990,0.0,6.014314417670735,0.0,0.0,0.0,0.0,0.0,7.584117536575523,1.103609584059315
Karori Park,89,15,2703,4.630670084004866,0.6270399388967555,27,6,0,0,0,0,0,0,261,27,6,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,8,7,6,8,5,1,3.499292786063793,6.23020122300223,0.0,0.0,4.335456754278986,0.0,0.0,0.0,1.6796553327984487
Mount Wellington Ferndale,89,7,1728,11.14478440687621,0.1345463692727758,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,6,3,6,1,-990,0.0,5.039709944317065,0.0,0.0,0.0,0.0,0.0,8.587820224825672,1.051541868165632
Glen Innes West,89,12,1605,6.194032109502201,0.8747384170734689,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,6,5,4,6,2,1,0.0,3.9092758561108707,0.0,0.0,0.0,0.0,0.0,8.766765174542938,3.4892570035771
Totara Vale South,88,3,1773,7.549833407015414,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,-990,-990,0.0,5.069936000303947,0.0,0.0,0.0,0.0,0.0,0.0,0.9755865148197734
Newmarket,88,714,1962,3.7122491902793175,10.4275260783996,27,57,51,0,6,0,0,948,819,27,57,51,0,6,0,0,948,819,0,0,0,0,0,0,0,0,0,8,7,6,7,6,6,2.0310898024325565,2.092388914686019,0.0,0.0,2.0310898024325565,0.0,0.0,4.572018831744299,1.3223099514289558
Blockhouse Bay North,88,38,1488,6.850876376551543,1.7367319645710904,0,39,0,0,0,0,0,0,189,0,39,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,6,4,3,6,4,3,0.0,4.499438084343812,0.0,0.0,0.0,0.0,0.0,9.257782414376086,0.8776139807515895
Glenfield Central,88,70,1860,6.28534845941876,2.755048810317843,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,7,5,4,7,3,3,0.0,4.990792215668992,0.0,0.0,3.1791829574212147,0.0,0.0,0.0,0.6287077431435618
Ponsonby East,88,113,1836,3.2126728542136123,3.988190106134022,33,84,0,0,0,0,0,0,426,33,84,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,6,5,5,6,5,4,2.4715802427071596,2.188596531699216,0.0,0.0,2.4323186568488095,0.0,0.0,0.0,1.5533028203626082
Hataitai North,88,16,2598,2.8022750521638065,0.7974293581082366,9,0,0,0,0,0,0,0,252,9,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,8,7,7,7,3,2,2.1403753175487816,2.7076178609445907,0.0,0.0,2.6559416384873495,0.0,0.0,0.0,1.758193566171424
Glendowie North,88,20,2712,19.2869089337834,1.1610065882598153,9,0,0,0,0,0,0,0,189,9,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,7,6,5,7,3,3,5.802043924259334,7.6063617098415985,0.0,0.0,0.0,0.0,0.0,10.105958794078923,152.90451516209106
Cockle Bay,88,23,2286,8.301485157441427,1.8448876637939888,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,6,4,3,6,3,3,1.8321751881158148,7.239649339968888,17.564080657517962,0.0,0.0,0.0,0.0,16.43556684355306,2.0555973150283013
Hillsborough West (Auckland),87,23,1638,6.528720340182243,1.6107801323457824,0,63,0,0,6,0,0,0,69,0,63,0,0,6,0,0,0,69,0,0,0,0,0,0,0,0,0,5,5,4,5,3,2,1.290516513368524,6.224211419358096,0.0,0.0,7.8536443955442365,0.0,0.0,0.0,0.645258256684262
Highland Park (Auckland),87,59,1977,7.364680112372656,2.5386820484455574,0,6,0,0,0,0,0,0,114,0,6,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,6,4,3,6,3,3,0.0,6.074361738021817,0.0,0.0,0.0,0.0,0.0,14.12701135823604,0.7139696005294162
Remuera Abbotts Park,87,6,1917,5.036174957443903,0.39690150183688494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,1,1,0.0,3.922988893792026,0.0,0.0,0.0,0.0,0.0,5.5717321123541295,1.3354463735886966
Glen Eden West,87,3,1386,9.491932902285976,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,-990,-990,3.850982442525362,7.036608365977355,0.0,0.0,0.0,0.0,0.0,11.857565862987913,2.6151928075880755
Bishopdale North,86,28,2073,4.2161525942484115,1.553415389130333,27,0,0,0,9,0,0,0,141,27,0,0,0,9,0,0,0,141,0,0,0,0,0,0,0,0,0,7,5,5,7,4,2,3.7093611850767907,4.604608749378721,0.0,0.0,0.4741054529847194,0.0,0.0,0.0,0.9438700608417824
Riccarton South,86,8,1791,3.47334444971867,0.4298363950431024,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,9,7,6,5,2,1,2.250552472406256,2.779600527510442,0.0,0.0,2.2736796874073404,0.0,0.0,0.0,1.2650895765114663
Massey South,86,7,1770,10.013751814303829,0.7444675421642079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,1,1,0.0,7.814210367526782,0.0,0.0,0.0,0.0,0.0,13.597390681618936,0.8003837485156633
Somerville,86,98,2205,8.410354601431225,5.50695700849704,18,771,0,0,0,0,0,0,675,18,771,0,0,0,0,0,0,675,0,0,0,0,0,0,0,0,0,7,4,4,7,5,4,0.0,8.840628510533147,0.0,0.0,0.0,0.0,0.0,16.556228613116588,3.8369038778308244
Konini,86,16,1761,9.581402494515922,1.5136172004254862,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,5,5,4,5,2,1,1.076458121933099,9.408944912637951,0.0,0.0,0.0,0.0,0.0,11.912093029879035,1.5942109857643347
Mount Wellington Central,86,25,1911,6.3046833583389645,2.2922112641184316,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,7,6,3,6,2,2,0.0,5.78886471554711,0.0,0.0,0.0,0.0,0.0,8.357876418597074,1.0950942317639147
Avondale Rosebank ,86,4,1650,7.467943460863271,0.1915411082375063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,1,-990,1.4180112319582088,7.26903965683353,0.0,0.0,0.0,0.0,0.0,9.770745533655361,1.1953760272700218
Titirangi South,85,12,2058,10.175639586009373,2.558533829907811,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,4,4,5,1,1,0.0,9.422763986023947,0.0,0.0,0.0,0.0,0.0,13.258499443563457,1.7296171414753563
Maungawhau,85,18,1617,4.691563367942294,1.1568903334695009,6,0,0,0,0,0,0,0,282,6,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,6,4,4,6,3,2,0.9219427677742696,3.5324736988754695,0.0,0.0,0.0,0.0,0.0,10.225487180020556,1.4795367772123245
Avondale West (Auckland),85,3,1389,7.681120739974112,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,3,-990,-990,0.0,8.917717675593188,0.0,0.0,0.0,0.0,0.0,9.025000963942713,1.267101463467382
Ellerslie East,85,8,1494,4.845582296099119,0.28258847033157186,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,5,5,6,1,1,0.0,4.225456706430818,0.0,0.0,0.0,0.0,0.0,6.889090920634515,1.1048220864146452
Greenlane South,85,7,1641,5.055342282077695,0.39056708172553256,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,5,4,5,1,1,0.0,5.033244500286966,0.0,0.0,0.0,0.0,0.0,6.501453384526236,1.4745139454142508
Waiake,85,16,2070,8.966891381224093,0.8311954764294134,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,6,5,5,6,3,2,0.0,6.5595477816219745,0.0,0.0,0.0,0.0,0.0,0.0,0.8703614271183293
Kohimarama,84,77,2205,6.099164563758127,2.3350651983226083,12,270,0,0,0,0,0,0,648,12,270,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,8,4,4,8,5,5,5.005516422266355,5.262216230935482,0.0,0.0,0.0,0.0,0.0,8.191238033785137,0.0
Remuera South,84,91,2037,4.720806388869358,3.1670893288937623,6,84,0,0,0,0,0,18,306,6,84,0,0,0,0,0,18,306,0,0,0,0,0,0,0,0,0,6,6,6,6,5,5,0.0,3.9014110538256137,0.0,0.0,0.0,0.0,0.0,5.768752950314586,1.0887388888015572
Chatswood,84,23,1761,5.983005349541401,2.2388490666789607,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,6,4,4,6,3,2,0.0,5.874285347873131,6.066879829249335,0.0,0.0,0.0,0.0,0.0,1.2778924176777255
Forrest Hill West,84,96,2079,7.348308829713527,3.4595867797266897,45,597,0,0,0,0,0,0,606,45,597,0,0,0,0,0,0,606,0,0,0,0,0,0,0,0,0,7,6,4,7,6,5,0.0,5.462572725314497,0.0,0.0,0.0,0.0,0.0,0.0,1.2838894312632727
Spreydon North,84,62,1746,3.6699654595328712,2.8578871211253776,138,0,0,0,0,0,0,0,180,138,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,8,7,5,7,5,4,2.281023461917676,2.8453252063351715,0.0,0.0,0.0,0.0,0.0,0.0,1.2795626523490282
Parnell East,84,16,1800,3.3098203906043953,1.0814567308152776,0,24,0,0,0,0,0,0,183,0,24,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,7,6,5,6,3,2,1.994251013123599,4.064127022247183,0.0,0.0,4.842788507058538,0.0,0.0,11.647463878180485,1.7780845755339227
Mount Albert Central,84,172,1800,4.948802928677954,3.78196406828958,24,282,0,0,0,0,0,90,1326,24,282,0,0,0,0,0,90,1326,0,0,0,0,0,0,0,0,0,7,4,4,7,5,5,0.5438378420457722,4.659137335953696,0.0,0.0,0.0,0.0,0.0,4.997749060763183,0.7667243861733478
Howick West,84,16,2022,6.70373484145308,0.9547048888365703,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,5,5,4,5,3,2,0.0,7.8962561329653225,0.0,0.0,0.0,0.0,0.0,14.13007501414422,1.2691570220370716
Parklands,84,19,1920,7.01627574901858,1.920444242789375,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,6,5,3,6,2,2,3.213375397046674,7.55696728199378,0.0,0.0,0.0,0.0,0.0,0.0,0.3513441763606056
Beach Haven East,84,7,1680,7.020750519585557,0.1892203867852358,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,5,3,5,1,1,0.0,4.986112034966337,0.0,0.0,0.0,0.0,0.0,0.0,0.49671484953836487
Takapuna West,84,555,2010,5.836400046551591,10.417823118885195,102,2151,0,0,6,0,0,0,714,102,2151,0,0,6,0,0,0,714,0,0,0,0,0,0,0,0,0,9,8,5,9,8,7,1.3588462918495574,4.329837578721081,0.0,0.0,0.0,0.0,0.0,0.0,2.085006736329146
Pinehill ,84,27,2049,8.53490267243959,1.8734958449337535,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,6,5,5,6,3,3,0.0,7.736152399501783,0.0,0.0,0.0,0.0,0.0,0.0,0.9743859001446754
