lat,lon
-36.89528995,174.7782585
-39.54400792,176.85143036
-43.5066813,172.59635325
-41.21562751,174.86781402
-41.30725889,173.22687972
-38.12154784,176.23823269
-40.34721244,175.61892073
-46.40719619,168.36918138
-39.91964278,175.04579452
-45.87481662,170.4813773
-35.71310137,174.30833235
-37.80931055,175.2924365
-38.6560244,178.01721277
-39.06454623,174.10205958
-37.7183264,176.17894876
-40.95167579,175.64326344
-44.39352828,171.2178066
-40.89457279999999,175.01141009
-41.51419128,173.93427609
