SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Epsom Central-North,North Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Epsom Central-North,-36.88779009,174.76992615,North Harbour,-36.74630474,174.71502975,16.473926318188063,Waitakere,Waitakere,Auckland,Auckland,22383
Petone Central,Thorndon,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,21,Petone Central,-41.22362356,174.86969444,Thorndon,-41.27246445,174.77422734,9.65382593696916,Hutt city,Wellington,Wellington,Wellington,3976
Claudelands,Te Rapa South,-999,57,9,-999,-999,-999,-999,-999,-999,-999,78,Claudelands,-37.77969313,175.28791146,Te Rapa South,-37.76141322,175.24114614,4.5856051010358785,Hamilton,Hamilton,Waikato,Waikato,1847
Maungatapu,Tauranga Central,-999,162,30,12,9,-999,9,-999,-999,-999,225,Maungatapu,-37.7183264,176.17894876,Tauranga Central,-37.67947411,176.16704264,4.445359897197328,Western Bay of Plenty,,Bay of Plenty,,1173
Mangakakahi Central,Rotorua Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Mangakakahi Central,-38.12824758,176.23058754,Rotorua Central,-38.13568521,176.25424012,2.227955035295645,Rotorua,Rotorua,Waikato,Bay of Plenty,588
Omahu-Pakowhai,Karamu,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Omahu-Pakowhai,-39.56659265,176.82024777,Karamu,-39.62823535,176.88383629,8.755913170799197,Hastings city,Hastings city,Hawke's Bay,Hawke's Bay,1474
Papaioea North,Palmerston North Central,-999,138,15,6,-999,-999,9,60,-999,-999,234,Papaioea North,-40.34721244,175.61892073,Palmerston North Central,-40.35537702,175.61010962,1.175460152669967,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,819
Aldinga,Richmond Central (Tasman District),-999,39,9,-999,-999,-999,-999,-999,-999,-999,54,Aldinga,-41.31388017,173.22157736,Richmond Central (Tasman District),-41.33750365,173.18938637,3.7584390504698137,Nelson,Tasman,Nelson,Nelson,608
Strowan,Jellie Park,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,Strowan,-43.50761954,172.60874654,Jellie Park,-43.51329391,172.58360326,2.123556760189416,Christchurch,Christchurch,Canterbury,Canterbury,6392
Belleknowes,Dunedin Central,-999,168,30,9,6,-999,6,33,-999,6,264,Belleknowes,-45.87481662,170.4813773,Dunedin Central,-45.87712471,170.50291221,1.6867740622768352,Dunedin,Dunedin,Otago,Otago,1105
