lat,lon
-36.89528995,174.7782585
-39.54400792,176.85143036
-43.5158088,172.59670819
-41.21562751,174.86781402
-37.79610513,175.32167122
-41.30725889,173.22687972
-38.12154784,176.23823269
-39.08069461,174.10443117
-40.32708272,175.60731249
-46.40719619,168.36918138
-39.91964278,175.04579452
-35.70451425,174.32430453
-45.87481662,170.4813773
-39.57617162,174.26308228
-38.6560244,178.01721277
-40.79823344,175.63791121
-39.34903873,174.28515816
-40.74369534,175.16963257
-45.08058565,170.97765366
-40.96910555,175.63403571
-46.07247342,170.08655606
-35.40792422,173.79767516
-38.33639894,175.16019027
-36.20144738,174.41954369
-37.7183264,176.17894876
-37.98393622,176.90843855
-37.03385041,175.85488182
-38.25763217,176.45697211
-45.01825697,168.74585281
-38.23905279,175.8629699
-46.3334381,168.67007113
-37.23819335,175.54353689
-36.40528692,174.66791942
-38.34127548,177.70733968
-38.88852154,175.31379572
-46.23721671,169.77798335
-44.35333362,171.24781336
-43.13161687,172.78405755
-39.75996379,176.70227115
-38.01656194,177.25965904
-43.91158863,171.75646729
-41.51419128,173.93427609
-45.24363835,169.38984744
-43.82506248,171.96646486
-44.27189292,171.01446242
-43.2987357,172.18309394
-35.87869623,174.45727498
-37.55408564,175.16553246
-39.99003717,176.76264858
-35.27991822,174.00095246
-36.79263832,175.05220466
-37.95916018,175.81429616
-38.69357961,176.0859815
-34.99672682,173.50774402
-40.00231546,176.56027065
-37.87712037,176.14775568
-37.88590858,176.02098429
-42.45704831,171.19924986
-38.05293796,175.78466514
-43.78492258,171.43181981
-37.44585854,175.90978753
-46.20791261,169.07308711
-46.12903119,168.56584014
-35.48991999,174.33501130000005
-44.03656373,171.49741748
-43.49796117,172.09991696
-40.91709663,175.45136445
-39.84344675,174.90288293
-44.68367445,169.18201076
-46.19250679,168.05347842
-39.94160872,176.31273142
-45.62493912,170.53249892
-45.06213909,170.69741781
-41.24935169,172.85150896
-36.59353204,174.31227374
-46.24535244,168.33027044
-38.4322622,178.15682921
-39.19745874,176.64300698
-41.3212678,174.04011823
-46.12386918,168.92050206
-39.43904821,174.49347034
-41.71793751,173.30406264
-41.12544913,172.99560963
-46.48269183,168.60409879
-35.12178170000001,173.26717397
-46.00268489,168.31789888
-36.12486297,174.57648718
-36.31614337,174.47831639
-36.98413362,175.15196852
-45.93568773,170.20271369
-44.72202963,171.04779397
-35.65301955,174.0023164
-38.3265856,176.19950049
-40.21019552,176.10213546
-36.46348663,174.48881947
-37.88322634,174.93821165
-36.25433822,174.62638047
-43.39853546,172.28813683
-35.49406405,173.95266307
-37.94949244,176.66958968
-37.57098670000001,175.31718590000003
-37.27897408,175.21484861
-38.67842084,177.63331484
-42.98563474,172.94683521
-36.82143931,175.6736582
-39.78384701,174.57529167
-38.28225314,177.02173872
-38.52137003,176.09477746
-40.07201708,175.91250803
-39.62634976,176.29699518
-44.49962787,170.93976175
-37.99001963,175.59740495
-40.0113956,175.25773896
