lat,lon
-36.89528995,174.7782585
-39.54400792,176.85143036
-43.5066813,172.59635325
-41.21562751,174.86781402
-37.80128004,175.30076378
-41.30725889,173.22687972
-38.12154784,176.23823269
-39.08069461,174.10443117
-40.32708272,175.60731249
-46.40719619,168.36918138
-39.91964278,175.04579452
-45.87481662,170.4813773
-35.70451425,174.32430453
-39.57617162,174.26308228
-38.6560244,178.01721277
-37.8092195,175.78065623
-40.75979827,175.1672598
-45.08058565,170.97765366
-40.96910555,175.63403571
-37.7183264,176.17894876
-37.96899468,176.97770942
-45.01825697,168.74585281
-38.23905279,175.8629699
-36.40528692,174.66791942
-44.37956812,171.22462484
-43.91158863,171.75646729
-41.51419128,173.93427609
-35.24639884,173.9577874
-38.69357961,176.0859815
-39.34903873,174.28515816
-41.12544913,172.99560963
-38.09034331,176.70935902
-35.32270229,174.10002605
