SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Kensington (Whangarei District),Whangarei Central,-999,270,36,15,-999,-999,12,78,-999,6,417,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland,563
Richmond (Invercargill City),Invercargill Central,-999,498,99,27,-999,-999,24,66,-999,6,720,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill,Southland,Southland,518
Warkworth East,Wellsford,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15,Warkworth East,-36.40528692,174.66791942,Wellsford,-36.2928483,174.52152782,18.116400226595395,Rodney,Rodney,Auckland,Auckland,144
Epsom Central-North,North Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Epsom Central-North,-36.88779009,174.76992615,North Harbour,-36.74630474,174.71502975,16.473926318188063,Waitakere,Waitakere,Auckland,Auckland,22776
Petone Central,Thorndon,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,21,Petone Central,-41.22362356,174.86969444,Thorndon,-41.27246445,174.77422734,9.65382593696916,Hutt city,Wellington,Wellington,Wellington,3997
Fitzroy ,Te Rapa South,-999,54,12,-999,-999,-999,-999,-999,-999,-999,72,Fitzroy,-37.81785453,175.30086297,Te Rapa South,-37.76141322,175.24114614,8.180744704293186,Hamilton,Hamilton,Waikato,Waikato,2229
Maungatapu,Tauranga Central,-999,162,30,12,9,-999,9,-999,-999,-999,225,Maungatapu,-37.7183264,176.17894876,Tauranga Central,-37.67947411,176.16704264,4.445359897197328,Western Bay of Plenty,,Bay of Plenty,,1258
Mangakakahi Central,Rotorua Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Mangakakahi Central,-38.12824758,176.23058754,Rotorua Central,-38.13568521,176.25424012,2.227955035295645,Rotorua,Rotorua,Waikato,Bay of Plenty,588
Bird Area,Marotiri,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Bird Area,-38.69357961,176.0859815,Marotiri,-38.51214377,175.78064218,33.33215113258208,Taupo,Taupo,Waikato,Waikato,195
Te Hapara East,Gisborne Central,-999,150,21,9,-999,-999,9,30,-999,-999,216,Te Hapara East,-38.6560244,178.01721277,Gisborne Central,-38.66778237,178.02299313,1.4004478113502266,Gisborne,Gisborne,Gisborne,Gisborne,315
Omahu-Pakowhai,Karamu,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Omahu-Pakowhai,-39.56659265,176.82024777,Karamu,-39.62823535,176.88383629,8.755913170799197,Hastings city,Hastings city,Hawke's Bay,Hawke's Bay,1474
Kuripuni,Lansdowne East,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,30,Kuripuni,-40.95167579,175.64326344,Lansdowne East,-40.94138749,175.68119066,3.3846276176729573,Masterton,Masterton,Wellington,Wellington,208
Highlands Park (New Plymouth District),Spotswood,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Highlands Park (New Plymouth District),-39.08069461,174.10443117,Spotswood,-39.07096507,174.02427884,7.002982060936531,New Plymouth,New Plymouth,Taranaki,Taranaki,599
Laird Park,Whanganui Central,-999,162,15,9,-999,-999,-999,30,-999,6,228,Laird Park,-39.91964278,175.04579452,Whanganui Central,-39.93513676,175.04701799,1.7260077838212151,Wanganui,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui,366
Milson North,Palmerston North Central,-999,171,18,12,-999,-999,-999,-999,-999,6,213,Milson North,-40.32708272,175.60731249,Palmerston North Central,-40.35537702,175.61010962,3.1551014275129723,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,1018
Levin Central,Tararua,-999,24,-999,-999,-999,-999,-999,-999,-999,-999,33,Levin Central,-40.6233097,175.2848475,Tararua,-40.64205371,175.30927003,2.9311130325682115,Horowhenua,Horowhenua,Manawatu-Wanganui,Manawatu-Wanganui,207
Otaihanga,Thorndon,-999,-999,-999,-999,-999,6,-999,-999,-999,-999,6,Otaihanga,-40.88290094,175.02785593,Thorndon,-41.27246445,174.77422734,48.25307829936457,Kapiti Coast,Wellington,Wellington,Wellington,437
Aldinga,Richmond Central (Tasman District),-999,39,9,-999,-999,-999,-999,-999,-999,-999,54,Aldinga,-41.31388017,173.22157736,Richmond Central (Tasman District),-41.33750365,173.18938637,3.7584390504698137,Nelson,Tasman,Nelson,Nelson,697
Yelverton,Marlborough Sounds West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Yelverton,-41.51419128,173.93427609,Marlborough Sounds West,-41.25619764,173.62635385,38.50854281081253,Marlborough,Marlborough,Marlborough,Marlborough,308
Strowan,Jellie Park,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,Strowan,-43.50761954,172.60874654,Jellie Park,-43.51329391,172.58360326,2.123556760189416,Christchurch,Christchurch,Canterbury,Canterbury,6468
Hampstead,Rolleston Izone,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,Hampstead,-43.91158863,171.75646729,Rolleston Izone,-43.58400200000001,172.37100014,61.34759827618618,Ashburton,Selwyn,Canterbury,Canterbury,181
Highfield South,Waitohi (Timaru District),-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Highfield South,-44.39352828,171.2178066,Waitohi (Timaru District),-44.18539597,171.37833391,26.43612120696775,Timaru,Timaru,Canterbury,Canterbury,283
Belleknowes,Dunedin Central,-999,168,30,9,6,-999,6,33,-999,6,264,Belleknowes,-45.87481662,170.4813773,Dunedin Central,-45.87712471,170.50291221,1.6867740622768352,Dunedin,Dunedin,Otago,Otago,1105
Frankton,Queenstown Central,-999,192,30,9,60,-999,18,15,-999,9,336,Frankton,-45.01825697,168.74585281,Queenstown Central,-45.0327315,168.65460343,7.349834294886826,Queenstown-Lakes,Queenstown-Lakes,Otago,Otago,176
