SA2_name_usual_residence_address,SA2_name_workplace_address,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2,DEPARTURE_NAME_1,DESTINATION_NAME_1,cluster_count
Kensington (Whangarei District),Whangarei Central,-999,270,36,15,-999,-999,12,78,-999,6,417,Kensington (Whangarei District),-35.71310137,174.30833235,Whangarei Central,-35.72846995,174.32430322,2.235870213746053,Whangarei,Whangarei,Northland,Northland,550
Richmond (Invercargill City),Invercargill Central,-999,498,99,27,-999,-999,24,66,-999,6,720,Richmond (Invercargill City),-46.40719619,168.36918138,Invercargill Central,-46.41489239,168.32850731,3.2336411984953366,Invercargill,Invercargill,Southland,Southland,518
Epsom Central-North,North Harbour,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,24,Epsom Central-North,-36.88779009,174.76992615,North Harbour,-36.74630474,174.71502975,16.473926318188063,Waitakere,Waitakere,Auckland,Auckland,22607
Petone Central,Thorndon,-999,-999,-999,-999,-999,12,-999,-999,-999,-999,21,Petone Central,-41.22362356,174.86969444,Thorndon,-41.27246445,174.77422734,9.65382593696916,Hutt city,Wellington,Wellington,Wellington,3997
Hamilton East Cook,Te Rapa South,-999,30,6,-999,-999,-999,-999,-999,-999,-999,42,Hamilton East Cook,-37.7913507,175.30343068,Te Rapa South,-37.76141322,175.24114614,6.406856792974416,Hamilton,Hamilton,Waikato,Waikato,1995
Maungatapu,Tauranga Central,-999,162,30,12,9,-999,9,-999,-999,-999,225,Maungatapu,-37.7183264,176.17894876,Tauranga Central,-37.67947411,176.16704264,4.445359897197328,Western Bay of Plenty,,Bay of Plenty,,1234
Mangakakahi Central,Rotorua Central,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9,Mangakakahi Central,-38.12824758,176.23058754,Rotorua Central,-38.13568521,176.25424012,2.227955035295645,Rotorua,Rotorua,Waikato,Bay of Plenty,588
Te Hapara East,Gisborne Central,-999,150,21,9,-999,-999,9,30,-999,-999,216,Te Hapara East,-38.6560244,178.01721277,Gisborne Central,-38.66778237,178.02299313,1.4004478113502266,Gisborne,Gisborne,Gisborne,Gisborne,315
Omahu-Pakowhai,Karamu,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15,Omahu-Pakowhai,-39.56659265,176.82024777,Karamu,-39.62823535,176.88383629,8.755913170799197,Hastings city,Hastings city,Hawke's Bay,Hawke's Bay,1474
Merrilands,Spotswood,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12,Merrilands,-39.06454623,174.10205958,Spotswood,-39.07096507,174.02427884,6.752782768952201,New Plymouth,New Plymouth,Taranaki,Taranaki,538
Laird Park,Whanganui Central,-999,162,15,9,-999,-999,-999,30,-999,6,228,Laird Park,-39.91964278,175.04579452,Whanganui Central,-39.93513676,175.04701799,1.7260077838212151,Wanganui,Wanganui,Manawatu-Wanganui,Manawatu-Wanganui,366
Papaioea South,Palmerston North Central,-999,117,18,9,-999,-999,6,93,-999,6,252,Papaioea South,-40.35209317,175.62547171,Palmerston North Central,-40.35537702,175.61010962,1.3519864752419901,Palmerston North,Palmerston North,Manawatu-Wanganui,Manawatu-Wanganui,831
Paraparaumu North,Thorndon,-999,6,-999,-999,-999,18,-999,-999,-999,-999,33,Paraparaumu North,-40.89457279999999,175.01141009,Thorndon,-41.27246445,174.77422734,46.484658920994605,Kapiti Coast,Wellington,Wellington,Wellington,378
Aldinga,Richmond Central (Tasman District),-999,39,9,-999,-999,-999,-999,-999,-999,-999,54,Aldinga,-41.31388017,173.22157736,Richmond Central (Tasman District),-41.33750365,173.18938637,3.7584390504698137,Nelson,Tasman,Nelson,Nelson,697
Yelverton,Marlborough Sounds West,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,Yelverton,-41.51419128,173.93427609,Marlborough Sounds West,-41.25619764,173.62635385,38.50854281081253,Marlborough,Marlborough,Marlborough,Marlborough,308
Strowan,Jellie Park,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,15,Strowan,-43.50761954,172.60874654,Jellie Park,-43.51329391,172.58360326,2.123556760189416,Christchurch,Christchurch,Canterbury,Canterbury,6468
Highfield South,Waitohi (Timaru District),-999,15,-999,-999,-999,-999,-999,-999,-999,-999,21,Highfield South,-44.39352828,171.2178066,Waitohi (Timaru District),-44.18539597,171.37833391,26.43612120696775,Timaru,Timaru,Canterbury,Canterbury,283
Belleknowes,Dunedin Central,-999,168,30,9,6,-999,6,33,-999,6,264,Belleknowes,-45.87481662,170.4813773,Dunedin Central,-45.87712471,170.50291221,1.6867740622768352,Dunedin,Dunedin,Otago,Otago,1105
