SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Kingsbury,Sockburn South,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Kingsbury,-43.29311511,172.58645499,Sockburn South,-43.5449149,172.56350496,28.060147298969664,Waimakariri,Christchurch
Brockville,Harbourside,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Brockville,-45.86689774,170.46160369999996,Harbourside,-45.86782727,170.53130076,5.397454912973349,Dunedin,Dunedin
Poraiti Flat,Omahu Strip,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Poraiti Flat,-39.49267269,176.8587725,Omahu Strip,-39.61309296,176.78725679,14.72717828529604,Hastings,Hastings city
Whitby,Gracefield,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Whitby,-41.11717134,174.89107268,Gracefield,-41.24017306,174.91075379,13.775993852040289,Porirua,Hutt city
Kingswell,Invercargill Central,DRIVE_COMPANY_VEHICLE,63,EDUCATION,Kingswell,-46.44101863,168.37099017,Invercargill Central,-46.41489239,168.32850731,4.3636261816475646,Invercargill,Invercargill
Palm Beach South-Gravatt,Tauranga Central,DRIVE_COMPANY_VEHICLE,21,EDUCATION,Palm Beach South-Gravatt,-37.69834431,176.27636175,Tauranga Central,-37.67947411,176.16704264,9.84552707720883,Western Bay of Plenty,
Avondale West (Auckland),Penrose,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Avondale West (Auckland),-36.89467964,174.6846386,Penrose,-36.91999811,174.82258914,12.584449441595444,Waitakere,Waitakere
Conifer Grove West,Onehunga-Te Papapa Industrial,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Conifer Grove West,-37.0486937,174.91293014,Onehunga-Te Papapa Industrial,-36.92606886,174.79489131,17.199890534127906,Franklin,Waitakere
Rolleston South East,Islington-Hornby Industrial,DRIVE_COMPANY_VEHICLE,21,EDUCATION,Rolleston South East,-43.61058176,172.40183653,Islington-Hornby Industrial,-43.5526063,172.50828849,10.727619734120983,Selwyn,Christchurch
Kaitemako (Western Bay of Plenty District),Te Puke East,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Kaitemako (Western Bay of Plenty District),-37.78247813,176.1993878,Te Puke East,-37.7898618,176.32555033,11.117227726246233,Western Bay of Plenty,Western Bay of Plenty
Hadlow,Washdyke,DRIVE_COMPANY_VEHICLE,48,EDUCATION,Hadlow,-44.37278751,171.14676587,Washdyke,-44.35333362,171.24781336,8.319022462060165,Timaru,Timaru
West Lynn,Eden Terrace,DRIVE_COMPANY_VEHICLE,9,EDUCATION,West Lynn,-36.92520977,174.66621863,Eden Terrace,-36.86462613,174.75964083,10.695801252008616,Waitakere,Waitakere
Anselmi Ridge,Mount Wellington Industrial,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Anselmi Ridge,-37.18633345,174.93550996,Mount Wellington Industrial,-36.92046064,174.85162182,30.48657756924697,Franklin,Waitakere
Strathern,Invercargill Central,DRIVE_COMPANY_VEHICLE,60,EDUCATION,Strathern,-46.42792492,168.36839384,Invercargill Central,-46.41489239,168.32850731,3.3834376128583057,Invercargill,Invercargill
Hillsborough (Christchurch City),Russley,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Hillsborough (Christchurch City),-43.56038209,172.67013928,Russley,-43.49336565,172.55854726,11.682147690262752,Christchurch,Christchurch
Te Maunga North,Tauranga Hospital,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Te Maunga North,-37.67469413,176.23384817,Tauranga Hospital,-37.70320853,176.14700706,8.273113281447532,Western Bay of Plenty,Western Bay of Plenty
Papatoetoe East,Auckland Airport,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Papatoetoe East,-36.97237736,174.87353637,Auckland Airport,-36.9891029,174.77400859,9.034226389769474,Manukau,Manukau
Rothesay Bay,Rothesay Bay,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Rothesay Bay,-36.7235541,174.74729392,Rothesay Bay,-36.7235541,174.74729392,0.0,Waitakere,Waitakere
Henderson Larnoch,Penrose,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Henderson Larnoch,-36.85924837,174.61797776,Penrose,-36.91999811,174.82258914,19.41006052427112,Waitakere,Waitakere
Ngongotaha East,Rotorua Central,DRIVE_COMPANY_VEHICLE,12,EDUCATION,Ngongotaha East,-38.06283551,176.21388396,Rotorua Central,-38.13568521,176.25424012,8.836778260623014,Rotorua,Rotorua
Papatoetoe West,Auckland Airport,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Papatoetoe West,-36.98008106,174.84650545,Auckland Airport,-36.9891029,174.77400859,6.517005529854182,Manukau,Manukau
Iona,Omahu Strip,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Iona,-39.67719283,176.87643265,Omahu Strip,-39.61309296,176.78725679,10.445141657612103,Hastings city,Hastings city
Enderley South,Frankton Junction ,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Enderley South,-37.77006022,175.29653861,Frankton Junction,-37.79650916,175.26255885,4.191261646930206,Hamilton,Hamilton
Campbells Bay,Wairau Valley ,DRIVE_COMPANY_VEHICLE,15,EDUCATION,Campbells Bay,-36.74954905,174.75627345,Wairau Valley,-36.77355541,174.73453173,3.2979981828638967,Waitakere,Waitakere
Flagstaff North,Te Rapa North,DRIVE_COMPANY_VEHICLE,39,EDUCATION,Flagstaff North,-37.72225897,175.24766938,Te Rapa North,-37.73226423,175.22072362,2.6179696273936957,Hamilton,Hamilton
Bromley South,Addington North,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Bromley South,-43.53669331,172.68367216,Addington North,-43.54120365,172.61768966,5.342172604325349,Christchurch,Christchurch
Cloverlea (Auckland),Mount Wellington Industrial,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Cloverlea (Auckland),-37.21592548,174.8926362,Mount Wellington Industrial,-36.92046064,174.85162182,33.05510521288754,Franklin,Waitakere
Goodfellow Park,Goodfellow Park,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Goodfellow Park,-38.00680748,175.31677998,Goodfellow Park,-38.00680748,175.31677998,0.0,Waipa,Waipa
Utuhina,Rotorua Central,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Utuhina,-38.14249953,176.23214439,Rotorua Central,-38.13568521,176.25424012,2.075656978739076,Rotorua,Rotorua
Castor Bay,North Harbour,DRIVE_COMPANY_VEHICLE,39,EDUCATION,Castor Bay,-36.76039959,174.76178337,North Harbour,-36.74630474,174.71502975,4.450447340095521,Waitakere,Waitakere
Waipaoa,Makaraka-Awapuni,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Waipaoa,-38.34127548,177.70733968,Makaraka-Awapuni,-38.65787303,177.97255068,42.09484893768974,Gisborne,Gisborne
Carterton North,Solway South,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Carterton North,-41.01943446,175.52683939,Solway South,-40.96910555,175.63403571,10.595238846028334,Carterton,Masterton
Orakei East,Penrose,DRIVE_COMPANY_VEHICLE,6,EDUCATION,Orakei East,-36.85366237,174.82327361,Penrose,-36.91999811,174.82258914,7.376448929602708,Waitakere,Waitakere
Parkside,Parkside,DRIVE_COMPANY_VEHICLE,9,EDUCATION,Parkside,-44.40469035,171.24632921,Parkside,-44.40469035,171.24632921,0.0,Timaru,Timaru
Otawa,Mount Maunganui Central,DRIVE_COMPANY_VEHICLE,18,EDUCATION,Otawa,-37.80633865,176.27291154,Mount Maunganui Central,-37.66423891,176.19448097,17.24045857412703,Western Bay of Plenty,Western Bay of Plenty
