SA2_name_usual_residence_address,SA2_name_workplace_address,COMMUTE_TYPE,COUNT,TYPE,departure_SA22018_V1_NAME,departure_LATITUDE,departure_LONGITUDE,destination_SA22018_V1_NAME,destination_LATITUDE,destination_LONGITUDE,HAVERSINE_DISTANCE,DEPARTURE_NAME_2,DESTINATION_NAME_2
Eastbourne,Thorndon,FERRY,6,EDUCATION,Eastbourne,-41.30031562,174.89432219999995,Thorndon,-41.27246445,174.77422734,10.50145624172035,Hutt city,Wellington
Devonport,Victoria Park ,FERRY,27,EDUCATION,Devonport,-36.82716648,174.79688282,Victoria Park,-36.84857807,174.75659124,4.304134868126249,Waitakere,Waitakere
Mellons Bay,Quay Street-Customs Street,FERRY,15,EDUCATION,Mellons Bay,-36.88715946,174.93040248,Quay Street-Customs Street,-36.84601989,174.77646293,14.438265823807214,Manukau,Waitakere
Shelly Park,Wynyard-Viaduct,FERRY,9,EDUCATION,Shelly Park,-36.90830816,174.94645122,Wynyard-Viaduct,-36.8433094,174.75788827,18.26345251533308,Manukau,Waitakere
Bayswater,Quay Street-Customs Street,FERRY,42,EDUCATION,Bayswater,-36.81411659,174.77797900000004,Quay Street-Customs Street,-36.84601989,174.77646293,3.5500503748003664,,Waitakere
Gulf Harbour North,Victoria Park ,FERRY,9,EDUCATION,Gulf Harbour North,-36.60949658,174.79413674,Victoria Park,-36.84857807,174.75659124,26.79439329881931,Rodney,Waitakere
West Harbour Luckens Point,Quay Street-Customs Street,FERRY,12,EDUCATION,West Harbour Luckens Point,-36.81802341,174.63695983,Quay Street-Customs Street,-36.84601989,174.77646293,12.800106577860385,Waitakere,Waitakere
Stanley Point,Quay Street-Customs Street,FERRY,39,EDUCATION,Stanley Point,-36.82656718,174.7841077,Quay Street-Customs Street,-36.84601989,174.77646293,2.2675152080160688,,Waitakere
Cheltenham,Wynyard-Viaduct,FERRY,21,EDUCATION,Cheltenham,-36.82539766,174.80659852,Wynyard-Viaduct,-36.8433094,174.75788827,4.770720805718642,Waitakere,Waitakere
Onetangi,Queen Street,FERRY,9,EDUCATION,Onetangi,-36.79584373,175.07839806,Queen Street,-36.84774104,174.76524972,28.46500810760049,Auckland,Waitakere
Stanley Point,Symonds Street East,FERRY,6,EDUCATION,Stanley Point,-36.82656718,174.7841077,Symonds Street East,-36.85691,174.76641149,3.7233769940015335,,Waitakere
West Harbour Clearwater Cove,Victoria Park ,FERRY,9,EDUCATION,West Harbour Clearwater Cove,-36.81054038,174.63704103,Victoria Park,-36.84857807,174.75659124,11.450142447415164,Waitakere,Waitakere
Devonport,Wynyard-Viaduct,FERRY,42,EDUCATION,Devonport,-36.82716648,174.79688282,Wynyard-Viaduct,-36.8433094,174.75788827,3.907112953238909,Waitakere,Waitakere
Maraetai,Wynyard-Viaduct,FERRY,6,EDUCATION,Maraetai,-36.88774867,175.03797111,Wynyard-Viaduct,-36.8433094,174.75788827,25.401711841870146,Manukau,Waitakere
Gulf Harbour South,Quay Street-Customs Street,FERRY,15,EDUCATION,Gulf Harbour South,-36.62319574,174.79598006,Quay Street-Customs Street,-36.84601989,174.77646293,24.83788324227945,Rodney,Waitakere
Oneroa East-Palm Beach,Hobson Ridge North,FERRY,12,EDUCATION,Oneroa East-Palm Beach,-36.77927556,175.05218612,Hobson Ridge North,-36.84707104,174.76276914,26.84466540356451,Auckland,Waitakere
Oneroa West,Newmarket,FERRY,9,EDUCATION,Oneroa West,-36.78767524,174.99965402,Newmarket,-36.86853889,174.77706299,21.75659316853788,Auckland,Waitakere
Gulf Harbour South,Queen Street,FERRY,18,EDUCATION,Gulf Harbour South,-36.62319574,174.79598006,Queen Street,-36.84774104,174.76524972,25.118021239568023,Rodney,Waitakere
Maraetai,Quay Street-Customs Street,FERRY,9,EDUCATION,Maraetai,-36.88774867,175.03797111,Quay Street-Customs Street,-36.84601989,174.77646293,23.721839285271848,Manukau,Waitakere
West Harbour Clearwater Cove,Quay Street-Customs Street,FERRY,24,EDUCATION,West Harbour Clearwater Cove,-36.81054038,174.63704103,Quay Street-Customs Street,-36.84601989,174.77646293,13.021188200849702,Waitakere,Waitakere
Ostend,Parnell West,FERRY,9,EDUCATION,Ostend,-36.79263832,175.05220466,Parnell West,-36.85679261,174.77798053,25.42936331999981,Auckland,Waitakere
Belmont (Auckland),Parnell West,FERRY,6,EDUCATION,Belmont (Auckland),-36.80517747,174.78818395,Parnell West,-36.85679261,174.77798053,5.810741730717674,Waitakere,Waitakere
Cheltenham,Auckland-University,FERRY,15,EDUCATION,Cheltenham,-36.82539766,174.80659852,Auckland-University,-36.85143057,174.76906469,4.4200227483558665,Waitakere,Waitakere
West Harbour Clearwater Cove,Wynyard-Viaduct,FERRY,12,EDUCATION,West Harbour Clearwater Cove,-36.81054038,174.63704103,Wynyard-Viaduct,-36.8433094,174.75788827,11.356543712555535,Waitakere,Waitakere
Surfdale,Grey Lynn East,FERRY,6,EDUCATION,Surfdale,-36.79613493,175.02985004,Grey Lynn East,-36.86181959,174.75208551,25.778360487848506,Auckland,Waitakere
Devonport,Eden Terrace,FERRY,6,EDUCATION,Devonport,-36.82716648,174.79688282,Eden Terrace,-36.86462613,174.75964083,5.322789874093094,Waitakere,Waitakere
Hobsonville Point,Auckland-University,FERRY,9,EDUCATION,Hobsonville Point,-36.79691625,174.66172203,Auckland-University,-36.85143057,174.76906469,11.315142497060053,Waitakere,Waitakere
Bayswater,Shortland Street,FERRY,18,EDUCATION,Bayswater,-36.81411659,174.77797900000004,Shortland Street,-36.84736853,174.76823915,3.7977049851743456,,Waitakere
